x	Y_20181208_15694_1_12g	Y_20181208_15694_1_13g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_10_14g	Y_20181208_15694_10_1g	Y_20181208_15694_10_4g	Y_20181208_15694_11_8g	Y_20181208_15694_12_12g	Y_20181208_15694_12_4g	Y_20181208_15694_13_11g	Y_20181208_15694_13_12g	Y_20181208_15694_13_2g	Y_20181208_15694_13_3g	Y_20181208_15694_13_6g	Y_20181208_15694_14_1g	Y_20181208_15694_14_8g	Y_20181208_15694_15_2g	Y_20181208_15694_15_4g	Y_20181208_15694_16_12g	Y_20181208_15694_16_15g	Y_20181208_15694_16_7g	Y_20181208_15694_17_4g	Y_20181208_15694_19_13g	Y_20181208_15694_19_1g	Y_20181208_15694_19_20g	Y_20181208_15694_19_6g	Y_20181208_15694_2_11g	Y_20181208_15694_2_12g	Y_20181208_15694_2_8g	Y_20181208_15694_20_10g	Y_20181208_15694_20_11g	Y_20181208_15694_20_1g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_20_6g	Y_20181208_15694_20_9g	Y_20181208_15694_21_6g	Y_20181208_15694_21_9g	Y_20181208_15694_22_12g	Y_20181208_15694_22_13g	Y_20181208_15694_22_1g	Y_20181208_15694_22_2g	Y_20181208_15694_22_8g	Y_20181208_15694_23_12g	Y_20181208_15694_23_13g	Y_20181208_15694_23_15g	Y_20181208_15694_23_17g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_24_12g	Y_20181208_15694_24_4g	Y_20181208_15694_24_9g	Y_20181208_15694_25_1g	Y_20181208_15694_25_3g	Y_20181208_15694_26_10g	Y_20181208_15694_26_5g	Y_20181208_15694_26_7g	Y_20181208_15694_26_8g	Y_20181208_15694_27_3g	Y_20181208_15694_28_10g	Y_20181208_15694_28_2g	Y_20181208_15694_28_4g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_29_3g	Y_20181208_15694_29_4g	Y_20181208_15694_29_6g	Y_20181208_15694_3_10g	Y_20181208_15694_3_11g	Y_20181208_15694_3_16g	Y_20181208_15694_3_3g	Y_20181208_15694_3_6g	Y_20181208_15694_3_9g	Y_20181208_15694_30_1g	Y_20181208_15694_30_5g	Y_20181208_15694_30_6g	Y_20181208_15694_30_7g	Y_20181208_15694_30_9g	Y_20181208_15694_5_10g	Y_20181208_15694_5_22g	Y_20181208_15694_5_2g	Y_20181208_15694_6_14g	Y_20181208_15694_6_17g	Y_20181208_15694_6_1g	Y_20181208_15694_7_11g	Y_20181208_15694_7_12g	Y_20181208_15694_7_15g	Y_20181208_15694_7_2g	Y_20181208_15694_7_4g	Y_20181208_15694_7_9g	Y_20181208_15694_8_9g	Y_20181208_15694_9_14g	Y_20181208_15694_9_3g	Y_20181208_15694_9_7g	Y_20181208_15694b_10_2g_left	Y_20181208_15694b_3_4g_left	Y_20181208_15694b_6_12g_left	Y_20181208_15694b_6_5g_left
0	28614.75	28977.5469	30315.75	32436.0176	31714.7227	24422.082	31258.1992	31572.2578	29310.2559	27350.8652	32271.0742	30466.2969	31039.9824	30633.9102	29604.6172	25768.541	27560.8262	30993.3496	30471.1055	27007.8594	30270.2129	27294.873	27600.4336	30220.6562	26589.3203	26010.0098	32044.6953	29727.9414	27184.7363	29301.668	32083.625	29827.1895	29599.082	26304.1895	29763.2793	27527.541	31747.4414	28432.8984	28793.5078	28728.2344	28871.4941	24447.3887	32221.5273	30623.791	28608.9023	29413.9902	27463.0117	27843.4531	30100.8867	32113.7031	27421.416	26259.043	26418.8867	26739.0195	30698.998	28709.8164	30557.002	28825.7969	30166.5352	29857.9512	29390.3906	30208.1426	25694.7129	28457.9648	26840.8613	28118.9961	32078	30819.9277	33385.4844	31623.4375	31206.2852	27767.6016	28980.9727	30386.707	27036.2676	30590.0762	29570.9297	29955.8965	30554.9883	30400.2754	28825.041	28102.5156	32385.6445	27116.4102	26482.625	30597.9941	29362.2539	29745.2383	29066.4727	29516.3945	31164.791	30365.6562	30011.0938	34203.4492	29073.2676	24982.0645	32155.3789	28855.125	30947.2891
0.1334	27748.8809	30067.3965	32228.1387	32068.3047	31101.9727	24480.3516	31389.5391	30462.459	29118.1934	26587.7266	32068.1133	30309.6777	30587.8945	29017.3633	28761.6133	26021.2578	29331.3711	29583.3398	30628.3613	28072.4004	29714.7324	27171.2363	27761.5449	31069.6875	26270.4512	27966.0332	33620.6016	32050.4082	25717.1426	29678.6973	31744.3027	30023.4238	28877.1641	26615.3047	30298.1191	27383.1113	32167.5781	29225.1992	29580.8125	28516.2812	27623.8613	24663.9434	29722.9316	29644.0469	29096.127	29817.1641	26819.1621	27641.0645	30190.0762	31290.8652	27565.0391	26142.5918	26338.3945	27323.9199	31140.6484	28249.459	31445.8672	29270.9453	29898.7441	29344.7305	28801.7383	30931.4316	25982.1738	27864.1738	27267.3711	28545.3672	34644.1562	29648.7148	33968.4141	32189.9062	29133.1895	28429.3477	28766.7793	31157.2441	27146.334	29626.6309	27995.6934	29416.3516	29360.5273	30064.8535	29165.541	28570.832	31210.7969	27101.7871	26397.752	30758.0801	30396.6406	27749.4219	28755.8809	28840.4609	31468.1367	29901.2285	30472.043	32149.709	28850.2812	25278.3691	33004.8438	28101.5469	29506.959
0.2668	28362.8438	29096.3984	31111.3164	31561.3711	29772.3633	24863.957	31877.7148	31626.2559	29913.1348	27820.5547	31849.8301	28817.8516	31131.7832	30530.9199	30145.6211	24999.9434	29358.5645	30063.8359	30953.1172	28938.8672	29371.4648	25927.4219	27997.959	30406.5137	27253.8633	28136.377	32960.2656	30361.4453	25471.6875	30075.8105	32751.3086	31443.5117	29030.9453	27143.3457	31049.9707	27639.5391	31753.334	28305.9902	28349.8984	28355.9453	27958.666	25391.2305	31139.2168	29750.8555	28871.6055	28716.8223	27171.7402	27328.8359	30649.5059	30382.1289	27062.3301	26999.4902	26510.9297	26512.209	31402.4023	27880.8145	31840.2109	28246.3008	31303.9766	30727.7695	29448.332	32774.8203	27518.8809	28173.2578	28693.1094	28089.5488	33202.3359	30610.457	33988.3438	31529.082	31107.7461	29662.9316	28938.0176	31935.4785	26962.9473	31551.4238	28955.252	30030.3711	29974.8066	32055.0137	28896.4277	29587.3457	31490.3066	27315.0684	26720.2363	28616.2012	29294.1035	29564.793	28663.3613	28831.6992	30741.3965	32264.3438	31667.5293	31950.332	28646.2891	23943.084	30595.3145	27266.0664	30973.5293
0.4003	29309.9512	27559.6094	30707.877	31922.4785	29290.8203	25384.875	33745.0586	29917.4551	29390.8691	27156.6738	31958.8418	29125.9121	30980.0762	29734.1562	30785.4922	25157.6797	29147.0898	30454.0234	29991.0684	27240.3066	29641.125	26670.7012	27727.6641	31026.9805	26415.6055	27093.8555	31028.6211	29338.4629	26578.1152	29650.7207	31304.9707	31858.3477	28241.4824	26457.8848	33197.8906	27900.2715	30034.1035	28135.9961	27788.3184	29597.1914	26366.3359	25486.6172	29776.1816	29609.2266	28808.3711	29061.457	27392.9082	28491.125	29853.5312	29738.7656	29027.2988	28134.5703	26071.1133	26698.0703	32076.6973	28133.2715	31222.457	29049.3984	29522.791	29996.7754	28636.4785	31648.5332	26032.5234	27633.3242	26762.2832	27991.5664	31685.6504	30957.5625	34732.1992	31399.5527	30848.1328	28428.5078	29409.1328	30852.8066	26946.4004	30193.375	28872.9473	30747.1562	28958.2441	31910.3457	28511.7656	28410.9512	31828.8223	27713.9355	27638.9102	28576.5625	29899.8398	28381.1035	28577.0156	29941.5957	30457.5137	32819.9141	31229.6367	32793.1328	28701.4629	24541.2344	29795.9102	27862.0684	31238.9258
0.5337	28267.0332	27688.5605	29780.9316	29653.1973	30200.7363	24095.9258	32172.0098	30192.6816	28183.041	26804.252	31707.6523	29408.0391	31097.3672	31788.0273	28945.7383	26312.1133	29767.7734	29363.7285	31558.375	27357.8086	31412.043	27003.3184	27836.2734	30225.8867	26487.7285	26493.7422	30636.2148	29738.2754	26863.8945	29306.6016	31454.7109	32695.7266	27241.627	25786.4668	31068.8574	27819.168	28832.1367	28534.7051	28352.748	30327.4785	27732.1543	25678.8145	29531.2168	30133.0117	29560.6582	29286.7441	28972.9375	27202.3379	30298.9258	29646.3379	29303.5586	27670.1992	25502.9121	26689.4629	31394.0625	29192.4316	30781.1738	29168.9004	29557.4551	28487.1953	29113.8477	32445.0312	26701.084	27642.5625	27721.6191	28588.7969	29998.082	30020.8086	33838.1406	32767.4512	30594.2188	28559.752	27125.252	31552.998	27475.6445	30174.2559	30056.5938	30615.916	30331.6914	30833.8711	28233.0527	28808.9785	30460.6758	27398.3438	27353.3848	30498.3184	30244.2207	29387.0195	28201.4863	29844.5156	30236.4102	30436.6855	32024.627	32966.9805	28413.0938	24789.623	29397.8398	26847.6914	30883.1016
0.6671	28054.6406	28215.5801	30255.0469	31139.1855	29198.4316	24586.2793	31622.3359	30627.8438	29549.998	28818.4219	30970.7188	29771.668	29841.4844	30296.8359	28440.9609	25676.2285	28915.5781	28191.4238	30891.5098	27478.3066	31365.8613	29227.9043	26966.7383	30348.0801	25952.9902	27061.8418	31597.4375	31647.7148	26934.0898	28532.6094	31444.9121	33014.3125	28061.8086	25623.9258	30481.8965	26441.8164	30014.0234	27743.2461	28362.1367	30195.041	27277.8008	24845.6562	29789.9961	30305.0625	28869.6113	30112.4668	27738.4961	26644.0332	29198.0527	27663.5234	29913.9004	26992.0742	24952.8086	27188.3965	30990.5352	28649.3672	30624.9805	29599.3203	30997.9473	29138.7383	27742.3223	32216.2832	26733.8184	27649.1758	28164.1719	29096.2031	30687.2852	28778.6426	33042.6992	32669.3633	31100.2578	28023.1777	27737.6133	32392.3066	26549.8457	29320.7383	28737.1328	29626.7324	31737.9043	29989.75	28965.0371	29152.4023	29435.6426	26253.8359	26696.584	31983.7266	30453.627	28386.4297	28939.4609	28920.4453	30042.2695	30341.4473	32942.2148	33636.9609	27880.4785	25075.7812	29804.9648	27769.0625	30094.2676
0.8005	27734.7656	29091.5254	29897.209	31230.4961	28177.1074	25715.4277	31604.0645	29261.291	27241.9219	29372.5586	31271.2949	30462.0449	30588.5293	30980.0059	29224.498	25864.2734	30271.3457	29322.6387	30812.7773	26616.041	29532.293	28465.8789	26880.2812	30816.6836	26483.8691	25199.6074	31005.4141	31310.0918	26077.791	29936.5625	30835.9629	32690.7695	26624.7637	26392.5977	30439.002	25626.0566	30759.0234	27162.4277	27904.0605	30172.7676	25659.2793	26474.1484	29917.1875	28176.1738	29088.6172	29548.6367	26661.0664	28248.7129	28877.3535	27869.4785	28188.0215	26208.4414	25803.9785	27350.3398	32166.416	29459.1582	31482.5762	27865.0566	29865.3867	30411.7383	27906.7676	29591.957	26025.2324	28556.3789	27359.7949	28804.9043	32332.0371	30381.9629	33759.418	31669.5156	30856.7598	29772.7891	28072.6621	30396.6094	27511.4785	30270.0586	27566.291	29056.8613	33201.2422	30138.9043	27999.791	29715.1641	31140.6406	26530.4648	28159.2773	29289.2598	32140.5762	29468.7734	27844.6172	30383.957	28814.7637	30397.2363	30642.0195	32354.041	28394.1035	24206.0293	29422.041	27229.127	31009.3203
0.934	28223.8105	29001.9629	29906.2461	30267.6855	29021.4609	25009.418	31826.4863	29338.2559	27258.5625	29639.418	30392.4961	28929.6328	31237.3027	30215.2598	29278.2422	25417.2383	28810.0098	29378.8965	29502.2832	27683.1855	29425.5703	27695.3008	28037.998	30158.4805	26713.1484	26065.8711	31424.4902	30718.4375	26274.5938	30413.666	31028.2715	32455.959	27121.1758	27523.252	33043.9219	27018.4062	30262.1152	27643.9336	27791.2109	30868.5723	27019.2539	26975.0137	29386.8809	29087.0176	28978.4863	29464.3027	26458.4082	27998.9922	30557.5488	28719.7246	27650.627	26193.3203	25920.6582	29707.0293	30879.3379	28023.0859	30698.0957	27666.7188	28469.7129	29985.0176	27670.209	29408.248	27074.5938	29959.1152	26890.0117	30117.4688	31533.5762	31874.4863	32410.043	31206.3145	30342.1973	29241.4863	28866.8359	30159.3496	25953.6992	30126.1387	29882.4941	31547.1719	32451.5508	31110.5488	27979.6426	28646.293	30925.6152	27836.7617	28555.207	31224.7324	31350.3906	28998.3281	28145.8652	28410.0859	28904.3906	30066.0957	30308.9395	33481.2031	29313.9336	24673.834	28313.709	27969.8105	31236.0977
1.0674	29584.7656	27507.4277	30620.4473	30760.7012	29457.9844	24534.791	32183.2109	29177.4258	26914.0234	31433.8438	30443.5195	30418.9375	30703.8086	29045.4844	30619.5918	26446.8848	28675.2012	28667.1426	30021.6719	26950.875	30758.793	29126.623	27806.9414	30705.0254	24585.6699	25660.2578	32919.5625	32391.1445	26883.8926	30053.1875	30737.9609	32369.5762	28371.7539	26830.75	32105.668	27160.9766	29807.6543	28672.3457	27296.2383	32751.7344	26066.1328	26012.2422	30168.4023	30138.5156	28580.6074	29830.5879	27300.5098	28532.7988	29965.7852	28762.9062	28412.6426	26672.9395	27383.7539	29267.1348	29038	28654.5449	30303.7363	29072.1387	28330.5059	28945.6934	27378.3164	31003.4316	26333.7578	28922.4668	26322.6289	28211.752	29436.6465	31230.7188	33068.0586	30599.2949	29343.2715	30430.6953	28797.3184	30675.0645	26962.8594	30650.1133	29692.9199	30069.7617	29543.9316	30986.1816	28345.4473	28831.2012	29794.0996	26539.2734	27159.8594	29176.2246	32532.998	29275.8301	27140.6699	30215.2031	30118.5801	30967.1406	30299.3203	32432.2383	30738.1113	24321.3145	28963.3926	27837.0723	31695.3164
1.2008	30118.627	26070.7383	31488.8613	31022.5957	29372.3555	25113.2188	32255.4414	28727.0469	26394.2363	32832.9375	30894.5273	28817.5059	31306.9414	29720.3105	29463.7773	26712.918	28704.4844	28903.4648	30809.0469	27142.377	32035.0703	29857.625	28249.9883	31599.4824	25029.8477	25993.6875	33792.5977	33059.6445	28159.4082	31582.1094	31061.4707	33259.9297	27575.3594	27905.4062	30056.3945	26966.9238	30147.2676	29432.5996	28538.1426	31511.9395	26070.2363	25700.1934	30545.0918	31353.0078	28880.5742	30372.2012	27605.8086	29148.1406	28940.2402	27923.6035	29162.543	27020.8184	27299.1465	29242.4062	29592.5254	29368.4043	31773.1055	29049.8945	28760.082	29646.0859	27181.7871	30276.3359	27612.3262	27766.2871	27058.166	27517.6543	29648.6035	31955.0703	32462.3105	32735.002	29805.1797	31192.25	26415.6973	30570.9688	28253.5098	30906.3281	28670.3262	32190.7871	31233.9141	31707.1504	30736.2324	29293.6738	29541.3691	25510.3281	26207.5645	28295.2793	31677.127	29745.9629	27587.8984	31079.834	29955.6465	31667.373	30575.0098	32289.5078	29636.3008	24268.1094	29912.8398	28109.0723	33174.4453
