x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_2g	Y_20181208_15694b_10_5g	Y_20181208_15694b_3_2g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_4g	Y_20181208_15694b_6_8g
0	12456.4307	10345.9805	11420.5137	12245.7617	10151.2754	13281.9775	9857.1377
0.1334	12794.9453	10433.7295	13223.9102	12911.3115	10827.9795	15001.0273	10464.8955
0.2668	13179.8574	11816.6348	14884.4863	14148.6348	12799.4287	15189.8916	10601.6279
0.4003	14603.4873	12478.3838	14321.4141	16311.4697	14242.3252	15944.835	12613.8633
0.5337	16924.4277	13034.0039	13547.3398	18017.1855	15600.9717	18344.8164	13509.5342
0.6671	15265.3799	12673.918	13281.873	17096.9648	13160.2764	19547.1172	12275.4766
0.8005	13466.8301	11855.5059	13817.7842	15970.2637	13266.9277	18087.668	11553.5146
0.934	13682.6953	11330.1836	14521.042	14131.0527	12697.1807	14972.5352	11390.3555
1.0674	12374.8301	11294.8682	15214.8555	13920.3184	12529.1045	14216.043	11890.5039
1.2008	11624.1455	11483.4141	15326.8975	13859.0654	13083.1289	14127.9941	11987.084
1.3342	12174.4189	10187.1602	15015.5859	13783.0977	12769.9551	13823.8008	12490.3809
1.4676	12193.0244	10478.3965	13704.0273	13250.5244	13107.7363	14928.7041	12607.9609
1.6011	12458.9307	10395.7822	12081.9648	13019.7939	12334.9502	15017.501	12479.5742
1.7345	12147.4062	10838.0107	11219.751	13087.5752	11738.4219	14593.833	12673.8555
1.8679	11173.5508	11567.2422	11491.4775	13142.0986	11660.8926	15057.8311	12313.8447
2.0013	10753.1387	11384.6152	NaN	12238.1328	11916.1592	14751.2236	11240.6768
2.1347	10652.459	11208.0713	NaN	11615.418	12187.7158	13338.3965	11309.2979
2.2682	10834.0459	11333.623	NaN	11974.9795	11279.7432	12904.333	11042.7842
2.4016	10711.6133	10969.043	NaN	11713.2217	10942.7227	13408.0801	NaN
2.535	10573.5176	10804.6074	NaN	11838.5117	10793.0146	12251.417	NaN
2.6684	NaN	10632.5771	NaN	11645.7588	NaN	12050.1846	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	11921.6865	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
