x	Y_20180224_15100_10_5g	Y_20180224_15100_11_5g	Y_20180224_15100_11_6g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_3g	Y_20180224_15100_14_1g	Y_20180224_15100_16_1g	Y_20180224_15100_16_2g	Y_20180224_15100_16_4g	Y_20180224_15100_17_3g	Y_20180224_15100_17_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_14g	Y_20180224_15100_19_15g	Y_20180224_15100_19_16g	Y_20180224_15100_2_11g	Y_20180224_15100_20_3g	Y_20180224_15100_22_6_2g	Y_20180224_15100_24_6g	Y_20180224_15100_25_3g	Y_20180224_15100_25_5g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_28_10g	Y_20180224_15100_28_4g	Y_20180224_15100_29_4g	Y_20180224_15100_29_8g	Y_20180224_15100_4_11_2g	Y_20180224_15100_4_6g	Y_20180224_15100_4_8g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_8_4g
0	16352.387	11816.244	12784.659	17555.609	15125.641	17610.912	17817.467	17232.186	15373.443	13550.183	16770.537	14769.247	15936.53	16241.375	15762.062	15270.181	16060.727	14747.173	15744.1	15859.927	15000.274	12591.31	15264.642	15032.569	14156.863	15420.817	16512.309	18530.178	14033.941	13210.5	13918.887	15710.964	16559.719	17090.543	16197.759
0.1334	17357.135	13273.983	14237.395	17919.455	16261.032	18921.289	17476.627	17530.695	16053.819	15251.696	17232.527	14932.946	15949.117	16601.842	16311.018	16876.584	16936.404	14422.325	15487.354	15586.468	16934.037	14811.325	15411.292	16212.267	15002.374	16599.873	17431.664	19825.084	15392.881	14413.543	14666.339	16257.375	16729.652	17481.324	17281.809
0.2668	19654.848	16058.132	16322.107	19122.482	18374.719	19545.961	19328.73	19022.74	16307.868	19429.801	17737.162	15937.101	17038.16	18102.314	18662.252	18735.869	18456.676	14687.856	15073.868	16885.209	19455.576	15853.45	17063.365	18429.02	15042.303	19492.824	19430.863	23227.682	17730.145	15929.321	16173.017	17670.336	18636.938	18034.887	20468.592
0.4003	23271.881	21434.977	21092.225	22920.48	22917.809	20562.785	20950.182	22937.172	18171.852	20459.799	20162.688	17809.109	19543.242	21728.551	26060.99	21607.898	20007.1	16384.865	17518.646	19726.568	22097.629	18242.799	18202.16	22513.934	17147.549	24247.543	21626.68	28582.145	22854.365	17777.195	18584.312	20332.801	21342.449	18765.193	23899.9
0.5337	29575.975	26822.281	27308.604	28399.51	25002.166	22167.119	23923.77	27419.939	22512.498	19769.775	23787.498	22600.705	22796.611	28150.123	32190.391	22390.119	19324.266	18618.148	19475.328	21080.342	21826.775	20679.883	17490.771	25752.92	18275.701	27156.498	23294.719	31415.719	27018.043	22054.42	22424.371	21664.348	26264.143	18948.176	22855.668
0.6671	32703.275	27614.398	26118.246	34071.41	22200.24	24996.467	28544.934	28488.52	23509.852	18117.713	31438.193	25625.766	23770.291	29706.295	28529.254	20752.701	17923.896	20504.295	18649.324	19462.164	21329.27	20635.893	17024.568	25129.389	18975.412	24908.176	26389.621	26154.168	25475.793	26054.717	23728.711	21087.346	25953.586	19269.338	20639.951
0.8005	27892.656	22371.133	21617.582	33475.426	19603.484	25539.59	28875.496	25444.963	21701.91	18348.789	35065.398	25596.477	24191.941	28070.389	23869.717	21306.16	17804.014	18844.492	16019.702	20159.955	19616.938	19383.615	17147.477	22648.416	18348.459	21427.455	29053.104	21629.24	21742.861	25930.58	22790.26	18130.246	22104.617	20234.309	19117.232
0.934	24076.631	20165.051	19486.115	27822.523	17534.906	23559.572	26261.406	24993.152	21291.592	18861.635	32276.789	24400.771	24063.633	25454.828	21762.133	21133.686	17083.619	19724.314	14967.701	18375.783	18285.441	17460.348	18035.432	21446.25	17720.898	19786.391	27600.723	19009.986	20891.877	19419.732	20663.99	17909.285	18597.059	21929.902	17132.648
1.0674	22471.385	18475.977	18394.455	24207.145	16622.369	23133.93	25544.746	23629.256	21490.469	17596.984	32364.178	22435.799	21963	21145.783	21585.207	21028.695	16058.125	19359.615	14801.082	17280.594	17680.902	17834.27	18391.945	20182.283	16987.418	19505.758	25112.43	18241.297	21923.494	16749.197	18767.986	16499.4	16149.086	21641.635	16317.053
1.2008	21541.625	18248.979	18978.135	22462.033	15230.181	22440.494	26960.543	21827.4	22004.326	17087.152	30200.953	20180.229	21227.23	18330.484	21449.246	19875.633	15140.295	19811.857	15316.29	18876	17010.596	17421.033	17557.982	19081.182	16942.541	17004.654	25148.869	19403.479	22511.43	15620.076	18431.625	15291.88	16201.859	20506.592	15835.914
1.3342	21712.318	18627.756	17778.113	21867.533	15008.43	21560.477	26891.543	20123.354	20593.779	15923.624	27179.41	20246.266	19996.455	17323.535	21105.82	18482.02	14641.231	20249.285	15633.471	16531.311	16964.061	16729.59	17311.879	17752.744	15531.51	17339.557	24345.771	20706.461	21609.303	17249.098	20066.439	15456.54	16323.604	20364.812	15577.993
1.4676	22762.582	18312.004	17755.039	21407.848	14395.91	20387.67	26004.859	19350.393	18816.131	16738.631	23568.559	19188.764	19237.082	16259.49	19850.99	20240.924	14562.889	21233.785	16612.146	16474.336	16707.322	16895.727	17291.133	15670.773	14510.444	17984.264	23721.781	21022.613	23016.053	15253.779	20811.5	15923.575	17418.238	19784.633	16113.061
1.6011	22079.816	19534.271	17683.635	19477.604	14523.472	18984.289	25279.521	17627.346	17170.5	16784.525	21388.908	19571.492	20188.062	16179.974	19658.473	21988.117	15079.113	24337.359	15945.366	17632.156	15869.162	16338.964	18046.072	15521.284	15114.159	17992.799	23194.666	22495.934	22951.039	15939.153	19127.928	17117.043	17513.555	17912.836	17192.168
1.7345	22656.051	20400.635	17243.609	18343.951	15457.739	19359.555	24256.014	17537.562	15783.545	16650.203	20189.865	19821.051	20635.912	15353.554	18287.959	20862.74	15073.567	30965.895	15654.611	16648.953	16258.779	15669.278	19498.945	15470.452	14572.45	18853.744	22892.566	22630.031	24034.371	16987.838	18375.893	18060.281	18680.58	16963.857	17700.844
1.8679	22520.939	19727.619	17507.742	18720.795	16610.213	21202.816	23729.57	18739.883	14782.883	15969.997	18913.533	18769.818	23175.383	15947.414	17342.328	19398.094	16419.613	34341.684	15163.32	16497.865	17048.088	16464.961	22665.441	16152.011	14810.154	19160.967	21458.898	23697.799	23871.811	17152.254	17958.986	19885.729	20450.961	15700.413	18383.896
2.0013	21350.5	20196.211	17831.047	17453.471	17320.357	22334.555	23328.492	20413.949	14597.121	16407.602	19991.729	17811.697	25043.438	16649.492	16169.059	20446.764	18343.643	31330.865	15733.918	15338.674	17004.562	17279.74	21317.699	15786.3	14646.133	18608.461	21219.059	22818.377	22069.309	17761.906	17045.113	22645.02	21924.857	15144.308	17520.318
2.1348	20686.959	21332.328	18159.781	17674.879	18216.523	24077.115	23196.082	22204.51	15497.658	16077.128	20425.309	17600.859	25572.898	15979.448	16477.297	21271.643	17805.926	27870.217	15831.866	16473.715	16370.377	18346.846	20300.172	16220.812	15277.007	18337.951	21739.682	21504.926	19220.469	18101.148	15730.423	19956.873	20963.986	15767.651	17467.162
2.2682	20777.766	21594.07	17430.764	17338.773	17329.701	23806.859	23687.051	21710.033	16830.01	16425.262	20602.984	18427.883	21354.361	18311.805	16952.975	20775.252	16974.674	23098.203	15862.511	16073.451	15308.394	18236.508	18671.895	15295.483	15338.604	17387.451	23512.234	20782.543	17182.635	17689.693	16269.77	18616.984	20589.27	17084.863	16949.02
