x	Y_20181208_15100_1_6g	Y_20181208_15100_11_2g	Y_20181208_15100_12_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_14_3g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_23_1g	Y_20181208_15100_27_1g	Y_20181208_15100_5_11g	Y_20181208_15100_5_1g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_8_1g
0	10944.8496	14257.9834	13726.4697	13802.5762	13388.9834	12193.7305	13995.251	10708.5977	13071.1016	13576.1377	14307.8643	11720.9482	12898.6475	15163.2197	13417.5938	10893.8037
0.1334	11632.958	14052.9971	13552.5029	14665.1191	13419.5898	11859.3184	15499.2275	11256.6338	13369.0479	14848.5234	15211.6885	11615.6172	12672.9453	15768.7549	13338.9385	12008.0771
0.2668	11321.1338	16678.209	14491.585	16078.3887	14228.251	11922.5176	17063.5371	11527.8125	13904.5635	18148.8633	16946.6543	13070.7734	13303.5859	16721.6426	13609.668	12936.7041
0.4003	12422.1719	18571.2539	16994.7793	19774.3809	15856.4531	12359.1592	16562.5957	12555.9668	14703.1123	22641.5137	21333.8945	15548.9727	14554.3145	17815.2363	13856.5469	14433.335
0.5337	15774.3896	17709.1719	18790.2266	26608.1426	20163.8281	14013.0088	14695.1611	15298.2627	17473.793	23424.8105	24336.9258	18764.8594	16807.6992	18702.1309	14215.6738	15977.459
0.6671	17647.0938	15930.3008	17346.2559	32679.7383	20533.2539	17107.3418	14504.957	15810.2344	20397.9199	20311.7812	20533.1934	18373.7578	18739.1055	17606.7148	16528.5938	16287.0146
0.8005	16524.4688	15631.1006	15597.2979	29116.4824	17983.3164	18201.0352	14335.79	15050.249	19023.5527	18903.5645	17780.7383	16004.1133	19045.8984	14566.3691	20347.1406	16427.8555
0.934	15230.9883	15881.9072	15337.4941	23754.9902	14540.2305	17934.1582	14574.1357	14228.4473	16964.5566	17011.4629	16838.7871	13764.4277	18568.668	15575.7266	21274.6484	15822.624
1.0674	15374.2598	16122.0908	15496.8818	19564.2422	13735.7852	17947.4434	14808.0703	13577.1377	16627.709	16383.2715	17477.459	14154.1895	16634.293	15947.7754	18311.3301	14735.9902
1.2008	15535.0566	16435.207	15094.8633	17223.6055	13357.5566	15471.707	15097.7949	13620.3848	18393.2207	14963.083	16991.4023	13620.3428	15839.2168	15571.0254	14344.6787	13742.75
1.3342	14696.5928	17583.7188	13337.8291	16797.2441	13909.293	16105.4014	14966.042	14408.5107	20492.1973	15015.0049	16529.1562	12702.4287	15653.7031	17304.0293	13487.3398	13546.2764
1.4676	15023.4297	17089.3633	12725.5898	16879.8359	14214.0527	16294.2588	14839.4141	15028.5371	19601.1367	13799.2764	15404.3193	12001.5361	14839.2861	17894.5254	14055.8477	13804.0078
1.6011	14668.4541	15155.21	12664.4619	15945.0488	13461.1338	19318.207	15376.8887	14924.2744	16833.8008	12946.6387	14397.9229	11848.1992	14474.9365	16620.6113	14193.1602	13792.9736
1.7345	13818.4053	15162.8496	13522.1172	14873.9004	13755.7588	19665.4531	15055.4795	13688.7637	14146.9453	12707.6562	14069.4834	11615.6387	14043.3135	15966.9033	14131.5088	13765.6045
1.8679	12862.3887	15205.7656	13720.75	13302.1719	12958.5195	18259.8203	NaN	14066.6846	13305.583	12785.8662	13717.6357	12079.1074	12655.7441	15543.1875	14515.7627	12996.1592
2.0013	12117.8086	14871.3096	NaN	12724.8633	13072.1875	15674.9912	NaN	13976.7178	12996.7617	12775.2334	13144.0195	11610.1221	13246.1006	13790.8975	14179.6025	12179.0986
2.1347	11933.8486	14862.7256	NaN	12497.7559	12958.1963	13787.6826	NaN	13281.3174	13471.6963	12559.5469	12115.084	11725.5361	13168.2461	14959.502	13842.8154	11904.1211
2.2682	11064.9453	NaN	NaN	13006.127	12474.7559	12238.3496	NaN	12749.002	12845.3896	12609.9482	12630.377	NaN	13791.9541	14651.5283	13167.9756	11779.7393
2.4016	11688.8955	NaN	NaN	12050.1973	NaN	12455.0762	NaN	12623.3965	12794.8818	NaN	12032.6279	NaN	13590.0088	14491.2803	12171.8291	11330.3506
2.535	11010.8369	NaN	NaN	12941.2549	NaN	13350.0957	NaN	12269.2305	NaN	NaN	12230.5986	NaN	13075.708	14268.2803	11549.6533	11595.5049
2.6684	NaN	NaN	NaN	13083.0977	NaN	11869.583	NaN	12409.8408	NaN	NaN	NaN	NaN	NaN	NaN	12859.9922	11979.5264
2.8019	NaN	NaN	NaN	NaN	NaN	11826.999	NaN	13052.7412	NaN	NaN	NaN	NaN	NaN	NaN	13378.3486	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
