x	Y_20181208_15100_18_3g	Y_20181208_15100_19_5g	Y_20181208_15100_4_1g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_4g	Y_20181208_15100b_14_9g	Y_20181208_15100b_17_11g	Y_20181208_15100b_22_2g	Y_20181208_15100b_29_1g	Y_20181208_15100b_29_4g	Y_20181208_15100b_30_2g	Y_20181208_15100b_4_6g
2.0013	32023.1074	26828.6406	27859.4199	31076.8457	33328.9609	32377.4883	25414.752	28817.918	30146.1367	33872.2148	31711.9531	29672.1562	27468.5703
2.1347	34541.5117	25832.5742	28150.377	30264.0078	33729.418	32450.668	26459.1758	28967.3301	30497.793	36340.8203	32881.0391	30907.9961	29764.9648
2.2682	33071.9766	28140.877	30866.9473	32376.584	35110.7031	33240.5703	27156.0449	30251.0645	33630.5156	46216.6562	31587.8848	35796.7539	33051.0117
2.4016	33867.4375	27945.9453	34057.5234	31389.877	41213.3516	33993.5391	30990.8945	32568.5312	38090.6094	70818.5938	34447.25	45400.9102	44499.957
2.535	33807.1758	28751.1328	35531.7188	31428.8887	52423.8242	38593.5391	37137.5469	35361.4531	49222.6836	115116.4688	39204.0547	65610.2188	63001.0586
2.6684	37699.5898	32846.6133	45415.8789	35180.1445	80444.7422	52639.9258	51379.7266	43987.3086	78545.1484	124708.8516	55362.3125	74463.2969	74188.5234
2.8019	45763.4453	40396.0977	71307.6484	40241.7188	94715.5703	81336.6562	67806.9375	63759.4219	121244.6484	92245	79226.5234	58924.9375	61632.5547
2.9353	56903.9727	46424.0156	109300.9375	55905.5156	74902.8516	96884.8594	62413.6133	84084.9297	123848.3984	56238.4922	95213.1875	41317.1484	41423.0742
3.0687	60896.7422	40297.0117	104743.5156	81519.4922	49645.0391	75989.5234	45078.0312	78384.8125	76917.3438	38266.9375	80481.8125	33499.5977	32530.7305
3.2021	50854.0859	33084.4844	66171.5469	79734.6016	38376.5312	49000.707	32972.1055	52837.7109	45668.9766	34618.1797	53972.043	30234.9375	29752.6797
3.3355	44396.3984	29456.2266	42232.8203	54719.3086	34403.8828	38613.9766	29834.5723	36921.4141	35990.1211	31478.8711	43408.0078	29342.8926	28781.3398
3.469	50941.1641	28739.6113	34988.8633	40008.3281	34016.0156	34827.3359	27350.9336	31034.1211	33489.2109	29493.3184	38259.2578	30693.8613	28734.8867
3.6024	NaN	28435.918	31074.9512	34815.0312	32335.7852	32618.1074	27090.0234	29869.2344	31736.791	NaN	36680.457	29471.4336	27502.3789
