x	Y_20181208_15694_1_18g	Y_20181208_15694_10_4g	Y_20181208_15694_10_6g	Y_20181208_15694_11_2g	Y_20181208_15694_12_12g	Y_20181208_15694_12_8g	Y_20181208_15694_12_9g	Y_20181208_15694_14_3g	Y_20181208_15694_15_2g	Y_20181208_15694_15_8g	Y_20181208_15694_17_5g	Y_20181208_15694_19_13g	Y_20181208_15694_19_7g	Y_20181208_15694_2_2g	Y_20181208_15694_2_5g	Y_20181208_15694_2_7g	Y_20181208_15694_20_10g	Y_20181208_15694_20_4g	Y_20181208_15694_20_8g	Y_20181208_15694_20_9g	Y_20181208_15694_21_12g	Y_20181208_15694_21_1g	Y_20181208_15694_21_4g	Y_20181208_15694_21_7g	Y_20181208_15694_21_9g	Y_20181208_15694_22_11g	Y_20181208_15694_23_13g	Y_20181208_15694_23_14g	Y_20181208_15694_23_15g	Y_20181208_15694_26_22g	Y_20181208_15694_26_4g	Y_20181208_15694_26_5g	Y_20181208_15694_26_7g	Y_20181208_15694_27_12g	Y_20181208_15694_27_4g	Y_20181208_15694_27_5g	Y_20181208_15694_30_2g	Y_20181208_15694_30_7g	Y_20181208_15694_4_11g	Y_20181208_15694_5_9g	Y_20181208_15694_6_14g	Y_20181208_15694_6_7g	Y_20181208_15694_6_8g	Y_20181208_15694_7_13g	Y_20181208_15694_8_3g	Y_20181208_15694_9_11g	Y_20181208_15694_9_8g	Y_20181208_15694b_1_2g	Y_20181208_15694b_10_5g	Y_20181208_15694b_3_6g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_5g
1.3342	13746.2764	14035.7363	12823.1289	15814.3516	14844.5693	11638.1084	13297.4316	11697.0684	15484.7949	13453.2871	12917.2842	12826.6348	12066.7246	12225.0273	15120.582	13626.4062	15379.3311	11793.418	12586.1865	12713.8066	14354.1826	12445.0625	13448.2998	13596.0791	12723.8311	12826.2432	13239.9355	16404.2598	12667.9209	12260.1797	13458.2959	14168.8428	12095.7246	12022.166	13317.1904	11593.0186	13201.6973	12250.1104	12619.1553	14666.4443	12827.8174	14830.5518	15277.5293	11511.7881	14400.9912	13101.2363	16520.8828	11053.9492	11558.2021	10892.5254	12584.4912	16799.7031	11902.3682	12214.2852
1.4676	13341.4062	12266.6855	13503.4785	14163.3398	13788.4834	11663.5771	12514.6465	11777.8896	15548.8252	13302.1895	12292.9639	12489.6582	11328.8662	11671.9121	14848.0225	12563.5996	14682.2305	11909.7393	12179.5576	12528.6191	15680.6982	12736.5645	14157.2031	12946.5117	13455.623	13021.166	14408.416	15495.3037	11622.6055	11924.6826	12468.1953	13377.8418	12007.9707	12122.1738	12566.3428	12025.2412	13980.623	11657.002	12681.8115	14022.1377	12750.8223	13467.3662	15379.5254	11362.8535	14730.8838	13526.3945	14743.79	10649.2842	12003.5098	10869.168	13071.5469	14942.9629	11604.6133	11269.2002
1.6011	13979.2959	12311.9268	13401.4824	13237.085	13123.0537	12012.6289	12608.043	10701.9111	14664.6641	13082.5947	11613.8076	12172.5371	10845.9414	11583.2773	14725.7549	12744.9004	14223.3555	11736.5137	12715.2012	11757.4629	15157.0381	11821.0781	14143.2344	12675.9414	13727.1152	11772.2324	13537.3799	13931.4639	11529.0938	11527.1738	13386.8242	13042.752	11009.3457	12681.6162	12047.0166	11184.1924	14184.6523	11576.8086	12304.5938	12795.3887	11307.0195	13085.5654	14308.3945	10576.041	16354.0459	11888.7783	13582.584	10781.0176	11000.9932	10890.8711	12401.1064	14039.627	11278.7461	10773.2764
1.7345	12515.5518	12382.5664	12547.1689	13592.1533	12276.7188	11830.4922	12975.583	10468.4961	13994.0498	12931.0938	11742.6641	12232.8545	10826.4033	11444.1826	15755.6973	12885.457	14758.2363	11472.9873	12059.7656	10995.2363	14362.4277	11007.8428	14068.6396	13034.4736	14113.4482	11456.3984	14330.3867	13369.252	10850.3672	11173.6689	13737.6055	13367.3496	11290.5195	11979.7461	11729.3457	10996.5801	14530.499	11136.8096	12186.0654	12642.9121	10612.6299	12904.6348	13518.1631	10987.4902	17615.002	11740.2275	12805.9971	NaN	10841.8613	10467.5312	12222.4854	12889.2676	11340.8398	10606.1904
1.8679	11896.624	12361.5859	12565.1162	13632.0303	12095.4395	11646.3135	12339.8203	10559.8594	13413.3076	12197.7012	NaN	12243.1143	10720.6797	11424.1807	15701.7598	11783.5771	13478.0801	11975.4609	12629.2607	10632.2959	13343.4658	10785.0264	13804.3916	13046.4082	13659.124	10845.8066	13656.2812	13620.5117	10361.1211	11129.8027	13526.2549	13469.6992	10851.877	12049.4502	11325.6094	11030.875	14315.2383	11719.3457	11519.7871	12348.6846	10796.0078	12446.9473	12726.0586	11548.1924	15048.5146	11952.0459	11929.4053	NaN	NaN	10806.0195	12378.7168	12516.2275	11178.2998	10347.7656
2.0013	12163.4082	11893.9404	12444.5889	12806.5244	11606.8057	11593.958	12029.5537	10098.9492	13238.6602	11729.8125	NaN	12156.5312	10723.0889	NaN	15831.0156	12670.7393	13904.1445	11749.1406	NaN	9997.543	12734.876	10256.2129	12167.875	12812.8477	13240.9541	11719.6514	13426.5195	12630.168	11282.9619	10935.9395	12643.2158	14405.6611	11052.8115	11859.3369	10505.583	11085.4834	NaN	11517.3877	10991.7324	11838.6875	10286.6533	12731.249	12761.9561	10961.7812	13607.7402	12796.8232	12635.6133	NaN	NaN	10778.7295	12252.4199	12122.2412	NaN	NaN
2.1347	11638.1055	12671.6357	NaN	12616.6318	11844.8789	10938.6641	12041.9727	10058.4209	12218.1445	11777.7021	NaN	11086.6807	10602.3281	NaN	14071.7725	12768.8301	13161.3711	11801.0938	NaN	10692.9248	12247.7891	10238.5449	11969.7334	12999.4824	NaN	11146.1943	12818.2275	12547.2363	11136.1162	10959.6611	NaN	NaN	NaN	11806.9102	10565.7705	NaN	NaN	NaN	10961.5996	11974.6748	9803.0908	12237.9971	13018.877	11014.457	12604.4766	11315.0312	12377.7031	NaN	NaN	10696.7588	11633.6562	11579.584	NaN	NaN
2.2682	11522.7256	NaN	NaN	NaN	12746.0713	10781.5771	NaN	10105.8008	12577.8887	12084.4092	NaN	NaN	10616.8975	NaN	13141.2168	NaN	12829.9717	11649.1465	NaN	NaN	12140.2939	NaN	11874.8047	NaN	NaN	NaN	13164.0195	NaN	10563.377	NaN	NaN	NaN	NaN	NaN	10420.5146	NaN	NaN	NaN	NaN	12394.3066	9876.8652	11753.2334	12323.4414	11875.1377	12429.6006	NaN	12746.8604	NaN	NaN	NaN	NaN	11893.0127	NaN	NaN
2.4016	11384.042	NaN	NaN	NaN	NaN	NaN	NaN	10678.2383	NaN	NaN	NaN	NaN	NaN	NaN	12772.9395	NaN	12604.5322	NaN	NaN	NaN	NaN	NaN	11605.9414	NaN	NaN	NaN	12277.9375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10354.7412	NaN	NaN	NaN	NaN	11876.3408	9655.7363	12168.2803	11806.6777	NaN	11896.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10798.1025	NaN	NaN	NaN	NaN	NaN	NaN	12080.0586	NaN	13258.0527	NaN	NaN	NaN	NaN	NaN	11824.6826	NaN	NaN	NaN	12481.0674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11668.9727	9707.2949	NaN	11907.7432	NaN	11804.4385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
