x	Y_20181208_15100_17_7g	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g	Y_20181208_15100_8_6g
0	11606.5254	13731.9287	10408.9678	12817.2227	10762.3643	10430.3027	9753.6133	11905.6445	11876.585
0.1334	12131.3525	16147.6494	11932.0742	15674.3564	11003.4238	11522.5967	11546.2031	12255.5361	13267.2451
0.2668	14033.54	17441.0371	14663.4766	18404.9785	11844.6514	14677.9424	14055.8271	13969.3486	14108.9287
0.4003	14748.0371	16639.7754	17215.3281	17334.6934	12631.7168	17884.2363	15613.7578	18164.9316	16154.335
0.5337	15896.5752	16035.9951	18075.084	16997.8281	14443.9678	19320.9238	16141.5596	20588.877	17953.1719
0.6671	15057.3691	15691.5029	16549.8828	15948.2031	15211.4932	18163.1094	14728.6484	17889.9512	18508.2129
0.8005	15167.0918	15821.9961	16136.7754	16622.7578	14126.7471	16275.4531	14011.4326	15209.3809	17469.4395
0.934	15412.1572	15966.0645	15936.9082	17293.1426	14732.6377	15178.9219	14381.377	14250.8682	16692.0977
1.0674	15271.8984	16879.3555	14756.9658	17536.6191	14701.9863	15534.04	13848.6396	14143.7529	15539.7666
1.2008	14331.584	17418.0176	14015.0518	17002.4121	14528.002	14874.2158	14116.4961	15519.8154	15282.1982
1.3342	13206.3906	17123.5215	14191.9658	15905.9043	14455.6758	14845.0283	13814.7549	15915.0527	13903.8623
1.4676	13345.4668	16744.9766	13777.4473	14703.4834	14833.3652	15037.541	13805.6006	14831.6055	14007.0986
1.6011	13952.2891	16131.2793	13190.8115	14950.1318	15252.127	14452.1982	14585.9424	14283.2744	13806.6738
1.7345	13601.1826	14683.4385	12973.2617	13753.7637	14521.7656	14835.002	14016.0088	14568.167	13483.334
1.8679	13691.5068	14543.5996	12559.1377	12693.2705	15084.4404	15285.6367	13651.8164	13787.7344	12685.9844
2.0013	13719.1611	13970.8789	12120.1172	12657.2705	15785.9551	14282.4375	13516.0908	13349.2217	12771.6094
2.1347	13439.5166	13843.1699	11807.4268	12850.459	15520.3945	15147.0312	12961.8008	12818.2852	12849.9629
2.2682	13225.2891	14054.9248	11880.0928	12271.8232	14771.5381	16086.5049	13038.4463	12769.8887	12860.6592
2.4016	12301.123	12968.5059	11712.1338	NaN	14111.6875	14965.7373	12665.5391	11995.1279	13611.6641
2.535	11692.0303	NaN	11865.9092	NaN	14028.8809	13497.0918	13179.334	12416.4854	14322.0576
2.6684	11455.2334	NaN	12144.5127	NaN	13711.8311	13153.6045	13146.2354	12187.7822	NaN
2.8019	NaN	NaN	10977.8145	NaN	13606.7061	12988.3047	12451.2803	12344.8066	NaN
2.9353	NaN	NaN	NaN	NaN	13269.9971	12832.6953	12514.3076	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	12607.5264	13404.5635	12561.2754	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
