x	Y_20181208_15694_1_6g	Y_20181208_15694_10_7g	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_2g	Y_20181208_15694_21_10g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_10g	Y_20181208_15694_23_3g	Y_20181208_15694_28_4g	Y_20181208_15694_30_4g	Y_20181208_15694_5_1g	Y_20181208_15694_6_13g	Y_20181208_15694_6_1g	Y_20181208_15694_6_2g	Y_20181208_15694_7_11g	Y_20181208_15694_8_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_3g	Y_20181208_15694_9_5g
0	13827.0107	13532.5361	12324.7393	11439.3721	12764.0322	28745.0723	11631.9951	10080.7373	11458.1631	10965.8447	10506.1494	11686.3486	13482.3994	11585.0977	10854.0986	11396.3818	13531.0215	10085.4902	11308.7148	11231.7842	9495.2422	10362.3193	9211.1064
0.1334	15712.1348	13485.8066	16499.0371	12267.8311	15189.001	29290.8086	11457.1055	9978.5762	12098.8613	10353.9658	10372.4014	11265.9912	16329.6865	12872.2344	11295.9395	15301.3838	15532.4785	10650.6904	11980.3301	11759.5479	9481.2939	10178.4326	9314.5254
0.2668	15765.4844	13604.0049	16705.918	13162.8203	16903.8398	29013.2637	11377.6904	13316.8193	12994.6777	11250.9414	10756.4463	13065.4727	18412.8516	15059.459	11600.0156	17818.0312	17402.8047	13021.8809	15098.0059	14546.1553	10091.7598	10878.0615	10409.1172
0.4003	14794.291	15599.9102	16815.2715	15126.2773	15763.9492	28851.0391	13777.6572	14332.4092	14114.9619	12347.1328	11156.8643	14024.8604	17550.6641	16490.6035	11913.123	17410.1602	17345.0938	15368.9688	18464.332	17360.9414	10996.6094	13553.251	12299.2119
0.5337	15144.5166	16587.7012	15354.3721	16335.3281	15022.5566	30133.4805	16167.1768	15789.3525	13276.5098	13675.1523	13313.8457	14340.0811	16278.2041	16382.1523	12794.5166	16320.5547	16402.5176	15238.3652	19234.8516	17022.1387	11205.9014	16339.832	14883.7441
0.6671	16018.1875	16764.3984	14539.4297	16801.5371	15146.1211	28678.1641	14147.2178	14793.1758	13238.6533	15040.6191	15485.4814	14711.3926	15315.9033	15013.0781	14578.8613	15323.3447	15076.415	14446.7471	17621.2891	16207.6846	12617.8438	16623.582	16183.9502
0.8005	17214.8574	14971.8066	14630.3281	16863.2168	15332.3779	30901.0547	12453.6689	15862.7725	13097.4834	14193.0986	16862.7617	13737.2822	15296.4951	13916.126	16454.4062	14511.3555	15581.0146	14228.2041	16746.5117	15500.8916	14840.6826	15074.6143	15642.4443
0.934	16689.9961	13950.2207	14825.6582	15934.583	15718.75	30742.3848	12078.6592	15333.792	13483.7705	12743.9277	16397.0918	13759.4141	15308.416	13020.4258	16297.9004	14350.6992	15031.0518	12893.2891	15335.8682	14493.7109	15805.8223	15559.6533	15073.458
1.0674	17510.6465	13524.6484	14712.5967	16018.0049	15873.04	30548.4805	11557.1084	14831.5732	12667.4805	12714.7012	15119.0293	13894.167	14703.6172	12899.9248	15186.8838	14462.4141	14609.7402	13615.4453	15124.3301	13655.3691	16614.9941	16105.665	14365.4609
1.2008	17473.8789	14060.3125	14176.1016	15666.6787	15936.0459	30472.666	11328.1436	14597.7295	13097.4434	12519.8389	14044.9971	13592.9463	15406.2363	13377.6318	14193.3594	15469.5322	14260.9023	13418.6592	14967.9863	13678.7588	16193.2998	14601.0381	15017.0703
1.3342	16785.8516	14713.8398	13949.4482	14136.4697	16360.208	32308.6992	12028.0156	12779.6309	13070.1553	12716.1152	13358.8418	13218.7373	14943.416	13020.0947	14107.0986	15436.1875	13425.4619	12727.1328	14870.0898	14191.501	15936.7256	14494.0449	14870.3027
1.4676	15575.1182	14693.5225	13215.5801	14127.1953	15657.2627	36661.4961	12006.5303	13914.3066	12830.9961	13023.9082	14215.8262	13130.0605	15308.4092	14603.0566	13716.833	15821.4883	13134.9697	13150.2607	15639.0215	13809.5771	16177.9316	13450.3838	14390.7412
1.6011	16012.8809	14044.9131	12917.0078	15001.2373	14875.4443	45766.7344	12799.5547	13725.1328	13752.7139	13153.8623	14724.7021	13027.7715	15345.2881	14284.708	12832.1436	14893.2461	12875.5889	12781.6553	16161.6904	13771.9609	15424.7441	13419.6846	14737.668
1.7345	16683.8242	14523.2217	13373.167	15103.2998	14407.3789	67412.3047	13935.4424	12826.1807	13484.1514	14417.1699	14588.7979	12167.248	16098.8799	15128.6748	12454.5947	14987.5625	13399.6992	12213.6855	16640.0156	13999.6699	14527.6201	12989.9287	13381.9717
1.8679	16803.3105	14863.6631	13895.5771	14307.6221	14381.0898	90395.9141	12845.46	12771.002	14177.1924	14298.4404	14194.3984	12839.4033	17579.3398	15499.5098	12249.4648	14540.1416	13332.3682	12214.2529	15054.0127	13721.8232	13819.1328	13956.8301	13658.9736
2.0013	18000.1582	15156.3613	13299.3145	14538.8262	13365.7939	79482.0078	12719.8223	12162.4678	14345.6982	14190.4834	13739.1562	12620.499	17214.8398	14747.4258	11981.999	14975.5967	13773.2646	12318.5986	14222.3945	13641.9551	13573.7988	14340.7744	13321.6182
2.1347	17577.957	15544.0146	13172.1328	14957.085	13695.2822	54658.375	14010.8271	11904.5625	14668.7148	14129.3086	14619.4902	12682.5547	16078.873	14485.3076	13296.7158	15063.04	12704.1934	13009.3096	13168.3018	13270.1602	13206.6133	14766.0303	14648.166
2.2682	16114.3574	16258.1475	13143.5264	16717.1035	13988.0518	40775.7695	13879.6592	11588.5479	12664.5029	13363.6836	14650.2617	12611.4814	14635.75	14305.4395	12823.2158	15830.1172	13186.9307	13366.8906	13225.8408	12875.1006	13083.5654	15595.2891	16091.584
2.4016	15327.4268	16214.8389	12509.2324	16744.3809	13694.1982	34570.6406	12488.4268	11717.0205	12577.8086	13460.4795	14075.6494	12876.9863	14118.8076	14178.1172	13390.874	15946.2539	13816.0156	13631.8701	13135.7549	14113.2031	13596.1855	14310.8184	15910.3477
2.535	14546.7422	16153.6562	12840.5928	15576.6143	13634.3213	32352.5684	12294.0537	12221.5068	13034.2969	13971.8916	14296.3662	12329.9219	13827.3838	13338.874	13310.9951	14740.541	13440.9346	13075.1377	12250.3652	14858.207	13211.5488	13773.3643	15678.1172
2.6684	13406.083	15342.1006	12574.8389	14335.9609	14036.9512	32371.0098	11401.8672	13232.5967	12593.8848	13764.21	14156.2217	12216.1475	13799.9189	13215.0566	13095.3027	14388.043	12500.8428	13060.8936	11803.3242	13210.3027	13066.3438	14445.1406	14664.7344
2.8019	13667.0586	14419.124	13483.9014	14246.8496	13492.3262	33411.5938	11378.7227	12933.5195	12211.4365	15010.5303	15271.9033	11538.4775	13245.207	12855.96	13072.707	13740.6758	12466.0615	13957.624	11728.042	12771.9902	13388.4541	14194.292	15715.2334
2.9353	12877.8682	13817.4697	12917.7734	14865.2217	13128.1895	30515.459	10867.2129	12820.0381	11836.8145	16963.6777	15070.0908	12160.0176	13735.1064	12866.9199	11769.9424	12783.1338	11388.9482	14475.8838	11345.7832	12723.5439	13566.3535	14124.3037	14849.29
