x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g
0	30893.9648	26465.3203
0.1334	31950.6465	27912.4258
0.2668	32698.1172	28137.6621
0.4003	32666.5801	28463.377
0.5337	32984.0234	27886.6074
0.6671	33702.9375	28986.4375
0.8005	33956.543	28843.8242
0.934	32747.6211	27777.0332
1.0674	32522.1426	28176.1875
1.2008	32719.7891	27283.5938
1.3342	32880.7109	26978.8906
1.4676	31731.3008	27691.0352
1.6011	31650.9141	28135.7734
1.7345	32127.2734	27462.2422
1.8679	30989.541	26532.0332
2.0013	32045.1621	27543.2441
2.1347	31498.6016	27758.9922
2.2682	30208.8574	28220.5156
2.4016	30418.6074	30286.2285
2.535	31993.1445	30725.3848
2.6684	30918.7656	30263.4199
2.8019	32864.2539	29953.4609
2.9353	33026.7305	29845.4004
3.0687	33045.4961	30731.8184
3.2021	31505.4766	33265.5664
3.3355	34537.9375	37880.6055
3.469	38918.0273	49003.9258
3.6024	44782.832	61146.1172
3.7358	57004.0273	58615.6836
3.8692	79109.7188	43564.3242
4.0027	75053.3984	33355.7852
4.1361	54930.4531	30547.3477
4.2695	40748.375	28900.0215
4.4029	37345.0781	29351.8398
4.5363	35699.2344	29696.6523
4.6698	35083.9141	NaN
4.8032	35185.7422	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
5.7371	NaN	NaN
5.8706	NaN	NaN
