x	Y_20180130_15100_3_15g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_21g	Y_20180130_15100_6_10g
0	12187.5	12570.167	12593.455	13021.729	13619.624	11812.45
0.1334	13633.829	12369.444	13451.6	14478.968	14007.579	12946.242
0.2668	16962.803	13399.959	14306.889	16480.846	15232.94	14283.383
0.4003	17197.902	14692.687	16469.234	17203.365	16942.82	15436.131
0.5337	15979.21	15387.588	15958.13	16463.824	19274.037	19831.379
0.6671	13805.18	18359.297	13953.114	15407.743	19810.012	21752.752
0.8005	12834.82	17573.473	14074.231	15089.612	18495.551	20796.24
0.934	13167.091	16548.773	13736.471	14333.659	16132.451	19029.787
1.0674	13012.292	16791.65	12810.358	13809.304	13684.355	17092.26
1.2008	13134.399	16854.932	13285.008	14251.579	13126.221	18233.615
1.3342	13377.448	18228.164	15063.98	14048.395	13170.234	18006.453
1.4676	13764.107	16478.727	15221.948	13181.961	12912.573	17443.666
1.6011	14800.423	15536.21	16209.688	13259.151	13726.175	17319.816
1.7345	14267.472	18907.438	17091.152	12914.433	14363.192	18929.418
1.8679	14126.443	19537.969	17773.254	12821.711	14114.522	20507.348
2.0013	14379.966	18269.652	15778.364	13227.636	13782.744	19191.193
2.1348	13796.135	15054.021	14385.854	13774.145	13434.047	19144.873
2.2682	12588.846	14102.69	13179.823	13537.642	13371.947	18538.863
2.4016	12067.588	13412.671	13062.492	12650.518	13007.515	16917.781
2.535	12744.892	13273.82	11063.417	11795.229	13082.975	15603.707
2.6684	12114.518	13106.879	10842.921	NaN	12400.768	15373.54
2.8019	12209.488	13277.012	11245.681	NaN	12128.905	14115.735
2.9353	NaN	13271.762	NaN	NaN	11887.772	13423.352
3.0687	NaN	12620.685	NaN	NaN	11948.341	13663.123
3.2021	NaN	12421.688	NaN	NaN	NaN	14018.132
3.3356	NaN	12192.422	NaN	NaN	NaN	NaN
3.469	NaN	12851.778	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
