x	Y_20181208_15100b_11_1g	Y_20181208_15100b_18_5g
0	25817.8828	28594.6543
0.1334	25777.4883	27915.5918
0.2668	27232.5137	27615.0566
0.4003	25889.4238	28146.6133
0.5337	25758.1406	29268.3457
0.6671	27285.6543	29066.2559
0.8005	25754.8164	29087.9668
0.934	25889.8027	29218.9629
1.0674	27293.3613	30727.1328
1.2008	27227.8262	31126.6055
1.3342	26523.8789	29296.0605
1.4676	26777.8887	30850.7754
1.6011	26210.6934	31596.0078
1.7345	25904.8984	31415.002
1.8679	26746.8496	31129.8301
2.0013	27359.0273	31115.1562
2.1347	27054.4043	30517.1016
2.2682	27048.2324	27971.1426
2.4016	27109.1211	28203.7676
2.535	28380.2715	30104.1016
2.6684	28024.4395	29494.9453
2.8019	28286.7812	30616.6816
2.9353	30933.7246	34180.4102
3.0687	38960.2305	38270.6758
3.2021	47753.3516	52510.6484
3.3355	41460.8633	69586.2578
3.469	35692.7852	65517.125
3.6024	30237.9199	46802.0859
3.7358	28027.0879	36373.0508
3.8692	26044.0176	NaN
