x	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_13_6g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_6_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_13_18g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_3g
0	28825.6777	32932.3594	27771.9668	28023.5703	31897.0566	32144.1387	30880.9922	25970.9512	28280.5605	29333.8691	28699.9102	29331.6465	31323.8789	32246.7637	29764.166	27767.9004
0.1334	29376.8105	31987.9844	30015.7031	29245.5332	31190.7695	31309.8125	30019.4297	26909.3496	29141.2246	28067.0996	28793.8984	30360.2891	30858.3379	32640.8359	30306.7129	27049.0586
0.2668	29354.8027	31661.8027	27564.2168	29264.8359	29825.4434	30451.8398	29891.8262	27759.8125	27442.6152	29325.6309	28301.7949	29474.8828	30694.4941	32755.5508	30294.9902	27660.1758
0.4003	29641.5566	31690.2891	28230.2988	27637.0391	29231.1797	32180.9219	29801.1074	28910.207	28011.7188	29693.6523	28485.791	30447.7852	30331.0879	31416.8555	28166.4531	27513.7539
0.5337	29845.3477	33169.2422	28350.3359	26491.5293	30477.8613	31317.9199	30001.5098	29377.2207	30089.5039	28181.7812	28568.2891	29642.9648	30805.2949	32878.8945	29143.6797	27223.9688
0.6671	28821.7969	32938.3867	28847.084	25635.6016	30625.6875	29876.3516	29254.9688	29450.3262	28971.5684	28740.6289	28726.6523	30051.3477	29627.2305	31814.0117	28590.5117	28034.8906
0.8005	29684.3125	32488.7734	28396.8945	24849.6387	29660.5234	30209.4961	28872.2949	30247.9434	28060.5098	29816.5195	28634.4355	29862.5977	28799.2441	31290.2227	28746.5703	27707.1426
0.934	30601.6777	32226.6152	28918.7266	26018.5605	29123.6406	32707.2617	29678.8242	29962.3711	28392.2773	30744.2461	27570.6113	30355.1777	29502.5742	31989.373	27572.5508	27456.625
1.0674	27830.8496	32596.1016	28792.2812	27608.0293	29207.2949	30478.3398	30327.7461	29443.6777	28873.6758	30472.0742	28390.9434	29495.498	30159.3535	33439.5391	28197.4062	28833.6191
1.2008	31704.2207	31945.7266	27852.5469	25881.2227	30151.1172	30614.1055	27884.25	30448.043	29563.1816	29614.627	27551.7695	29913.0664	30626.7676	32511.041	28118.4238	28682.498
1.3342	30345.0625	30997.0781	28691.6895	25535.1172	29373.9004	32703.793	27023.6016	31089.3066	30317.2891	29110.166	27636.3398	30695.7246	30768.5449	32569.5977	27796.2773	27759.6113
1.4676	30947.5781	31579.0312	29084.1992	24675.875	31176.166	32056.5195	28353.3301	30313.2168	30132.4883	28484.0898	25798.5312	30600.4336	30016.248	32168.4941	27509.4883	28154.5352
1.6011	29852.6953	32627.8594	27392.3379	25522.1582	33486.2891	31210.7812	28397.3984	30490.6973	29564.3164	28541.8145	25556.3496	30434.3809	28531.3164	34672.1328	28076.4805	27507.6953
1.7345	31445.877	33737.0117	28712.5332	25948.4258	36697.1289	30775.4629	29498.5605	28218.4004	28339.9082	28970.0449	25948.623	30230.6816	29345.375	33326.9727	28870.8711	26720.9023
1.8679	32487.9043	32833.5977	28818.6133	24902.1035	42062.3203	31664.6172	29618.041	29299.791	30278	28127.6309	27359.5371	29890.125	30556.8242	34584.5469	31225.2031	28615.8613
2.0013	33980.4688	32850.375	28369.4336	25268.5586	42141.2461	32281.291	30791.9023	29453.5859	31281.5391	28354.5938	27078.4434	29987.2051	32282.9883	35373.3906	30832.5332	29082.1992
2.1347	34712.6914	35108.1953	30504.2852	25730.7266	38129.418	31142.9375	31640.6426	29204.873	31313.3398	28766.2012	28696.8535	31450.1055	32498.4453	34566.1328	32242.6191	29392.084
2.2682	39359.4961	35371.4961	32143.0684	26525.3848	35212.4219	30188.9023	34311.1992	29567.1191	33542.3555	29156.4551	30825.1562	31779.9785	32277.5352	37298.4062	35586.1875	34470.6016
2.4016	43252.4258	37779.832	36162.5938	28070.1172	33455.7734	33071.2773	35256.6445	29226.2637	36707.3281	29598.0547	33616.1953	32510.1621	33451.5312	39804.3438	45365.2656	41562.9531
2.535	48068.9453	41789.9805	46418.0273	33786.5391	31351.3184	36766.9609	42968.6367	28020	45274.4727	28488.0801	42884.4922	33007.1016	34092.0195	50450.0469	58590.6797	56131.7539
2.6684	49360.2188	55919.7852	62068.7852	44896.7266	32230.5957	44706.7109	57001.4531	28183.2148	63989.6914	29530.0371	64157.5195	37845.3047	35145.0547	74587.1641	63167.5508	71145.4844
2.8019	37825.4258	81359.4297	54832.9219	59087.9648	32097.3027	53565.9336	69391.4766	29912.7734	77666.0312	32372.0723	91724.4844	44304.4375	39110.7891	120677.2969	49056.1172	64871.8711
2.9353	34215.5	93566.8984	40891.6211	55709.0039	NaN	49371.5703	59949.6367	29793.6426	63939.0312	37754.5352	85203.2109	60572.3594	43529.2227	163941.9062	36838.2852	45267.668
3.0687	32358	77335.8359	32268.2148	39928.7344	NaN	40581.8359	44854.8555	30629.9062	44857.9961	51592.5195	55588.7578	80901.2734	39996.2031	155593.2344	32759.3613	35264.1211
3.2021	NaN	49686.8672	28915.7891	29637.2852	NaN	35329.3164	34930.9062	33378.918	42396.6055	72650.5312	39956.2344	74518.3281	35474.4883	109622.5312	30545.2617	31602.8867
3.3355	NaN	39020.1445	NaN	29329.0449	NaN	35769.0898	31147.6387	44177.8945	NaN	68920.8594	33818.293	53728.375	32704.0605	67088.5469	30402.4023	29257.5605
3.469	NaN	37385	NaN	27158.293	NaN	35118.8086	32052.332	58801.5859	NaN	48542.3438	31280.0996	40370.6523	31128.3926	46266.0898	30800.7031	27934.7871
3.6024	NaN	35632.1016	NaN	26350.7207	NaN	35111.8086	31150.5312	57709.7617	NaN	36406.9531	NaN	34208.0234	30836.7734	39609.5781	NaN	NaN
3.7358	NaN	35356.4453	NaN	NaN	NaN	33556.9297	29427.166	44851.1445	NaN	32461.3535	NaN	32784.3633	NaN	36676.5859	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36748.3477	NaN	30739.2617	NaN	33165.1523	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33174.4102	NaN	NaN	NaN	32334.791	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31168.793	NaN	NaN	NaN	30736.2344	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30463.6914	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30869.4785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
