x	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_23_3g	Y_20181208_15694_6_13g	Y_20181208_15694_9_15g	Y_20181208_15694_9_5g
0	12324.7393	11439.3721	12764.0322	28745.0723	11686.3486	11396.3818	9495.2422	9211.1064
0.1334	16499.0371	12267.8311	15189.001	29290.8086	11265.9912	15301.3838	9481.2939	9314.5254
0.2668	16705.918	13162.8203	16903.8398	29013.2637	13065.4727	17818.0312	10091.7598	10409.1172
0.4003	16815.2715	15126.2773	15763.9492	28851.0391	14024.8604	17410.1602	10996.6094	12299.2119
0.5337	15354.3721	16335.3281	15022.5566	30133.4805	14340.0811	16320.5547	11205.9014	14883.7441
0.6671	14539.4297	16801.5371	15146.1211	28678.1641	14711.3926	15323.3447	12617.8438	16183.9502
0.8005	14630.3281	16863.2168	15332.3779	30901.0547	13737.2822	14511.3555	14840.6826	15642.4443
0.934	14825.6582	15934.583	15718.75	30742.3848	13759.4141	14350.6992	15805.8223	15073.458
1.0674	14712.5967	16018.0049	15873.04	30548.4805	13894.167	14462.4141	16614.9941	14365.4609
1.2008	14176.1016	15666.6787	15936.0459	30472.666	13592.9463	15469.5322	16193.2998	15017.0703
1.3342	13949.4482	14136.4697	16360.208	32308.6992	13218.7373	15436.1875	15936.7256	14870.3027
1.4676	13215.5801	14127.1953	15657.2627	36661.4961	13130.0605	15821.4883	16177.9316	14390.7412
1.6011	12917.0078	15001.2373	14875.4443	45766.7344	13027.7715	14893.2461	15424.7441	14737.668
1.7345	13373.167	15103.2998	14407.3789	67412.3047	12167.248	14987.5625	14527.6201	13381.9717
1.8679	13895.5771	14307.6221	14381.0898	90395.9141	12839.4033	14540.1416	13819.1328	13658.9736
2.0013	13299.3145	14538.8262	13365.7939	79482.0078	12620.499	14975.5967	13573.7988	13321.6182
2.1347	13172.1328	14957.085	13695.2822	54658.375	12682.5547	15063.04	13206.6133	14648.166
2.2682	13143.5264	16717.1035	13988.0518	40775.7695	12611.4814	15830.1172	13083.5654	16091.584
2.4016	12509.2324	16744.3809	13694.1982	34570.6406	12876.9863	15946.2539	13596.1855	15910.3477
2.535	12840.5928	15576.6143	13634.3213	32352.5684	12329.9219	14740.541	13211.5488	15678.1172
2.6684	12574.8389	14335.9609	14036.9512	32371.0098	12216.1475	14388.043	13066.3438	14664.7344
2.8019	13483.9014	14246.8496	13492.3262	33411.5938	11538.4775	13740.6758	13388.4541	15715.2334
2.9353	12917.7734	14865.2217	13128.1895	30515.459	12160.0176	12783.1338	13566.3535	14849.29
3.0687	11865.2393	13394.3721	12452.2344	32187.9004	11984.5674	12491.2939	13002.5518	13960.71
3.2021	12303.167	13726.3496	13224.4668	NaN	11074.4443	12606.6025	12824.6631	12998.1152
3.3355	12483.2646	13053.0898	12397.0352	NaN	11591.5361	11570.9609	12122.6982	12816.252
3.469	11665.9854	12858.041	12672.3291	NaN	11313.584	11566.3076	12017.7314	11721.4014
3.6024	12641.7178	12799.5498	11884.5352	NaN	11364.8613	11481.4375	12626.7969	11864.543
3.7358	NaN	12606.7363	11413.0537	NaN	11571.9688	11232.3643	12098.9863	11626.459
3.8692	NaN	11558.3252	11227.8066	NaN	11946.3213	NaN	11084.2578	11190.3672
4.0027	NaN	10981.0312	NaN	NaN	12033.4834	NaN	10664.5146	11369.4111
4.1361	NaN	NaN	NaN	NaN	12183.4951	NaN	10102.459	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	9824.0391	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	9409.4971	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
