x	Y_20181208_15692_30_5g	Y_20181208_15692_31_16g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_37_9g	Y_20181208_15692_38_1g	Y_20181208_15692_39_12g	Y_20181208_15692_42_12g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_47_3g	Y_20181208_15692_8_5g
0	12955.3682	11602.4121	9635.3594	12219.8857	13515.8115	12845.3789	11444.1338	10935.4951	10220.7754	11784.0488	12923.6143	11380.7471	12311.4883	10623.7451
0.1334	12867.3418	13136.7295	10695.0205	13496.6436	13616.0352	14522.5635	11498.2734	10803.834	10663.8926	12271.2236	12940.9268	12944.7432	13408.126	11592.2891
0.2668	14569.6572	15858.4961	11927.4219	14462.6094	13454.5381	16181.7607	12639.9336	12592.7988	12403.502	13119.2881	13818.5088	14583.4854	13697.667	13016.2305
0.4003	15813.1621	16448.0254	15036.6758	14873.8174	13376.3516	15832.4512	13627.4609	13935.3701	13456.4404	14605.5488	15514.9668	16669.9863	16836.3223	14609.8877
0.5337	16095.1016	15379.9717	18360.2402	15823.6621	13815.582	14673.3125	13309.2568	15736.707	13969.2119	16923.7969	16976.6504	15340.3096	20783.6133	16413.9277
0.6671	14524.3613	13327.6396	17481.2578	16144.9883	15366.1611	13722.5674	12088.3496	15093.0762	13518.3232	18993.2949	14745.0322	14424.2979	21878.4297	15514.2158
0.8005	13871.4121	12191.6523	16374.3682	15461.043	18792.3066	13592.5723	11960.2842	14633.5576	13359.5654	17853.3105	13962.9033	15233.4277	22127.4941	15094.6465
0.934	14489.9189	11857.4229	15417.1162	14281.9668	21264.0527	14064.3428	12240.7637	14938.8691	13074.9941	15148.2275	13054.7344	16968.0488	19877.0898	15007.3887
1.0674	14496.2344	11279.3438	14369.7979	13492.9277	20980.416	14593.5098	13392.1416	14347.4277	13160.4219	14956.7148	12942.8223	17172.2012	18764.0195	14721.4492
1.2008	13396.8848	10414.4209	14861.4639	13274.8799	18782.0547	14001.4844	13621.4795	14131.9062	12890.8311	16083.4258	13096.7939	17053.207	16291.8096	14464.4033
1.3342	13104.6699	10120.3887	14634.7051	13357.0234	18096.3672	14030.3857	13669.0703	14150.6201	11729.5273	16148.0801	12714.6982	15495.7676	16100.4385	13862.7227
1.4676	13037.5488	10208.9873	13847.498	13672.5303	16855.7402	12693.4414	13907.7002	13418.1885	11486.2959	17097.4102	12831.1182	14251.1465	15733.0371	13529.0166
1.6011	12621.3535	10100.3623	13181.4199	12934.3906	14986.3301	12423.333	13141.4717	12782.7461	10953.1553	14665.9688	13248.7695	13259.6426	14327.5146	12183.4199
1.7345	12125.3428	10698.9121	12484.7412	12237.7373	14792.3799	12081.2969	12685.7832	12313.2715	11319.6367	13387.127	12133.9395	12327.7217	13056.8486	12320.8701
1.8679	11869.3467	10132.3174	12622.7598	12078.8779	14128.6328	12027.5488	12201.0303	11760.6924	10945.0166	12635.7812	11509.249	12189.9336	11286.1846	11891.9541
2.0013	11482.5195	10224.0908	12477.8516	12473.1533	13957.8467	11264.7119	11852.4092	11959.9229	10831.8389	12575.4492	11824.3057	12155.8447	10562.7959	12082.2002
2.1347	11577.8359	9841.9404	11514.8164	12340.2861	12678.1494	NaN	12256.624	11709.4238	11261.5508	11409.918	12152.5635	11498.0605	9922.7363	12089.0703
2.2682	12021.0293	NaN	NaN	12985.9736	12106.5674	NaN	NaN	NaN	11103.8857	11419.7061	12216.4951	12255.5205	10142.5918	11793.6631
2.4016	11549.6914	NaN	NaN	12368.9678	12751.1885	NaN	NaN	NaN	NaN	11641.4277	11966.5801	NaN	10477.1475	NaN
2.535	NaN	NaN	NaN	12120.0234	12973.3535	NaN	NaN	NaN	NaN	12323.9863	11730.6602	NaN	10203.1494	NaN
2.6684	NaN	NaN	NaN	NaN	12126.1172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10579.7383	NaN
2.8019	NaN	NaN	NaN	NaN	11677.9668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10185.6523	NaN
