x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g
0	27171.5684	28477.9707	29914.7539	32124.4453	31563.8047	28245.8828	27604.6328	27023.3887	29099.8789	24784.7227	27242.6543	29454.9277	26001.8184	26950.5078	26676.3164	31988.4336	29251.4355	29056.4512	32363.8105	28332.7344	30191.4766	30299.4746	29876.707	30882.7578	27369.9863	28319.7461	32549.4961
0.1334	26529.1562	29013.5254	29418.2363	33322.9492	31159.0098	27892.9395	29699.207	27883.4453	28737.9121	24159.4062	28123.9219	30710.1445	27458.0449	27180.5625	28320.791	30526.1133	29564.252	28595.5312	32549.2402	28609.2656	28880.4062	30092.7637	30051.2129	30326.8281	28817.2148	28892.2559	32977.5547
0.2668	28274.6914	29346.4941	30169.3965	33886.0977	29836.7324	28201.168	28069.1602	28263.4785	29953.6016	23854.7402	29692.877	30948.8047	25858.2793	28121.7891	28749.2266	29915.8496	28719.1973	28934.3105	32740.0488	28762.7441	30412.8535	30668.7754	29147.0137	31365.6543	28323.7422	30440.2031	32695.4238
0.4003	28710.2832	28740.752	30024.3516	33372.6406	32452.4219	28172.6953	28252.1152	28253.0605	29238.6699	25494.3477	29357.4199	30740.2188	26894.9785	28919.2051	27270.1504	30973.0449	29264.0293	29221.5254	33379.5859	30614.9355	30737.918	30077.3438	28870.709	31177.2285	28042.5996	30460.1309	33457.2773
0.5337	29126.9727	29223.3887	30358.4941	34706.2539	31626.1973	28582.1777	29295.1465	28089.6914	29530.5605	24707.2324	29150.541	32290.4453	27539.9023	27592.8242	27726.3477	31851.5098	30162.0332	29105.0957	35434.2812	31827.2012	31532.2969	29971.748	28619.2988	31184.7441	27188.9727	29491.4961	32959.5625
0.6671	28390.2402	32391.4629	30178.9805	33775.8164	31427.373	27337.248	29436.3457	28841.6035	29497.5	24963.168	30618.3555	32428.0176	25215.4453	27185.0234	28223.5	28922.7891	31473.0996	30469.4844	34580.9688	30480.7383	31608.0371	32509.7324	30941.3164	30795.5391	27930.5508	29709.8047	33521.1562
0.8005	28989.0566	30300.5586	30213.2891	33989.4375	31047.9395	27576.041	29386.7051	27788.7715	29183.4004	25909.8809	28970.1973	33248.4258	27430.4902	28432.252	27151.5	32305.7715	33037.9492	30262.6504	35251.4414	30989.5098	29932.1523	31989.9805	30589.8125	30507.4609	27722.2148	29588.918	35856.4531
0.934	29673.6328	29318.1816	30330.6895	34905.5703	31305.7344	29002.3359	29142.4023	28055.0527	29223.502	26133.8145	29435.3965	31071.043	28324.9805	29364.0547	28831.1016	31821.373	31402.2441	30574.9609	34018.7461	31611.2051	31742.0332	31952.002	31139.123	30866.5273	28112.4355	29854.7129	34957.0859
1.0674	29433.375	29861.5918	30351.7266	34892.875	32189.1172	28959.8926	29567.793	27495.6094	28655.8887	26107.3398	28860.9941	32378.9805	27453.6387	29102.7324	28353.1152	30219.5684	29945.5117	30782.3184	35610.1094	30313.041	31722.1562	31786.6387	29681.6289	31215.5723	28227.9785	31367.5996	35906.4727
1.2008	29603.3535	31525.2422	32243.6816	36889.7578	32967.75	28751.3613	29375.7637	28027.4883	28887.6484	25241.2871	28798.3574	31678.6484	29227.2305	30017.3145	29354.8945	29857.4277	29691.7109	30821.9707	35852.1289	30199.9551	31209.0332	32116.1367	30031.6738	31870.2969	27386.9941	31666.4277	35548.0039
