x	Y_20181208_15100_16_3g	Y_20181208_15100_10_2g_right	Y_20181208_15100_16_9g	Y_20181208_15100_18_1g_right	Y_20181208_15100_23_2g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g_right	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_8_3g_right
0	30529.9355	30236.6152	29400.7012	28249.8047	27871.5469	26491.9688	27497.3223	25084.0254	31642.959	31712.3242
0.1334	29444.1016	30464.1797	29004.5664	29745.4277	30026.5723	27758.3359	27608.1309	23817.0977	30914.9492	31127.5762
0.2668	29240.625	32429.0547	30226.6758	29072.748	28308.2402	28264.002	28000.5684	24865.5977	30638.6387	30877.1895
0.4003	30954.7773	31712.5273	30391.4375	28486.7266	28372.127	27325.4727	26976.1309	27205.5996	32093.6211	30791.2695
0.5337	29852.2324	32732.7852	31218.6289	29794.1953	29933.6191	28635.3848	28243.1504	24525.7207	32710.9551	32255.1973
0.6671	29080.4395	32041.1875	30375.6016	29808.8125	30250.1367	29117.0273	28824.4043	23265.3594	31713.3945	30614.0176
0.8005	29474.248	31394.2695	30202.9043	29837.1445	28569.543	28023.252	28100.0586	24061.3809	32197.0352	30848.1484
0.934	30938.7227	32430.7441	29422.2344	30803.6465	29286.8867	29900.6055	28246.1055	24262.123	32254.6484	31371.6699
1.0674	30547.0664	31429.2617	30092.8848	30264.5254	29994.8398	31078.5996	27822.2344	23749.7734	31934.1816	33740.7539
1.2008	33407.3984	32502.7109	30024.1621	29727.2812	30753.2949	30357.873	27277.3926	24931.8535	32363.1055	36921.6719
1.3342	35541.6523	33434.8789	31899.6602	30060.8789	33590.7109	29851.2402	27573.6348	24074.7598	34565.2266	39949.168
1.4676	41734.082	34462.1406	33976.4375	32206.5586	41619.9414	30941.8652	28425.123	25077.748	39912.8945	38476.418
1.6011	51987.8242	37927.8203	40989.8516	36847.043	57319.5703	32132.252	29105.2422	28973.7285	54993.0625	37786.9805
1.7345	61319.0234	42470.168	53153.5156	38329.4141	71179.0156	37156.625	28621.0527	34565.9531	90728.6719	39453.6602
1.8679	56748.5742	48796.9531	55416.2305	36125.6484	58390.2617	46159.5039	33015.0234	45172.2812	125609.6328	39222.7188
2.0013	43935.3086	45573.7539	44400.6055	31950.1758	42119.5078	47740.457	38104.1602	53573.2852	111756.3594	NaN
2.1347	37713.1875	38843.125	37628.1875	30355.9531	33836.8438	42487.0742	48791.7773	47188.8359	72216.6094	NaN
2.2682	35380.1055	34780.7422	33955.2617	28738.3066	NaN	36462.8789	55161.2852	34721.875	47883.6992	NaN
2.4016	NaN	34617.625	NaN	29736.0703	NaN	33897.7617	50746.9375	28513.0586	39618.4453	NaN
2.535	NaN	NaN	NaN	NaN	NaN	32870.625	37295.7344	25664.7344	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	37085.1211	30604.6367	25691.9961	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	28161.1797	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
