x	Y_20181208_15794_1_18g	Y_20181208_15794_10_4g	Y_20181208_15794_12_9g	Y_20181208_15794_14_3g	Y_20181208_15794_14_7g	Y_20181208_15794_15_2g	Y_20181208_15794_15_8g	Y_20181208_15794_2_5g	Y_20181208_15794_20_10g	Y_20181208_15794_20_9g	Y_20181208_15794_23_13g	Y_20181208_15794_23_15g	Y_20181208_15794_26_22g	Y_20181208_15794_27_12g	Y_20181208_15794_27_4g	Y_20181208_15794_30_7g	Y_20181208_15794_6_14g	Y_20181208_15794_6_7g	Y_20181208_15794_6_8g
0	31012.0137	33357.9375	31243.8066	25284.5645	28745.0723	28882.998	27920.1738	32212.041	30738.9316	27478.0449	29910.0469	27000.291	24445.6172	31273.9629	29502.623	28266.0625	28917.9648	26937.3398	28786.1836
0.1334	30587.1328	33736.0508	31747.8535	23975.2891	29290.8086	30102.7617	28506.0527	32739.2852	30576.5957	27841.6621	30052.8379	26142.7129	24511.0352	32011.3477	29558.7305	29517.3418	28697.8438	28218.416	28624.4844
0.2668	31924.7715	33458.0234	31837.625	26047.0352	29013.2637	30231.7949	28168.373	31155.3945	31071.1953	27751.6973	29241.1973	26054.4102	23886.2617	32269.209	30142.3848	29488.4883	29861.1992	29413.5488	29351.9082
0.4003	32333.1367	32063.9512	32326.0996	26768.4238	28851.0391	30040.1484	28080.8984	32031.9688	31573.3945	27711.4883	30544.5645	26231.9355	24542.6348	32670.5625	29784.3027	30902.2422	31106.1387	28158.5645	29049.4004
0.5337	32648.0508	31549.5977	32048.7051	26071.4668	30133.4805	31030.6465	28459.2285	31880.9746	30802.7852	27649.5469	30131.1289	26572.8438	25922.5664	33587.9297	29451.7109	32672.8906	29875.8887	27395.3359	29010.9668
0.6671	32330.0215	31261.082	31429.3203	27184.8457	28678.1641	31992.7129	29832.9922	32384.5098	30998.3027	28076.293	31109.0449	27202.7578	25526.6543	32476.7344	29381	31586.543	29421.127	28503.0039	28762.2715
0.8005	33015.3203	32185.7207	30947.8906	28265.8184	30901.0547	31809.1191	28548.3555	32534.4316	31159.0566	28880.4102	32045.9375	28962.584	26922.3262	34072.0391	28723.3145	32215.8652	28535.2305	28399.5879	28430.1172
0.934	33091.8555	31897.4727	31248.8613	27209.793	30742.3848	34210.1719	28591.5059	33256.8125	33010.7734	29474.1992	32492.6582	29570.7988	29266.416	36223.4805	29761.0918	31964.8066	29211.9121	29010.6816	29015.7832
1.0674	34767.3164	34728.6914	32701.7793	26836.7559	30548.4805	34972.9219	30482.6875	33106.4023	32348.3555	29908.4434	32371.9434	31396.377	35116.2812	37689.6328	30363.7559	37249.957	31280.7012	31101.5508	28468.3359
1.2008	36420.8047	37530.3906	33948.3711	26503.3125	30472.666	36986.8594	31568.502	32970.2305	32597.1523	32074.0566	33477.3867	36982.7461	49280.2461	41784.0586	33023.0664	42483.1836	34678.2852	37889.75	30223.3711
1.3342	39319.0781	45009.5039	37783.3359	29812.2812	32308.6992	37701.457	34266.1562	34400.6953	35031.7383	34470.2305	34931.5664	50418.5977	70578.1719	50090.9258	36680.2969	53249.1289	40611.5078	51712.3086	32421.877
1.4676	48926.2578	52396.5	49522.7227	36847.7266	36661.4961	39552.5898	44074.6602	35490.8125	38868.9766	41353.6016	38569.2891	66055.1484	70073.5781	54860.9453	47113.168	50928.6289	51762.7773	74987.5625	40176
1.6011	57621.6523	49358.3398	59176.1289	50010.5195	45766.7344	42898.1562	60865.4297	42238.6602	49419.043	44397.8906	46479.2227	61313.457	49343.0469	46006.1367	53149.4492	39919.0586	65665	82333.6406	55765.9766
1.7345	53180.6055	42599.2852	54297.8359	55471.4062	67412.3047	47040.9375	64027.6406	60366.3242	69416.8984	39634.7148	54631.3828	43773.5859	35431.9961	39874.375	46583.2695	35551.7188	60388.6602	60910.1211	67615.125
1.8679	40922.4414	38622.3672	43167.2656	42583.4805	90395.9141	48428.2734	47913.9023	86479.3438	71487.6562	35967.6445	54769.2383	33956.25	31091.9062	37182.4023	38561.8594	34687.1133	43994.8555	42037.7383	59605.3711
2.0013	36502.0547	37115.8242	35778.2773	32853.3477	79482.0078	38432.4844	36413.0391	85996.9297	55574.8711	33513.3594	43832.5586	31824.8633	28847.5156	35686.4336	32808.2383	35287.2773	37585.918	35231.3203	41762.5547
2.1347	34733.8047	35495.2812	35434.0391	29475.8711	54658.375	33055.5547	31673.8809	59025.9648	40893.2305	32164.1094	35579.2383	30741.7539	27813.6895	35567.4492	29477.6758	NaN	33045.7109	30652.0723	32356.3496
2.2682	33430.0508	NaN	NaN	25680.8828	40775.7695	32587.7012	28653.3516	44484.2383	35335.5156	NaN	34061.793	29132.5078	NaN	NaN	29787.9961	NaN	32020.0586	28822.8047	30712.002
2.4016	32401.6191	NaN	NaN	25450.4902	34570.6406	NaN	NaN	38693.6016	35012.5078	NaN	32688.5977	NaN	NaN	NaN	29692.6973	NaN	31449.8789	28874.6816	30109.2891
2.535	NaN	NaN	NaN	24882.0957	32352.5684	NaN	NaN	35940.6133	34256.8281	NaN	31143.1211	NaN	NaN	NaN	NaN	NaN	28980.9883	NaN	28276.959
2.6684	NaN	NaN	NaN	NaN	32371.0098	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27717.1895	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	33411.5938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29607.8281	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	30515.459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	32187.9004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
