x	Y_20180130_15100_1_2g	Y_20180130_15100_1_5g	Y_20180130_15100_1_8g	Y_20180130_15100_2_8g	Y_20180130_15100_3_15g	Y_20180130_15100_3_18g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_5g	Y_20180130_15100_4_7g	Y_20180130_15100_4_9g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_7g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_6_7g	Y_20180130_15100_7_3g	Y_20180130_15100_7_8g
0	11327.644	11260.525	11907.8	11649.849	12187.5	11480.275	13103.146	11890.444	10139.758	12570.167	12593.455	12991.791	14378.332	11288.801	13472.829	12113.319	13021.729	14481.788	13619.624	12403.358	13283.023	12686.435	13502.26	11812.45	12710.015	11138.076	11352.679	11526.988	12121.709
0.1334	11207.96	13299.469	12385.25	12831.618	13633.829	12877.297	14454.572	13040.701	12074.812	12369.444	13451.6	11870.257	17795.818	11676.935	15366.725	12880.429	14478.968	16047.407	14007.579	13780.181	15030.077	14110.746	14127.848	12946.242	12990.546	11749.84	12009.156	12230.682	14098.521
0.2668	12903.9	18456.926	12685.24	15047.522	16962.803	16797.605	16706.791	16040.662	13924.107	13399.959	14306.889	13522.779	20940.277	12651.177	18928.352	14291.742	16480.846	18321.355	15232.94	14866.059	17029.494	18511.281	15380.755	14283.383	14748.924	12925.018	13335.333	12904.507	14366.551
0.4003	16334.959	26969.441	13700.388	18925.848	17197.902	18335.996	17062.293	17119.316	17224.309	14692.687	16469.234	15633.587	21190.844	16177.09	18316.125	16334.849	17203.365	20621.076	16942.82	16243.109	18346.6	21257.699	16616.947	15436.131	16726.881	15557.161	14312.393	13160.128	15098.404
0.5337	19866.479	30147.316	15553.534	21826.355	15979.21	16841.885	16895.367	16773.189	17658.559	15387.588	15958.13	16968.398	19624.371	19591.734	16451.982	16090.343	16463.824	19298.762	19274.037	15042.057	16378.503	20445.264	20187.35	19831.379	16027.51	16730.355	13937.894	14276.396	18006.941
0.6671	18888.391	25983.467	15355.916	20794.873	13805.18	15152.26	13840.27	15376.793	15672.492	18359.297	13953.114	16614.854	16889.039	19963.625	13703.359	15021.006	15407.743	17183.209	19810.012	14927.127	14205.941	16647.053	19316.418	21752.752	15837.949	15519.698	12375.522	14757.914	20504.182
0.8005	15931.185	19953.23	14130.058	17572.193	12834.82	14423.827	12999.854	14039.554	14283.949	17573.473	14074.231	14254.735	15954.622	17998.674	12295.79	13664.033	15089.612	15721.08	18495.551	14396.597	12749.776	15370.507	18774.988	20796.24	13800.751	14685.755	12398.2	14073.937	19757.152
0.934	14389.136	17057.268	12805.184	15550.632	13167.091	14705.525	12460.164	13045.459	14255.854	16548.773	13736.471	13462.698	16179.408	15562.616	12459.69	13359.923	14333.659	13423.726	16132.451	13801.325	11613.292	16372.762	18257.236	19029.787	12840.214	12949.498	12410.348	13655.116	17660.111
1.0674	15561.914	15674.319	12495.729	14144.385	13012.292	13554.837	12350.495	12248.307	13460.34	16791.65	12810.358	12953.943	14690.288	14307.081	11990.638	13356.007	13809.304	12996.249	13684.355	13295.581	12471.895	18433.156	16904.92	17092.26	12844.006	12596.673	11844.571	13205.315	16793.188
1.2008	15436.981	16038.395	11729.115	14275.468	13134.399	13259.12	12278.489	11997.326	12871.845	16854.932	13285.008	12275.011	14100.775	13566.827	12535.45	13715.312	14251.579	12875.786	13126.221	13975.462	12648.437	19502.721	15747.353	18233.615	13074.646	12965.052	12585.209	13068.669	15044.56
1.3342	15986	18461.539	13357.91	14754.203	13377.448	13031.197	12343.781	12069.27	13706.753	18228.164	15063.98	12609.812	13961.069	13581.074	12924.205	14176.459	14048.395	13865.469	13170.234	15265.666	12932.662	20100.314	16360.698	18006.453	13648.542	12775.576	12682.152	12960.589	14945.56
1.4676	15980.296	21305.404	14264.905	14373.09	13764.107	13723.312	12292.033	11716.704	15156.429	16478.727	15221.948	12911.424	13174.615	13645.513	13386.61	13250.34	13181.961	14055.694	12912.573	15157.041	12968.944	19176.391	16350.097	17443.666	13623.357	12409.566	13998.12	13085.843	14040.28
