x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_5g	Y_20181208_15694b_3_1g	Y_20181208_15694b_6_6g
0	27430.9141	34419.1719	27147.5449	27050.4707	31278.3574
0.1334	25129.0645	34913.2578	28114.8203	28568.416	29966.7207
0.2668	24271.7637	35279.6836	28353.5117	30064.3906	29400.2266
0.4003	25864.9746	33390.5039	28601.543	28288.3105	32013.1797
0.5337	27165.7012	33131.4453	29012.3516	29006.4473	31346.2188
0.6671	27335.6777	32007.0508	28524.5859	31994.4062	29916.9121
0.8005	26382.9258	33425.3516	29071.0352	30665.2852	31347.5273
0.934	27844.8262	32417.1133	27537.498	30059.3066	31227.2129
1.0674	28152.0547	32596.2734	32217.9961	30323.1855	31123.5176
1.2008	28911.375	33852.4297	34619.7383	29895.8008	31260.0371
1.3342	28023.3848	36498.6211	42300.6523	31595.9453	30350.9258
1.4676	28336.6543	42030.1914	60843.8516	31984.3516	32120.918
1.6011	30044.2129	52375.1953	89070.1406	32783.6953	32630.7207
1.7345	33237.2773	73331.7812	90010.0859	34362.2656	32214.7461
1.8679	42209.4062	80410.6797	64788.5352	42159.543	34606.9453
2.0013	62577.2617	63805.7031	44372.4258	49885.8398	37325.2852
2.1347	72391.5312	44402.1133	NaN	47831.3047	40305.2188
2.2682	57719.9688	36237.6289	NaN	37914.3047	51472.9102
2.4016	40715.0273	33396.6328	NaN	32799.6328	61586.1445
2.535	32591.0547	32568.1445	NaN	30078.6738	58223.8711
2.6684	30761.5137	NaN	NaN	28981.3926	46031.4219
2.8019	28750.4121	NaN	NaN	NaN	37603.4453
2.9353	NaN	NaN	NaN	NaN	35056.6719
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
