x	Y_20181208_15694b_1_4g	Y_20181208_15694b_6_10g
0	30080.6191	25938.5742
0.1334	31557.3281	24964.3398
0.2668	30502.3047	26190.9922
0.4003	29346.3633	25321.4883
0.5337	30572.9375	27520.5391
0.6671	31158.5625	27270.3047
0.8005	30467.2637	26060.4961
0.934	31916.8086	26076.1289
1.0674	32251.2031	25461.707
1.2008	32423.5645	27039.1953
1.3342	31564.3457	26053.25
1.4676	31971.1348	24906.0508
1.6011	32430.7773	27597.5723
1.7345	34633.7812	27650.207
1.8679	34471.7031	25990.8828
2.0013	37666.0664	28268.4902
2.1347	44430.9648	27989.7207
2.2682	58872.1992	30570.2207
2.4016	62971.3594	36700.3984
2.535	54153.6367	46721.9727
2.6684	42379.7969	74600.5312
2.8019	36841.9922	88860.7422
2.9353	34372.3711	66772.5469
3.0687	34906.5273	44896.1758
3.2021	NaN	39384.4766
3.3355	NaN	35061.4297
3.469	NaN	30735.0195
3.6024	NaN	31366.9512
3.7358	NaN	31857.6992
3.8692	NaN	NaN
4.0027	NaN	NaN
