x	Y_20180212_14590b_16_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_28_3g
0	11421.674	13576.913	12611.169
0.1334	11811.882	14663.073	14113.854
0.2668	12557.911	15904.816	15758.84
0.4003	15152.697	19145.766	18064.959
0.5337	16799.691	19915.338	17975.053
0.6671	15700.384	20491.914	17486.869
0.8005	15607.891	18491.055	17177.953
0.934	15799.425	17851.084	16723.584
1.0674	14708.492	18141.566	17030.098
1.2008	14345.269	18744.516	15914.582
1.3342	14424.08	19680.256	15288.926
1.4676	15046.889	20309.09	15599.398
1.6011	14479.887	20293.973	15485.707
1.7345	15448.262	21261.229	15644.92
1.8679	16237.372	21789.375	14831.61
2.0013	17723.393	23442.812	14145.186
2.1348	19585.17	20981.857	13619.174
2.2682	20494.559	18473.977	NaN
2.4016	NaN	16760.02	NaN
2.535	NaN	16443.846	NaN
2.6684	NaN	16726.688	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
