x	Y_20180212_14590b_16_6g	Y_20180212_14590b_16_9g
0	12498.394	15087.314
0.1334	15422.453	15830.807
0.2668	20293.74	16982.938
0.4003	27581.451	21292.326
0.5337	30618.451	25180.566
0.6671	30836.23	26357.029
0.8005	28664.217	26310.049
0.934	25627.934	24436.525
1.0674	27097.264	23633.436
1.2008	24699.119	22738.26
1.3342	22604.814	24117.877
1.4676	20593.918	24825.855
1.6011	19355.559	23304.557
1.7345	19121.793	21562.307
1.8679	19947.27	19722.18
2.0013	20609.5	18284.309
2.1348	19445.395	16951.168
2.2682	18134.775	15577.049
2.4016	15837.358	15585.374
2.535	15203.995	15646.635
2.6684	16700.979	15326.322
2.8019	18226.598	15947.783
2.9353	19989.678	14556.987
3.0687	21560.859	14634.442
3.2021	26228.855	15602.186
3.3356	33239.77	15569.062
3.469	36967.34	16306.505
3.6024	30362.721	15906.542
3.7358	NaN	13910.221
