x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_2_8g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
0	15605.242	15413.633	12846.668	14435.79	13339.233	15113.507	13962.734	16863.381	12770.028	18241.043	18554.82	13515.261	13701.931	16990.438	14640.917	13557.837
0.1334	16740.498	17304.473	16018.386	16445.539	14225.53	15823.706	15390.779	22022.014	14584.754	21391.957	20260.074	15387.428	15925.155	23816.658	15926.522	14394.677
0.2668	17840.605	21344.211	22978.107	22971.258	16473.332	18765.742	19751.086	31636.471	18107.6	27012.318	21999.941	18482.488	19958.578	33411.98	19180.701	16326.283
0.4003	20627.871	28507.398	35518.316	35165.312	24769.996	24040.289	27596.705	43342.52	28315.672	40636.523	28157.828	24757.172	24263.014	34968.367	26928.941	20568.119
0.5337	29520.234	28696.158	39467.324	39377.492	29497.875	28996.09	30861.83	41591.266	48784.504	48269.293	45583.371	39043.125	24909.404	28808.205	37357.773	24274.168
0.6671	41047.477	27619.084	32932.535	33899.488	26562.834	30326.605	26372.518	32147.037	52577.09	46298.93	66138.555	49835.746	24541.516	23642.107	39734.965	22650.119
0.8005	39378.406	23861.797	31078.621	27173.979	23561.82	26601.684	22769.887	26150.16	38177.82	41558.414	66499.539	41405.598	24249.051	20699.539	32150.275	18358.264
0.934	31547.24	20541.969	28473.041	21851.953	22217.025	22169.877	21077.662	22108.855	28206.402	36672.148	51535.867	28164.83	22775.684	20142.502	26761.035	17554.348
1.0674	27332.564	18790.254	25079.734	20694.273	21930.582	21881.264	19663.076	20383.871	24039.355	30984.686	36346.379	22293.588	20967.764	20216.467	24065.883	18340.172
1.2008	26493.359	17960.469	22620.406	20334.977	21337.744	23478.271	19957.42	20505.031	23099.17	29251.828	29759.996	22450.193	20062.768	20092.814	22355.775	17130.754
