x	Y_20180224_15100_10_3g	Y_20180224_15100_12_2g	Y_20180224_15100_12_8g	Y_20180224_15100_15_2g	Y_20180224_15100_15_3g	Y_20180224_15100_16_4g	Y_20180224_15100_16_6g	Y_20180224_15100_17_1g	Y_20180224_15100_21_10g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_28_7g	Y_20180224_15100_29_7g	Y_20180224_15100_2_1g	Y_20180224_15100_2_9g	Y_20180224_15100_30_1g	Y_20180224_15100_30_2g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_4_5g	Y_20180224_15100_6_3g	Y_20180224_15100_6_6g	Y_20180224_15100_6_7g	Y_20180224_15100_6_8g	Y_20180224_15100_7_11g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
0	15845.059	20845.58	17717.771	13074.808	14710.552	16469.807	16872.803	15268.539	18567.736	14095.978	12961.467	13941.659	15920.373	16606.82	13746.637	14685.487	15334.229	15901.287	12903.95	12359.675	17261.312	15910.036	15973.454	12683.002	17457.586	16934.689	15116.513	15929.158	15311.1	13953.922	15357.975
0.1334	15691.957	21732.072	17671.506	14360.905	17083.523	17161.617	17604.748	15621.778	17974.93	15884.468	14260.398	14372.038	15648.251	17016.51	15237.127	15887.938	16196.659	16722.559	14352.528	13376.551	18251.738	18021.914	17114.105	12751.879	16973.576	18133.832	15757.982	16806.713	15963.2	14787.071	16505.104
0.2668	16754.859	24244.35	18028.574	16128.432	23444.82	18047.623	19325.811	17062.486	17931.623	17736.836	15849.305	15531.903	15750.104	18218.363	16356.285	17872.898	18421.594	17668.049	16930.734	14998.757	19383.543	19100.424	17302.953	15226.272	19337.471	19806.428	17972	18196.656	17164.301	18383.652	17631.191
0.4003	20581.369	28475.768	21230.873	20094.99	26678.742	18945.74	20882.99	20052.004	19611.756	19395.246	18056.484	16562.602	17735.744	18347.221	18339.469	18475.873	23263.598	20284.334	20051.352	18111.457	20750.639	21282.918	19116.371	18567.537	20334.49	21419.068	19800.342	22880.697	18976.4	19672.107	20409.213
0.5337	27208.332	29610.787	25235.354	22635.756	26939.369	18163.41	23108.316	21624.229	21989.146	17956.375	20007.01	17587.266	22412.744	16548.783	21722.939	17670.186	22211.129	22550.814	21487.238	21694.916	19989.176	22727.064	21067.529	20637.941	22818.297	19700.41	24969.727	28091.189	18046.301	20873.305	24540.643
0.6671	30609.816	27062.201	30139.311	23316.482	25857.871	18745.582	23326.551	20223.713	24515.773	17878.605	20580.191	16855.125	24238.67	16922.77	23482.121	17303.133	18853.953	21914.076	19053.031	21851.422	18259.568	23586.506	24188.346	20967.535	21711.639	19909.83	25756.305	33247.086	17791.199	19754.768	25383.725
0.8005	26908.469	23401.062	27253.023	23908.172	22366.211	17318.461	22824.186	18374.842	25664.66	18109.77	19701.877	16280.321	23104.92	16143.357	21669.182	16470.518	18004.074	19931.92	17576.074	20800.033	19332.166	23209.467	23966.191	22052.543	19636.428	19962.17	25181.668	30856.99	18675.1	18171.188	23014.438
0.934	22425.203	21618.908	23504.133	23659.281	20947.988	17024.047	22295.217	17252.041	22055.992	18015.066	18742.727	16775.793	22575.814	16293.4	21030.211	15778.012	18089.609	16615.35	17884.377	18754.822	18319.867	22165.941	23198.131	21205.607	19112.674	19397.676	23568.367	28544.99	17657.4	17870.5	20892.471
1.0674	20439.309	20897.109	22417.703	23207.732	20945.791	16238.052	23999.926	17737.877	20746.898	18050.16	19292.188	15764.163	19648.352	16294.362	19628.043	15456.033	16788.756	16411.336	17314.842	18162.141	18827.039	21532.035	21700.988	21344.637	19030.723	17958.553	21955.062	26016.133	17656.6	17716.057	20449.639
1.2008	19979.744	19445.576	20373.168	22025.498	18712.188	15256.893	26363.152	18377.965	20092.525	17826.67	17500.158	15396.537	19151.809	16497.035	17708.164	15039.19	16179.01	16098.247	17213.816	18688.303	17632.281	21020.889	20651.34	22538.701	18181.195	17395.822	20310.426	23308.369	15652.4	16308.532	21229.062
