x	Y_20181208_15100_1_2g	Y_20181208_15100_1_7g	Y_20181208_15100_12_2g	Y_20181208_15100_14_8g	Y_20181208_15100_14_9g	Y_20181208_15100_15_1g	Y_20181208_15100_15_7g	Y_20181208_15100_17_11g	Y_20181208_15100_22_14g	Y_20181208_15100_22_15g	Y_20181208_15100_22_2g	Y_20181208_15100_24_2g	Y_20181208_15100_25_3g	Y_20181208_15100_27_6g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_30_2g	Y_20181208_15100_4_6g
0	11209.5	10747.4424	10712.4932	9914.1504	9769.6006	12133.5693	12953.9023	11076.2949	10366.9775	13255.8672	12105.6279	10640.1035	12458.7969	11018.4219	13526.4111	11405.8594	10687.5703	14698.1865
0.1334	12476.2363	11487.6748	11009.2549	10642.623	11413.9531	11730.7334	17913.8633	12822.7344	11591.9697	15769.6475	13015.043	11753.2432	15721.6035	12223.2803	16534.8965	12368.3877	10862.1787	18389.6133
0.2668	14829.2441	14605.3262	11068.1328	11851.2705	14532.2803	12535.4668	22656.623	16500.8125	13444.7441	18051.5352	13878.623	14174.3672	16455.207	14699.8369	18210.0684	12650.957	11047.4629	21743.4316
0.4003	18027.4551	18393.4258	12842.248	12788.2031	17060.6562	12740.2178	21098.1328	20448.8926	16575.7715	20885.0332	16860.9355	15463.3301	15725.5625	17191.3906	15951.3896	15186.6797	10973.2705	20477.8867
0.5337	20566.7969	17714.5488	16618.2188	12732.8955	16905.0859	13781.1592	16428.2148	21250.8711	17305.627	19511.4805	19224.6855	14875.6123	15002.1738	18460.3945	13410.9863	19440.3262	12175.7314	17253.8594
0.6671	19256.9023	15248.6416	18923.5449	12962.9961	14554.3516	15444.7969	13830.8037	17672.0312	15641.4434	16517.7383	18788.9746	13433.0527	14621.999	15368.9111	13178.001	19220.1934	14233.9609	16049.0557
0.8005	16527.8281	14303.3711	17793.0684	13983.2881	12844.1035	15307.4619	13447.623	15709.4668	14645.8535	14619.7129	16650.0039	12329.0957	13963.9072	13875.7617	12625.1777	17567.9062	14055.3682	15479.2832
0.934	17151.6055	14072.002	16575.1484	16263.6494	11821.1748	13665.9521	13416.1055	14247.4014	14498.0918	13262.4883	15608.501	12009.7715	14997.9902	12974.2344	12158.8672	16398.3652	13356.4258	14862.7461
1.0674	17257.9785	14219.7178	15739.1514	18178.4844	11613.2871	13606.9072	12644.5713	13290.1445	14564.3389	12478.5518	15931.9062	12087.1172	14348.9238	12599.8223	12206.1484	15965.8535	13227.4619	14564.7295
1.2008	16507.6738	13727.1074	15098.5225	16495.4492	11462.4316	12624.9727	12571.6084	13451.2402	15215.2432	12422.4766	14517.9893	12797.3057	14381.7891	12710.9336	12111.0439	15896.7041	12635.6475	13816.0029
1.3342	16196.9648	13115.6895	14997.3896	14670.7344	12003.4199	12453.8584	12859.9893	13877.4688	14865.9365	12910	13834.5	13031.9941	15210.1719	12433.8311	12539.999	15541.8545	11932.7051	12247.542
1.4676	14613.5889	13501.7832	14973.9609	13407.9336	12081.791	13084.7061	14211.7285	14338.5918	14647.624	13486.959	13298.7373	12997.7363	14788.1748	12776.3516	11964.2139	14601.6299	12660.3428	12841.0605
1.6011	15529.0293	12917.9971	13973.3232	12849.8818	13262.7207	13048.5664	13793.1123	14301.7158	14057.123	15004.9307	15207.0254	13108.5693	13590.0117	13216.0439	11705.6396	14693.7139	13368.0889	11994.1982
1.7345	14269.5283	12594.0322	13389.6338	11816.3203	13939.9424	12692.3916	14435.2285	13909.3965	13630.0371	17211.752	15912.0479	14982.6348	12489.9922	13123.1924	11540.0166	15437.6436	13980.0879	12263.9883
1.8679	13129.5869	11939.7881	12190.792	10991.5586	14245.9668	12055.4004	14663.7314	14067.3301	13677.041	20315.5801	16498.875	17146.5254	13344.7705	14094.7861	11327.8564	14043.9082	14153.3623	12741.2119
2.0013	13294.7715	12148.9795	11653.5703	11288.5332	14099.6699	11793.0195	14223.4746	14629.79	13151.1719	21018.6172	15173.0938	16353.4834	13574.7129	14012.2939	11645.3027	13950.7695	14601.9668	13017.5713
2.1347	14292.8223	12124.2637	11611.1934	11126.5254	14136.9287	12772.0029	13862.5986	15702.6279	13684.1211	21773.9941	13484.7148	14935.8301	13500.8848	13741.9229	11130.7744	14225.3184	15078.9619	12954.2275
2.2682	14608.168	12056.1895	13672.6064	10736.0986	14575.5127	14525.9834	14912.8184	17237.3984	14527.5146	20323.9473	13132.3359	15054.4082	14943.8838	14620.6055	11099.1211	14002.3584	14450.4502	13822.3809
2.4016	17124.082	11635.4785	15855.9082	10678.1992	15197.5771	17466.9434	15479.0811	18307.3867	16626.2988	19426.6406	13464.502	14541.0713	14246.5371	14754.791	11091.0088	14519.4287	13754.9912	15377.3896
2.535	17888.8457	11344.7197	17126.5879	10721.6953	15082.3535	18570.2637	15394.9932	17213.9805	16728.6172	18230.3926	13418.3418	14319.6309	14032.6602	13219.6729	11741.2217	15258.7969	12842.3965	17195.9492
2.6684	17417.2031	11363.5889	17143.0098	10640.042	14721.9248	18151.8555	15050.9033	15308.2012	16505.1992	17672.1113	13949.542	12961.4717	14946.7969	12948.1709	12573.1816	14172.7305	12322.7773	17398.9609
2.8019	15794.2002	11795.6572	17065.502	11346.4854	12996.6064	16124.3506	14478.2734	14062.0029	15994.4541	15597.8516	12451.1592	12687.207	14885.748	12417.5977	11841.4199	13103.3633	11922.2988	15086.5918
2.9353	14174.8906	12053.7021	15457.0186	12382.8438	12582.1357	13852.5713	14796.085	13438.7617	15007.6484	13994.5264	11258.9199	13247.3887	15353.9844	12147.5264	11530.9648	12185.2441	11254.4092	14427.8115
3.0687	13828.3848	12158.4717	14856.1416	12773.5693	11784.9668	12776.9717	14723.0449	12984.3701	13700.0303	13426.1709	11446.1699	12296.0996	14608.2002	11917.126	10948.2275	11941.4473	10845.3154	13235.2881
3.2021	13086.6055	13182.0625	13806.6611	14956.2256	11297.3115	13377.2617	13698.0195	12544.5537	13499.7793	13377.0615	11357.3486	11881.3477	13304.377	11703.3242	10695.9795	11909.8701	10642.7334	13161.7676
3.3355	12494.9131	NaN	12775.7402	14260.0684	11478.9492	12607.375	12070.7168	12292.8779	12925.0195	13402.7344	11554.5703	11882.6689	13033.5381	12119.8457	11332.875	11995.916	10970.2314	12305.3086
3.469	11905.7607	NaN	12413.4014	13374.8428	11258.4688	12503.9736	11116.5186	12147.1172	12423.3555	12415.7432	11228.4951	11723.9658	12250.7207	12152.1787	12735.0107	12185.6455	10991.2627	12389.3525
3.6024	11961.7383	NaN	11894.2734	13008.0635	10624.8701	11776.0889	9886.874	11893.3076	12436.9404	12803.5889	11775.9346	11354.3545	12253.1875	12004.4033	NaN	12000.6504	10967.4629	12323.3682
3.7358	12308.4482	NaN	12827.3428	11933.2109	10778.4453	11812.9688	NaN	11785.29	12075.9941	12806.6982	11494.3213	10657.6133	12624.1562	11677.3389	NaN	11762.3926	NaN	NaN
3.8692	12075.3857	NaN	12465.9492	11459.1963	NaN	12029.665	NaN	11717.0898	11887.1318	13096.3428	11878.0059	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	11072.8457	NaN	10998.8965	NaN	NaN	NaN	12349.7666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	11291.4688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	11484.8057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	11014.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
