x	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_7g	Y_20180130_15100b_14_1g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_9g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_8g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_3g	Y_20180130_15100b_20_14g	Y_20180130_15100b_23_2g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_7g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_8g	Y_20180130_15100b_5_2g	Y_20180130_15100b_7_2g	Y_20180130_15100b_9_15g
0	10543.613	13610.086	13791.359	11823.888	10839.399	13594.301	12084.73	11962.223	12519.396	10423.028	10689.6	11211.15	9802.865	11879.908	13692.846	12937.297	12527.753	13056.931	11373.048	11481.893	12301.222	13150.885	10964.138
0.1334	10998.585	14153.475	14122.791	12289.417	11488.111	13742.506	12803.644	11940.078	12955.574	11725.771	11435.374	11413.561	10354.089	11346.784	13546.85	13470.185	13383.344	13279.23	12042.4	12069.052	13898.949	13154.745	12014.069
0.2668	12431.316	15583.188	14597.694	12993.562	13002.202	13767.591	13173.61	12827.633	13942.28	12160.466	13140.93	12979.671	10754.741	12784.89	13545.338	14209.24	13555.157	15224.454	14660.992	14054.699	14886.707	15023.775	13261.444
0.4003	13684.18	16417.91	14799.763	13642.189	14886.108	14929.798	13925.64	15793.524	16641.549	13214.681	15121.373	13973.48	12368.972	14680.475	13981.688	17387.686	15292.066	17797.715	17491.68	15624.583	16403.377	16612.84	14295.534
0.5337	16374.421	16938.473	17531.064	13598.013	14879.459	15919.286	15028.403	17943.502	16395.963	15300.21	19831.115	15453.794	14136.337	15061.023	17453.643	17277.59	16340.799	20566.637	18020.117	19964.08	16112.932	17698.312	17520.527
0.6671	15385.707	18016.324	20569.271	13324.634	15018.752	14575.399	14423.782	19633.295	16260.824	15030.386	22403.729	15279.476	14270.281	14857.924	21691.506	16033.087	16251.478	21660.258	17002.879	21117.012	14112.37	18167.818	16976.676
0.8005	15015.274	19542.25	22227.281	14533.836	14032.869	14121.47	13877.555	17452.875	15830.338	14253.334	20644.158	15358.825	13737.146	14108.26	21063.207	15964.157	15882.057	19846.701	16588.041	18438.898	14024.745	16908.521	15122.19
0.934	13639.062	20249.936	19986.941	14434.182	13808.695	14958.684	13630.87	16148.665	15714.801	14300.885	18060.428	15430.977	12590.226	14636.854	18419.891	16850.307	15463.346	18405.496	14796.581	16300.187	14140.579	16526.738	15788.261
1.0674	13912.173	18918.936	19421.475	15301.735	14221.082	15388.562	13112.087	15356.882	15358.593	13933.759	15629.625	15602.339	12310.293	13353.442	15978.639	16376.562	14897.138	16993.287	15362.531	16101.248	13247.886	15988.629	15983.949
1.2008	13946.208	18082.463	18297.342	14428.996	14164.463	14876.299	13592.239	14998.463	15918.638	13704.184	14580.962	14171.222	13172.085	12487.955	15956.742	16109.26	14576.675	16569.754	14709.656	15309.187	13591.685	16389.088	14717.19
