x	Y_20180224_15100_12_4g	Y_20180224_15100_9_8g
0	39508.086	39397.375
0.1334	38454.621	40880.363
0.2668	39564.316	42053.656
0.4003	40875.434	40404.957
0.5337	41099.906	40416.711
0.6671	40539.707	40265.453
0.8005	40163.891	39688.078
0.934	38604.453	38163.953
1.0674	40394.324	38664.902
1.2008	41396.875	37597.766
1.3342	40745.199	38552.875
1.4676	42953.285	38509.238
1.6011	40290.758	35885.691
1.7345	40736.18	36862.328
1.8679	42563.281	37639.66
2.0013	42530.824	38293.52
2.1348	41556.008	41122.152
2.2682	41348.184	41674.164
2.4016	42288.043	41899.82
2.535	42106.785	44370.176
2.6684	42801.516	50996.547
2.8019	43127.59	68299.734
2.9353	44902.484	83727.672
3.0687	46316.934	87919.047
3.2021	49293.566	101425.25
3.3356	61494.766	110952.234
3.469	86280.531	91625.469
3.6024	107503.82	64082.898
3.7358	97263.648	47027.219
3.8692	67855.031	40741.09
4.0027	52011.766	40378.672
4.1361	46545.301	NaN
4.2695	42845.375	NaN
4.4029	41030.383	NaN
