x	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_15_11g	Y_20180130_15100b_18_13g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_18g	Y_20180130_15100b_3_9g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_8g	Y_20180130_15100_6_14g	Y_20180130_15100_6_17g	Y_20180130_15100_6_2g
0	12163.893	12708.05	10887.322	12474.837	11785.491	12014.749	11226.695	13351.877	13032.358	11759.035	12067.034	12067.906	11234.366	11673.51	13129.917	12425.11
0.1334	12519.679	13553.779	11536.71	13573.399	12095.335	12074.915	12890.83	14808.276	14973.468	12188.025	12854.935	13613.447	12935.944	14480.198	14274.564	14351.078
0.2668	13768.895	13706.507	12977.95	14538.944	12688.561	14944.57	15120.77	16208.322	17191.035	13607.09	16731.441	15000.919	15130.281	16129.612	16675.682	18180.975
0.4003	15719.5	15155.959	16095.093	18309.566	13519.456	18569.254	18629.855	18779.133	19986.777	15616.935	21255.48	17564.682	18699.383	15905.783	18179.334	25186.455
0.5337	18219.711	19239.264	16360.977	21586.191	14692.279	20735.016	22228.641	18155.113	19588.654	16280.529	25501.244	18858.84	19406.545	13843.773	18090.449	24346.611
0.6671	17460.441	21890.971	15247.824	20898.215	15130.084	20542.219	20980.441	17464.895	16169.054	15124.195	21737.807	16757.791	17989.855	13650.309	19450.727	19771.582
0.8005	15271.656	21122.555	14127.483	18591.441	15557.942	18694.924	18877.506	15577.018	15416.392	14651.524	19147.045	15645.269	16249.812	13604.133	19462.275	17243.816
0.934	13532.722	19208.381	13229.721	16151.293	15077.906	17537.697	18898.643	15706.726	14629.829	13719.527	16675.582	15796.792	14188.856	13784.994	18837.906	15191.044
1.0674	12921.189	18166.051	12454.822	15652.836	14117.638	16914.053	17933.811	14230.099	14334.631	12188.271	15432.467	15097.699	13472.593	13990.397	17713.68	13732.759
1.2008	12510.811	15955.562	13038.047	15403.117	14296.378	16251.649	18292.172	14325.013	13980.071	12488.304	16266.955	14207.792	14988.548	13834.557	17741.281	14639.253
1.3342	13404.43	16204.471	12998.074	14670.744	14405.653	16303.123	16648.818	16504.797	13473.627	12703.029	15602.453	14535.555	13686.785	14579.129	16244.006	14396.353
1.4676	13440.939	15206.161	13756.97	13781.521	14752.659	16043.025	15934.499	16009.9	15224.301	12103.152	17358.133	14182.546	13504.569	14187.653	14943.542	13486.03
1.6011	12988.492	14824.695	14562.312	13996.286	14617.342	15455.062	15686.504	15652.688	14345.342	11870.42	17323.475	13511.993	13689.168	13595.04	15748.427	12544.82
1.7345	12692.286	14600.647	13478.867	14961.475	14524.74	14866.229	14594.673	16240.393	14500.016	12367.998	16495.176	14184.955	13219.219	14090.654	15351.281	11444.791
