x	Y_20181208_15794b_1_4g	Y_20181208_15794b_10_3g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	14025.334	11719.168	10866.5352	12241.665	12741.0859	10861.6367	10293.2861	10457.9238	10414.8447
0.1334	14811.126	12450.9658	11425.0293	13851.8672	15441.4326	12122.2002	10598.9844	11528.1621	10262.9561
0.2668	15548.3242	16295.1426	11019.2793	16655.7344	20500.375	14463.7217	12151.2568	11955.0693	11906.8691
0.4003	14521.7656	17526.0078	11098.9219	16895.4453	23665.6328	16164.5596	13842.999	11899.7725	14920.2412
0.5337	13443.4609	16471.0977	11690.7734	14205.5576	23093.3262	15961.8555	15842.0146	13115.0498	18461.0332
0.6671	13021.8057	15143.4951	12341.0576	11760.335	21509.3105	13890.792	18463.5938	13922.502	19347.7031
0.8005	12410.4297	14649.0244	12561.665	12020.4717	18620.4219	11853.0342	17208.1816	12346.8252	17387.6738
0.934	13157.5459	12901.5908	12489.8945	12062.0205	16702.9805	12238.3574	14827.0322	11565.9121	14565.9893
1.0674	13042.3096	12649.6816	13313.1729	12033.2979	15430.8906	11688.8535	13810.1543	12059.5039	12210.2383
1.2008	12553.5938	12719.5039	13195.124	12998.6201	13727.4297	12306.6768	14685.0977	11593.2256	12165.2764
1.3342	12817.0146	13087.9932	14916.1104	13208.499	15479.7754	11837.6152	13337.2617	11139.7363	12840.668
1.4676	13846.6895	12870.6553	15967.2236	13372.7256	15565.459	11854.4824	12452.9365	11609.3223	13112.291
1.6011	13920.999	12469.4287	15088.9902	13411.9707	16694.998	12219.7578	12238.3945	11139.709	12647.0898
1.7345	14375.3955	13262.1094	13420.9873	13176.7607	15863.29	12891.2988	12827.2139	10645.7236	12744.1846
1.8679	14112.4932	13564.9424	13190.9072	12820.7324	15191.6211	13162.4395	12759.5508	10232.5898	11286.8916
2.0013	13776.9785	13190.4902	13886.2539	12319.2607	14534.4814	12420.6475	11525.5439	10019.8115	10630.8516
2.1347	13743.3086	13137.3359	14105.3799	11566.8359	13798.3926	11824.6953	11881.9971	9935.5342	11059.2422
2.2682	13153.6484	13238.8877	15203.4365	11799.417	12708.1211	12007.252	11779.5215	10605.2783	10482.7969
2.4016	13180.8428	13255.8877	15239.333	11968.3525	12320.1377	12101.7627	11837.459	10543.584	11129.8369
2.535	13436.2393	12371.4346	15400.5518	11750.8477	11942.2783	12007.8203	13009.2246	10077.1875	10429.3838
2.6684	12509.2881	12864.1045	15344.625	11809.1289	13064.4316	11484.1025	12052.959	10249.6406	11008.5469
2.8019	12900.208	13133.7578	14774.0371	NaN	NaN	11152.3916	11809.334	10801.457	10746.8984
2.9353	12362.1162	12355.4141	NaN	NaN	NaN	10976.1357	11632.9258	NaN	11332.5312
3.0687	12857.4824	12740.6406	NaN	NaN	NaN	10903.4434	11282.0586	NaN	NaN
3.2021	NaN	12912.1729	NaN	NaN	NaN	NaN	11743.6787	NaN	NaN
3.3355	NaN	12460.3164	NaN	NaN	NaN	NaN	12657.2744	NaN	NaN
3.469	NaN	12837.5762	NaN	NaN	NaN	NaN	12170.0479	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	12187.3115	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	11982.0996	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
