x	Y_20180224_15102_1_2g	Y_20180224_15102_11_8g	Y_20180224_15102_13_7g	Y_20180224_15102_16_3g	Y_20180224_15102_16_5g	Y_20180224_15102_18_3_2g	Y_20180224_15102_21_3g	Y_20180224_15102_23_8g	Y_20180224_15102_25_6g	Y_20180224_15102_5_5g	Y_20180224_15102_6_3g	Y_20180224_15102_8_2g	Y_20180224_15102_8_8g
0	38225.828	37588.562	37799.043	33984.723	38309.117	35952.41	41109.586	35212.848	33139.152	39496.613	36752.863	35947.375	39180.824
0.1334	38416.73	37150.703	39006.258	34280.109	41057.719	35574.195	41486.617	35601.363	33393.422	40668.809	36630.238	36779.348	39123.652
0.2668	39650.094	37509.941	38160.895	33945.699	39014.051	34740.699	40797.625	34953.047	34778.121	39886.266	34952.918	36310.195	40347.008
0.4003	37885.75	37667.246	38392.184	34921.797	40680.922	35615.652	41288.703	34060.82	34062.293	39519.027	35638.332	37125.102	38825.824
0.5337	38070.242	37126.723	37739.637	33121.039	41018.082	35025.848	42357.508	34158.602	32730.115	39318.754	34795.383	37321.52	37734.809
0.6671	38174.062	37470.465	37750.25	32460.959	40918.699	35993.535	40700.453	34488.711	33335.359	39585.938	34915.527	37738.621	37184.973
0.8005	37819.012	37362.613	39181.445	34350.469	39526.148	36240.578	42652.816	36006.672	33856.242	39864.184	36626.766	38278.801	37030.359
0.934	38955.16	36393.414	40480.789	34494.32	38512.281	35590.383	43061.332	35203.246	34052.711	38878.188	35548.629	36971.961	35916.867
1.0674	37801.305	37933.395	40063.465	35800.141	37224.504	37874.945	41980.039	35052.707	33589.484	38533.246	36510.129	35692.422	36791.098
1.2008	37043.082	39635.887	39701.637	33543.195	36710.945	36453.977	41899.008	34597.691	32857.125	37555.543	35442.668	36973.438	36683.18
1.3342	37153.172	38386.098	39876.02	33931.414	37580.77	36836.699	43906.449	33965.562	32739.312	38263.117	34055.629	36911.941	37047.484
1.4676	37840.191	38480.539	40832.52	33927.484	34906.652	36588.539	42906.59	34678.773	31964.977	41034.734	35148.434	36106.594	39515.219
1.6011	37584.574	39444.816	42662.102	34144.738	36900.824	37051.348	45170.414	35833.223	32266.836	41155.297	36225.957	34591.289	38943.082
1.7345	38747.301	39677.57	42570.324	35894.473	37231.688	39377.031	48313.488	36404.57	32600.363	42473.82	35992.852	35272.137	41182.48
1.8679	41718.312	41423.852	43051.285	38310.711	38230.047	40360.395	54500.156	37885.215	33163.641	45836.277	36509.414	37443.098	52258.785
2.0013	47039.184	44965.703	50467.617	42451.695	43938.422	45773.363	63885.035	40375.301	34962.121	55247.125	39604.898	42289.941	69697.805
2.1348	60585.676	49981.391	64278.973	55937.285	55143.402	57895.762	89350.758	46839.75	39301.195	76273.875	45767.16	51512.805	110458.086
2.2682	86959.453	64065.035	105273.289	78489.219	80992.742	79294.875	137339.906	66697.086	49218.934	118969.742	62912.102	73978.711	143387.266
2.4016	108045.102	83694.344	157203.109	91471.805	99141.312	83591.609	148131.438	89271.953	68187.539	135266.422	107775.375	118296.367	124328.094
2.535	94522.312	81850.875	151717.062	67564.07	82984.602	62313.445	106967.156	88802.234	83000.711	103606	134009.781	130898.422	80173.969
2.6684	66752.164	61339.059	97022.164	47145.426	55052.941	46566.867	67156.461	74320.922	67568.789	66658.383	98955.328	89807.242	55021.5
2.8019	49025.926	48834.551	63483.609	NaN	42204.695	41437.781	50590.461	73453.023	48795.074	50011.742	64154.43	61060.941	51931.445
2.9353	NaN	NaN	50178.184	NaN	NaN	36179.664	NaN	72708.156	39091.707	NaN	48286.996	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36109.691	NaN	40935.441	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
