x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_32_7g	Y_20181208_15692_32_9g	Y_20181208_15692_33_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_16g	Y_20181208_15692_37_20g	Y_20181208_15692_40_4g	Y_20181208_15692_41_2g	Y_20181208_15692_41_6g	Y_20181208_15692_41_7g	Y_20181208_15692_42_2g	Y_20181208_15692_44_11g	Y_20181208_15692_44_19g	Y_20181208_15692_44_8g	Y_20181208_15692_45_12g	Y_20181208_15692_45_16g	Y_20181208_15692_46_5g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g	Y_20181208_15692_8_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_8g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_8_9g
0	29532.666	30068.0938	29609.3984	28523.8789	25707.7246	30320.1855	31276.9902	30429.4492	24824.4844	26516.7617	30885.1367	30523.3867	29747.7539	29727.5234	29359.2383	28535.0586	30005.2129	27579.0938	28386.6836	28972.2441	28500.7344	26669.0742	25852.0117	23630.7734	31214.2695	28874.0762	24891.8984	32036.6055	30469.3887	31209.1133	29831.8652	30838.9062	30275.4531	27796.3965	28203.6758	29709.0391	33562.5	26432.8086	28095.2109	31420.1582
0.1334	28742.5762	28964.6367	29329.0195	27908.332	26315.2539	31192.916	31723.2559	29419.7793	24678.0938	25858.8906	31758.4102	30604.7617	29907.75	30430.2852	29706.459	27362.0098	28724.1445	26394.9336	29428.6426	28563.1055	29203.3945	27861.6582	26109.3711	24251.4082	31545.9512	29617.1582	23467.2969	32097.9336	30044.4785	29968.4082	31442.1484	31133.6074	30765.2109	28428.5156	28867.3867	28890.0059	32949.4453	26965.3164	28715.2656	31723.7734
0.2668	31221.0742	28089.9766	29066.2227	29347.291	25849.3379	30542.4668	31710.8789	30039.9766	25608.0801	25920.125	31518.748	31593.7871	30881.7383	30671.5254	29641.1348	27261.4434	29426.5488	26690.7754	28498.9551	30371.3145	28665.8379	27004.084	25713.6211	26073.1055	31591.8047	31020.2441	25297.6582	32188.748	30393.4805	31735.707	32596.2949	30125.3477	30705.4688	28607.0293	30230.2773	29438.0469	32251.2559	25576.4434	28024.0469	30837.0566
0.4003	29914.4258	28863.0508	28887.4688	27784.9082	26818.9551	30347.2285	30397.5938	30947.4277	26630.1758	26283.6016	31747.4473	31625.5762	31616.6523	30707.3281	28849.1484	29389.1055	31099.3574	26157.2441	28217.0449	29965.748	27969.0039	25874.793	25474.3809	25637.1387	32360.043	30632.7773	26378.4531	33154.5234	31835.4199	30468.1777	36360.9023	30308.2617	30983.3652	29349.5625	30144.2383	29519.8457	32408.1738	25894.8262	29030.7559	31383.3984
0.5337	30335.6973	29345.2148	30574.4023	30289.6406	26152.0234	30638.748	31561.8496	29982.8965	27386.7832	27504.4668	32014.1445	31458.541	31823.3281	30026.6055	28680.2676	29081.957	31256.7383	26744.6953	28945.4004	30843.9004	28572.916	27753.0137	27323.625	26216.8145	31642.6484	31246.8145	25569.6895	32191.3125	30834.3535	32187.6152	44560.957	28967.252	30497.2051	29007.5801	31122.5938	30452.6914	33260.5742	26467.8828	28486.8965	32269.7305
0.6671	29547.3262	29787.5508	29388.125	30656.7617	24771.1914	31425.5059	30336.7832	29722.5781	27333.2734	27561.916	32292.4219	30080.6484	30866.0703	30305.1602	27517.0723	28912.9258	30779.043	26910.8398	29660.248	31845.3359	27880.9902	28033.6523	27062.5664	25314.6133	32079.3281	32178.3105	26303.3223	30559.5703	30915.8477	30307.1992	63064.4609	29750.3906	29493.1035	30431.6172	30474.6719	29119.7168	32032.3906	25624.7266	28641.5293	32618.2207
0.8005	30414.5918	28524.0098	31672.209	29993.832	25662.1855	30822.4688	30830.4238	30365.377	27130.2617	26932.1523	33426.9062	30581.3359	32634.0234	31065.1465	29729.6523	30023.4941	31524.4238	28129.6445	29326.1602	31457.6504	28840.6348	27938.707	26556.2637	27435.4805	34146.3633	33541.4102	26133.0195	31256.2871	31670.9238	29814.5566	78840.0312	29502.4473	31107.8066	29482.498	32780.2461	30561.1328	33829.1289	25290.7285	30315.5312	32340.9355
0.934	30070.3398	27346.0234	30534.4473	28729.5957	25475.5117	30778.2441	34194.9453	31158.8965	26684.2383	27282.4941	34669.5391	30255.4355	33670.2422	31509.3965	29093.418	30056.7637	31941.0039	26438.25	29501.25	31586.877	29139.1602	28192.6445	26916.6816	25559.9609	34529.2969	31391.0098	27017.3691	33161.6055	32118.6816	29417.1055	76086.0156	30755.4648	31134.0488	29921.1914	31763.2207	29870.3984	34809.1602	27198.6055	30865.7188	32645.3086
1.0674	29403.4102	28098.0215	31340.3066	29359.334	26101.4531	31508.0508	33961.2031	30765.3867	26923.5625	27793.0957	35336.2734	31437.584	32311.1211	30460.2852	29147.502	30402.6016	32167.582	26738.9141	29591.6426	32073.1133	29328.1797	28494.7363	27892.7285	26606.0508	32423.7207	34952.4844	25745.6699	33037.7656	31792.4082	30130.5703	54775	32536.9609	30817.6934	30221.3457	32998.4414	29526.7207	34652.1914	26616.3027	30942.7012	32823.4375
1.2008	28698.8184	28810.293	31997.1484	31300.748	26573.1152	31100.7246	34715.0625	29469.6523	27626.709	28064.9961	33382.9258	31501.625	32424.0195	30888.5	30131.2266	29954.9473	31965.1953	28761.9219	31743.4824	31410.2656	29495.8809	28056.9629	27674.3477	27929.8262	34138.3086	34031.125	26825.748	36686.3984	32135.8086	31726.5156	39735.5195	34006.75	30621.9277	30878.0586	32885.0938	30542.002	33847.0977	27535.3555	31802.541	32357.4668
