x	Y_20181208_15693_1_13g	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_6g	Y_20181208_15693_13_8g	Y_20181208_15693_14_1g	Y_20181208_15693_14_5g	Y_20181208_15693_15_4g	Y_20181208_15693_15_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_13g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_2g	Y_20181208_15693_18_4g	Y_20181208_15693_2_10g	Y_20181208_15693_20_6g	Y_20181208_15693_3_3g	Y_20181208_15693_3_5g	Y_20181208_15693_3_6g	Y_20181208_15693_4_2g	Y_20181208_15693_4_7g	Y_20181208_15693_6_13g	Y_20181208_15693_6_1g	Y_20181208_15693_6_2g	Y_20181208_15693_6_5g	Y_20181208_15693_6_7g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_2g	Y_20181208_15693_9_5g	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_3g	Y_20181208_15693b_13_11g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_3g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	13337.5537	10886.4375	13068.7646	12604.8584	11040.1133	11064.502	12562.1514	13523.7559	13398.6953	10688.7812	15215.4395	12313.0498	14342.3633	9927.4883	11811.6348	12892.1699	12194.6631	13015.7656	12828.4473	13353.6602	12071.584	12489.7783	9676.0186	11429.667	12879.3447	10189.707	10633.8965	11837.9941	13786.8145	10106.1826	16392.877	12415.2285	9025.6963	12538.082	10960.1318	10616.1279	13731.8516	13138.6934	10819.5361	10901.0039	9907.4863	10404.3818	10978.1582	11335.8633	9634.7871	11221.4766	11929.7881	9656.6494	14804.0615	14091.0811	12903.7412	13213.0908	12294.9668	11754.9912	14195.6562	12073.9902	10688.7891	10848.416	12592.332	12495.1025	11528.6943	15456.5625	12789.4043	11833.5459	13113.9268	11540.9443	13061.0176
0.1334	14830.8076	10930.0078	14522.5049	15530.5967	11776.1172	11810.6367	12997.5459	14235.8955	15036.8184	12145.6963	17841.6055	12996.4004	17677.2109	10416.9844	13823.9316	14759.9609	12222.6729	13149.5146	14521.0811	14138.4619	13029.7725	15069.1152	10537.084	11540.7471	12797.1465	10853.4365	11169.6621	12614.7559	13276.4258	10722.4512	16525.3027	15446.5635	9408.7568	15683.1992	13363.6406	11465.2275	14274.0527	15884.582	11907.3125	10885.9043	10588.8555	10900.752	11818.3613	12085.7441	9972.4551	11605.3398	11902.7129	10540.3018	15158.126	13017.8428	14484.1094	17197.7578	12441.8564	12620.0762	17481.2168	12953.8184	12618.5703	11660.25	14220.9277	15140.1797	11758.7021	19400.7578	13571.8164	12783.8262	15707.3984	11741.4629	13261.1396
0.2668	17805.1426	11580.8535	17196.2012	18209.8418	14552.1416	12324.791	14115.2773	17036.1465	16534.1367	14844.3135	18025.0391	13626.7061	19372.043	11386.3594	14179.8594	15203.834	13468.9443	14406.0625	17889.3047	16560.3691	14372.3965	18261.4297	11763.8916	14174.6865	13120.9678	11960.0811	11739.6846	13747.0156	13682.8516	11617.0176	15296.7793	16584.2754	10061.5381	19034.0566	16102.0527	13088.2139	14872.8555	18381.9414	12167.8223	11359.4365	11122.3418	13637.1816	12463.7471	12689.7314	10503.165	12285.3652	12690.7236	11299.4287	16561.498	14473.3418	16220.3555	20437.3008	12869.0967	15047.6094	17835.5352	13506.9824	13587.3818	12653.0127	15133.5068	18555.5645	11985.9531	22499.875	13893.2314	13983.2568	21383.5859	12516.0664	17328.5391
0.4003	19947.457	11319.0273	20975.1484	17302.0996	16630.7812	11933.4062	15024.8945	18765.0312	14954.417	16005.3818	15343.8691	16501.252	17938.0039	11687.916	14030.7725	14414.0947	16702.2012	15987.1201	22871.3066	20253.5195	15837.8379	22973.7969	14335.585	16511.6934	14325.4209	12849.1045	13266.1348	15668.6787	15800.165	12430.3174	14618.1719	15843.7285	11222.0996	19819.6426	16977.0039	15505.7539	17673.5742	18333.2793	12515.9619	11526.4961	11423.9004	18829.834	13512.8369	12967.0293	12680.8691	13479.3936	13985.5684	13112.5674	22339.6406	16771.3164	14602.0713	24523.0547	14177.4141	18126.8359	16819.5859	14669.4062	13274.9287	13924.4248	13508.4639	18066.4082	12774.9746	22058.4824	15707.6572	15586.541	26381.8652	13225.335	21640.6152
0.5337	16625.3457	13267.3926	22846.2422	14718.4658	15160.1436	13889.4561	14433.877	18228.1816	13395.209	15222.4023	14141.8926	15024.7754	15077.4766	12716.001	13091.0977	13898.7988	17597.0117	15367.2451	21917.166	19718.4531	14949.6504	23739.3457	15112.4404	17397.4062	17668.2852	13861.1904	13094.9639	18165.5293	19913.3984	13758.6455	13608.1797	15053.832	12150.3701	17922.5605	14839.1758	17319.3535	19628.418	17207.9395	13883.2314	12206.9365	12059.8438	23122.9141	13001.001	13603.2842	15132.8711	15813.793	16040.0801	14552.7842	26649.9102	16926.5664	13362.4844	22044.7051	16875.2734	18518.127	16082.1709	17430.166	13524.4219	14031.8887	12645.1484	16198.7793	15267.21	19367.6738	18471.5742	16759.4473	27159.1426	12614.5537	21372.1211
0.6671	13340.3125	13530.8613	21097.6875	13232.8838	13872.7598	14486.8779	13419.5977	17646.6836	13451.9229	14993.0244	13645.3916	14121.2637	14291.7061	14134.4482	12344.5537	13443.7021	16754.7227	14920.7559	17420.9824	17670.8867	13617.3311	20766.5391	13817.5088	13884.0283	25488.9688	14459.2295	13381.1914	21302.2637	20940.2207	13671.3711	13914.7314	14490.6201	13151.3604	16303.6807	13236.5996	18445.4668	17110.4141	16359.001	16048.5068	13309.4463	12925.6777	23177.9492	11922.0361	15551.0254	15890.5049	16033.8594	16215.0713	13925.3809	25420.4805	15986.3955	12662.5479	19150.2871	16639.582	16801.5312	15346.7422	16451.4355	13739.6006	13515.1738	12263.0049	15306.624	18891.0703	17175.2148	22852.4922	17065.873	23303.7852	12318.7422	18202.3281
0.8005	12653.8086	12864.0703	16871.4102	12307.8652	12534.0283	13367.8438	12930.5527	17055.8242	13527.0703	15036.083	13936.0244	13041.9346	12857.874	14593.6963	12466.3164	13053.333	15250.1221	15297.7734	14333.8809	15757.5059	12403.5498	20012.4551	12860.9639	13969.3945	32290.2539	13483.71	13401.5449	19923.0586	17710.2227	13675.0752	13240.2715	14027.1377	14177.4971	15688.8848	12812.4277	17665.5625	15670.04	15846.9385	15445.3135	13581.0908	13570.0713	21740.0039	11641.3564	17188.6016	15725.9023	13890.7021	15202.585	12540.6318	21585.373	16472.416	12285.8838	17387.916	14603	14407.5391	17048.2891	14558.2578	13262.9561	12541.9609	12081.3613	14422.5283	19404.2051	14299.0381	23497.0801	15871.7178	18987.8848	11809.2646	16142.1279
0.934	12046.6777	12187.458	14916.6592	11057.4121	12563.7988	11701.7217	12605.3799	16779.0527	12549.0527	14292.6836	13950.7451	13989.4678	12793.5635	13081.6621	12165.1855	13512.9756	13640.1279	14599.2324	12919.6514	15071.0723	12441.3389	19192.9941	13676.1396	13438.752	30459.2324	13140.8652	12907.5049	18293.582	16328.1777	14258.6729	13065.6025	15810.2236	14251.7012	15079.7168	11914.4609	16496.9707	14256.6768	15859.5566	13720.7432	12662.9004	12682.1953	18361.4395	10873.4014	18321.2793	13995.2168	13744.6582	14518.7783	12290.1943	19262.0117	17538.4902	11727.6934	16807.709	13293.0576	14331.2412	16329.3945	14738.3379	12789.5068	11812.209	11675.5068	13431.875	17954.3086	13368.5146	19036.7715	15080.6025	17005.6074	12065.6055	14612.5088
1.0674	12306.4814	11236.8594	13765.9141	10934.6182	11757.1152	11973.0703	12836.2871	16096.6465	12329.1602	13225.7236	13646.7617	14685.8525	12260.0234	12885.6885	11641.9277	13537.7178	13097.5312	13035.9785	12287.0615	13845.0039	12755.0771	19641.7227	14008.585	12933.9609	24837.2051	12586.0303	11623.5625	17110.7617	15395.3809	13716.2402	13443.1875	17988.7266	14973.2803	13548.7158	11960.2852	15464.0508	13493.8037	14241.875	12627.1924	11910.6885	11593.5762	16305.0381	10828.0684	18293.8145	13593.3467	12616.6191	13309.7061	11215.3047	16437.0781	16613.7031	11523.3594	15529.1064	12904.1211	13516.2051	15595.4775	16646.0977	13279.9795	11273.9531	11354.3301	13709.0801	15638.8828	12800.3271	17066.3457	14625.5928	15657.3525	12067.5703	12448.8193
1.2008	12806.8359	11107.8535	12914.9648	11107.4414	11270.3115	12108.5986	12342.0059	15852.8789	11459.5098	13452.9609	13000.6064	13714.3916	12228.1943	13642.9297	11982.791	14384.1514	12176.7139	12281.1064	12131.0264	13417.4883	13375.8916	17663.7344	13505.6943	13151.207	21270.291	11902.8398	11148.7588	16674.6348	14474.5752	13961.999	15616.7764	17960.4258	14501.7969	12866.6777	11621.3398	15066.2852	12571.2686	13988.5166	11753.9609	11523.5703	12152.0928	15200.1143	11298.1758	16596.3828	14347.1572	12574.6113	12704.332	12882.6494	13826.9189	16116.6729	10892.5967	15312.8545	13003.0303	13967.1084	15200.6602	17368.6855	13440.3838	11524.0488	11483.3926	14239.9043	13560.6504	12858.1367	16596.8945	15205.0781	14488.7148	12626.751	13207.6367
