x	Y_20180224_15100_10_2g	Y_20180224_15100_10_5g	Y_20180224_15100_11_1g	Y_20180224_15100_11_7g	Y_20180224_15100_12_2g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_2g	Y_20180224_15100_13_3g	Y_20180224_15100_13_4g	Y_20180224_15100_13_5g	Y_20180224_15100_13_6g	Y_20180224_15100_14_4g	Y_20180224_15100_16_2g	Y_20180224_15100_16_3g	Y_20180224_15100_16_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_13g	Y_20180224_15100_19_16g	Y_20180224_15100_19_4g	Y_20180224_15100_2_11g	Y_20180224_15100_2_4g	Y_20180224_15100_2_9g	Y_20180224_15100_20_3g	Y_20180224_15100_20_4g	Y_20180224_15100_21_1g	Y_20180224_15100_21_4g	Y_20180224_15100_21_7g	Y_20180224_15100_22_6_1g	Y_20180224_15100_22_6_2g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_23_2g	Y_20180224_15100_24_3g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_25_5g	Y_20180224_15100_26_1g	Y_20180224_15100_26_6g	Y_20180224_15100_27_2g	Y_20180224_15100_27_3g	Y_20180224_15100_28_10g	Y_20180224_15100_28_1g	Y_20180224_15100_28_4g	Y_20180224_15100_29_1g	Y_20180224_15100_33_2g	Y_20180224_15100_33_4g	Y_20180224_15100_4_10g	Y_20180224_15100_4_1_2g	Y_20180224_15100_4_2g	Y_20180224_15100_4_8g	Y_20180224_15100_6_9g	Y_20180224_15100_7_13g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_9_6g
0	37624.883	41147.816	35454.871	33800.836	38311.086	41568.215	34282.777	40304.949	39419.664	41376.102	39308.254	39499.758	39105.363	39251.164	39751.418	36934.598	43198.727	39339.262	36693.648	39098.555	41510.242	39448.191	38525.512	35515.023	34093.398	41185	37724.273	40214.559	37331.668	43444.797	39771.262	36848.133	37233.414	37632.336	38176.008	34408.602	34481.156	31664.836	39667.543	37932.508	37084.312	41473.594	39689.648	40743.703	32961.273	42157.695	41881.508	35961.133	37113.305	34713.566	37329	41036.422	37020.652	33246.504	37636.145	40564.625	39915.566	39244.051
0.1334	39230.918	40940.688	35890.055	33749.648	39293.941	42836.348	34836.188	40006.34	41391.582	42499.84	40473.441	39549.195	39122.551	39841.492	40236.355	37273.09	40893.645	39387.926	38515.406	39241.039	42208.734	39291.602	37765.945	36446.777	33907.715	41661.742	37666.762	42248.68	36541.926	42437.848	41930.328	36564.637	37864.828	38061.895	38625.488	34346.816	35014.219	32062.043	39105.836	37998.535	38077.582	41195.812	40453.078	39321.234	32892.125	40979.664	42699.949	37372.355	35958.273	35879.84	35323.613	39392.465	37165.719	32775.254	36820.219	38908.066	40306.688	37535.949
0.2668	40240.145	41549.629	36763.473	34522.926	37766.262	42318.375	33511.133	39133.816	39788.422	42174.582	42355.602	40467.391	38003.875	40525.23	38213.434	37523.73	41432.363	41165.16	37990.688	37688.934	44092.82	41097.473	39030.074	37997.738	33611.191	38199.039	36932.227	39697.703	34567.676	42157.637	43177.129	35288.836	38017.746	36565.324	38766.109	34989.656	34141.727	31447.732	40049.164	37618.086	36624.027	41589.082	38971.375	38460.629	31606.951	41618.27	42592.363	36667.91	37043.848	35555.059	37073.234	40237.043	36066	34405.457	40122.625	37644.512	39066	36469.914
0.4003	40887.836	41434.664	36392.043	35229.09	36668.277	42304.977	32047.84	41168.539	40511.383	41840.227	40205.059	41645.457	38489.699	40421.641	36340.02	36830.598	39084.77	40013.801	39868.586	37489.77	42995.848	41511.086	38675.824	36457.414	35855.094	38159.184	39137.516	41380.281	34966.953	41637.957	41437.109	34818.629	37547.258	35815.805	37756.066	34580.602	34426.438	31734.393	39364.172	39090.473	38260.805	41640.883	39068.855	39519.832	31114.039	41574.219	40350.184	36461.09	35500.785	34214.73	38359.102	40838.641	34799.715	35992.074	40549.992	37143.402	38836.355	37915.633
0.5337	42986.07	41415.762	36463.828	33513.395	36111.191	42858.617	32234.586	40431.652	41065.473	41988.031	39521.891	40705.793	39146.812	40146.484	37310.82	36607.613	38682.621	40395.91	39351.594	37085.02	40658.223	42201.43	39293.668	37210.203	34320.32	40607.051	38523.742	41060.902	36737.625	41510.008	40647.277	35310.684	37209.828	35211.52	36401.156	33918.668	34398.117	30727.51	37497.051	38150.488	36833.703	40741.918	38035.953	38625.547	31413.725	39836.402	40944.766	37155.559	36060.02	33378.086	37033.988	39750.117	35879.359	33992.984	40146.109	35453.109	40441.137	37276.184
0.6671	41823.273	40562.207	37034.004	34308.668	36038.805	41667.621	34308.43	39823.535	41332.926	39696.289	39983.977	39715.762	39388.73	38348.133	37714.672	36127.75	39604.484	40020.184	38755.777	37361.375	40527.641	42132.281	39637.621	35701.59	32438.539	40379.707	37450.305	39551.297	37119.32	40676.871	40313.098	34854.84	36340.609	36143.527	36952.953	34254.105	35802.422	31577.523	38267.574	38294.469	38118.715	41467.887	38361.844	40408.355	30703.932	41059.438	40330.246	38562.055	36468.332	32962.867	37353.031	41214.945	36559.668	34388.801	40849.93	34749.059	39179.191	38832.797
0.8005	40749.855	39599.891	36446.633	32621.477	38190.34	41726.668	34102.121	38924.805	41639.531	40908.047	40700.441	38553.355	41310.531	38405.539	37250.895	37963.594	38431.977	40252.047	38651.055	38158.348	38807.598	43449.164	38733.414	35789.391	32503.904	39368.73	37876.496	40937.57	35400.375	42246.191	41515.609	37039.668	38546.465	36230.176	37553.285	35242.164	34864.828	32352.729	37061.465	36631.297	38799.027	41586.699	40228.355	38861.16	31125.812	42706.246	40036.684	38509.418	36551.711	33493.574	36445.023	40141.902	37700.859	35985.156	42394.742	34410.234	37382.109	38057.848
0.934	38914.742	39386.848	36108.336	34313.5	38457.938	41630.078	32127.004	41654.34	39907.555	42175.602	41505.801	40411.445	39570.445	39396.582	37004.266	36776.883	40453.988	40300.41	39622	39741.891	39224.34	41250.875	37787.465	34682.848	33280.07	39781.273	36626.809	42481.941	36479.562	42454.289	42177.512	35694.68	37322.641	37856.574	37157.012	33741.746	33926.949	33560.719	38340.945	37685.43	37079.559	37921.438	40628.965	37365.895	31513.441	41138.996	39425.883	37756.145	37091.191	33570.629	36809.934	40689.086	35698.914	34865.344	42324.566	34219.688	37135.027	37412.645
1.0674	39704.652	42267.598	36531.867	35406.473	38205.145	43011.949	32191.824	40834.996	40500.074	40184.914	43483.793	39926.895	39211.207	38479.617	36776.391	36954.316	41440.148	38328.516	40216.859	40260.91	40600.676	40954.453	40643.93	36536.746	33838.367	39706.855	35078.676	39795.969	35700.824	40920.566	42147.188	35840.172	36358.691	37370.387	37614.617	35812.711	33206.66	34303.367	40354.52	36047.117	37515.324	39491.043	41404.535	37330.363	30292.178	40686.301	41162.891	37972.773	36857.352	33240.719	35430.348	41169.52	35375.496	34764.84	42645.297	34907.199	38386.246	39405.367
1.2008	38073.656	43593.801	37354.758	34088.113	40298.969	41135.137	32229.867	40065.562	40121.641	40356.422	45268.344	40156.738	38892.445	38707.789	37983.707	37208.891	39549.398	37332.109	38268.297	38041.918	39553.422	42216.602	40787.73	37104.449	34012.285	39460.719	35674.941	43258.301	36083.34	42481.164	44777.449	36975.102	38581.879	37397.297	36877.477	35798.152	33991.434	32487.203	40234.16	36830.281	37216.742	40400.961	39646.707	38788.34	30520.988	41052.223	40056.719	38105.785	35787.102	33669.879	37324.926	41000.445	36549.336	35200.832	41178.852	36002.641	38070.297	38030.375
