x	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_16g	Y_20181208_15692b_15_1g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_8_7g
0	31209.1133	29176.0586	24854.5332	28203.6758	28813.6465	26432.8086	32649.4629	29884.0957	30310.6973	26314.6309
0.1334	29968.4082	29793.5879	23568.9277	28867.3867	28935.6914	26965.3164	31876.6797	30332.0527	33403.9727	24561.2188
0.2668	31735.707	31559.6289	23826.6953	30230.2773	29855.4316	25576.4434	32882.9336	29132.2969	32658.0195	25266.5371
0.4003	30468.1777	29435.6289	24552.3145	30144.2383	28488.793	25894.8262	32655.9629	29526.8711	33069.4766	23991.9766
0.5337	32187.6152	28739.2246	24630.9609	31122.5938	30036.3789	26467.8828	32530.8848	29709.3203	32311.6816	24981.0039
0.6671	30307.1992	30500.3477	23796.25	30474.6719	29905.3066	25624.7266	32222.6191	30412.0879	32324.5039	24723.8047
0.8005	29814.5566	30995.3457	25004.3809	32780.2461	29226.5918	25290.7285	33040.7266	31060.0957	33915.5273	25970.5566
0.934	29417.1055	31395.3984	24524.6914	31763.2207	29504.7305	27198.6055	33739.6562	30931.8145	33051.5781	27344.7246
1.0674	30130.5703	31320.9609	24028.5449	32998.4414	30201.8184	26616.3027	32424.4961	32773.4297	32724.7051	25368.6348
1.2008	31726.5156	30953.4102	25215.7617	32885.0938	30553.4512	27535.3555	32838.6328	34039.7422	34873.1875	26272.0195
1.3342	31401.748	31710.0098	25361.084	32316.5977	29748.832	27360.3809	34090.3359	33825.0703	34410.5234	27028.5742
1.4676	30691.6797	31468.4258	25478.6777	33776.9844	31287.9551	28377.9277	34585.582	34140.1758	34910.9102	28076.4316
1.6011	31471.248	31095.3926	24639.7461	34960.9727	31122.8047	29822.1152	32840.2031	33258.4648	35712.5859	27468.1504
1.7345	32527.916	33297.5078	25475.4727	35332.9062	31802.6953	36574.3359	33882.7734	33310.1953	36993.5625	27389.7969
1.8679	32114.6816	33628.668	26612.3184	37077.8945	31641.0898	52353.0938	36584.7695	35014.8164	38261.9258	29062.3398
2.0013	32963.8359	37116.6484	26364.7598	44303.0703	33097.75	60229.6602	42366.2305	35255.832	47133.8867	28514.6055
2.1347	34395.9688	47821.707	26061.1621	50303.5039	35715.7969	47918.8242	50439.6484	38305.2734	63682.5742	29692.0312
2.2682	38061.5	78504.2656	26852.2363	45222.6055	39414.625	35231.1172	57571.5312	41499.4297	85556.2969	36187.9844
2.4016	45688.5703	101472.2656	30599.5527	37525.3008	36394.0625	30083.8848	55442.3164	53893.0312	83519.8047	44681.7812
2.535	62037.0039	89520.1719	36378.0977	37005.2695	34053.4375	28295.418	44390.7734	58149.6758	59947.4258	58139.875
2.6684	64624.9219	59432.1523	45269.3633	33765.1406	30394.998	NaN	39236.75	52722.7383	44032.5312	56559.6914
2.8019	48545.5859	40281.0625	44980.0078	32124.3477	29351.9102	NaN	35895.4336	41906.0938	37695.7227	43487.5664
2.9353	38196.9805	33380.2422	34723.6523	NaN	29607.0195	NaN	33823.9492	36404.7383	36020.7422	32253.5664
3.0687	35500.7461	31161.668	29131.7656	NaN	29456.7988	NaN	NaN	33320.7656	32513.0469	31019.0254
3.2021	NaN	30626.0723	25792.9336	NaN	NaN	NaN	NaN	34184.0234	33367.4375	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33285.8047	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
