x	Y_20181208_15692b_12_14g	Y_20181208_15692b_12_4g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g	Y_20181208_15692b_7_7g	Y_20181208_15692b_8_5g
0	29706.2422	26150.2754	28141.1328	28882.2852	30491.8086	26927.1133
0.1334	30980.207	26337.0371	28273.5742	28245.8887	30582.6934	26955.9902
0.2668	30694.9141	25853.6211	29413.6738	28651.1172	30315.752	28001.625
0.4003	30743.2578	25817.7168	30312.7656	28879.2168	30894.0312	28301.9297
0.5337	29455.6484	26912.6074	29635.3242	28396.7578	31128.1855	29816.7578
0.6671	30288.9375	27071.2773	28644.8242	28051.1699	29867.9336	29996.8145
0.8005	31268.2168	27264.8164	28859.1699	30678.8594	30850.5879	29948.084
0.934	30750.7363	25583.877	29367.8164	30985.5625	32003.6934	30056.9648
1.0674	30750.332	26417.7812	29947.1387	32377.6035	31222.9297	30092.873
1.2008	29287.1465	25785.8848	31233.373	31171.3594	30960.6641	29481.3262
1.3342	30412.5039	26495.416	30754.0801	29371.1133	29101.0586	28740.9609
1.4676	31505.166	25742.084	30869.0684	30843.209	29550.1152	29564.1602
1.6011	31371.7305	26382.373	30680.5176	31306.7344	29641.3145	29125.8555
1.7345	31431.8203	26718.1172	30407.4277	31539.6367	29117.9336	28970.4902
1.8679	32139.918	26465.4629	30089.7461	30460.2949	29064.9219	28430.3105
2.0013	32555.3906	26475.3203	30113.3984	30413.1777	30550.5449	28710.8516
2.1347	31375.0391	26323.3633	31267.3574	30101.6836	29969.418	27654.291
2.2682	32170.0645	27758.1016	32433.7871	29841.1562	31559.1523	28049.5938
2.4016	33365.5898	27316.8281	33284.3906	30625.6348	30190.0117	28773.1152
2.535	34065.293	28158	33510.6016	29643.6738	30020.8691	28413.6895
2.6684	36273.4531	29454.5898	35942.9453	28943.0781	32132.7793	28797.0352
2.8019	42521.6328	33438.7383	43953.6406	29321.0605	36147.7812	29796.8613
2.9353	55049.0625	46907.8789	65109.8125	29716.1699	42890.7656	32529.8945
3.0687	83153.2344	67859.1641	94718.3672	32346.5117	50540.9453	37266.7305
3.2021	103030.1875	73574.8281	94920.4062	37471	49304.9297	48242.1055
3.3355	82694.1641	56971.6016	68557.0234	50250.0352	41613.5234	53728.8242
3.469	58933.0195	40912.332	48442.543	58627.418	40190.2344	50933.8555
3.6024	44062.7461	36110.1758	38168.5352	52397.2734	48298.7422	48303.2969
3.7358	35981.3164	34098.9531	34115.3242	42390.668	NaN	53113.8086
3.8692	32256.0898	38468.8555	33144.8242	35887.3633	NaN	NaN
4.0027	33231.7148	NaN	33228.2227	33758.4727	NaN	NaN
4.1361	32882.7109	NaN	32125.7246	32128.3555	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
