x	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
0	28649.1094	27754.543	30798.0566	27090.8027	27420.293	27460.4531	28173.252	31956.4238
0.1334	28874.752	28433.8535	31026.9004	28619.9141	28588.2695	29184.0352	27897.0215	31883.3926
0.2668	28354.875	28640.791	29526.627	28817.5762	27913.8047	29167.4785	28089.4707	30907.5098
0.4003	30918.9395	28045.7754	30083.3223	28650.4629	28487.1445	30254.2812	28009.4648	30858.3184
0.5337	29579.3672	28275.3027	31790.0059	28549.2871	27817.2402	29891.5352	29246.1426	32289.8203
0.6671	30507.9062	28762.7207	31607.9902	28325.0898	28380.7715	31564.5293	27620.6055	32772.6602
0.8005	29348.5352	29115.875	30292.3516	29826.9707	28139.0508	32002.8887	27695.4492	33531.6953
0.934	30177.0723	27765.2891	29876.4609	28678.4785	28409.4355	32689.9297	27530.4883	32812.9688
1.0674	31136.9473	28658.6973	32042.2793	30229.8086	28341.6367	33652.5469	28303.7305	32660.8379
1.2008	31517.5742	29279.1289	31958.625	30526.1758	29408.043	34200.3477	27467.4258	34638.3125
1.3342	31080.541	29264.625	31340.2637	30451.6953	29003.3359	33535.168	29410.0234	32238.2148
1.4676	31138.1074	28610.4609	31242.3301	31573.582	29729.8711	33848.1211	30667.4023	32291.3516
1.6011	29770.3926	28824.2266	33765.7539	31661.4434	30610.7656	33013.6484	30503.998	32134.3359
1.7345	31993.543	29769.5254	33816.4609	30980.5078	30743.8242	33272.8516	31632.1191	32128.7656
1.8679	31184.4766	29960.7773	33586.625	31860.2129	31006.3203	33416.207	33831.3438	32346.7578
2.0013	32500.4297	29364.9668	33618.7266	33800.4258	30770.002	34241.9961	39043.2461	32680.2559
2.1347	33606.082	28774.6016	34084.9414	32660.2188	30603.4629	34621.3828	41692.4609	35010.4023
2.2682	36870.2031	30816.9102	35750.8242	32993.0742	31376.7852	37531.8047	39639.7188	35791.375
2.4016	46122.7461	30411.4551	38897.2695	36883.7188	33536.668	45156.5508	39195.0312	41257.6836
2.535	62082.7188	31607.9355	47866.0977	45200.2188	35680.9883	53028.0352	46548.0039	55875.3125
2.6684	82931.0703	33363.5977	55755.1445	68122.3594	40926.6172	51346.9258	62522.7969	64353.168
2.8019	83066.5625	35085.2812	48269.75	101230.8438	57560.6641	38696.1641	77709.5625	58606.9492
2.9353	58903.5039	44632.3359	40813.1641	96121.8281	70446.4609	32728.9648	63133.4297	62211.8555
3.0687	42863.0312	55019.8516	37498.7734	63904.3281	60678.9219	30808.25	44524.207	NaN
3.2021	35960.9883	53547.5078	33706.1328	52646.2305	45054.8008	NaN	34908.8984	NaN
3.3355	33206.2344	38521.9023	31360.1992	NaN	34659.7617	NaN	32866.8125	NaN
3.469	NaN	31660.623	NaN	NaN	29768.0938	NaN	30887.6504	NaN
3.6024	NaN	29933.6152	NaN	NaN	31883.9277	NaN	31062.9414	NaN
3.7358	NaN	30469.457	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
