x	Y_20180212_14590b_10_4g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_7g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_20_1g	Y_20180212_14590b_23_1g	Y_20180212_14590b_24_4g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_29_1g	Y_20180212_14590b_32_2g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_48_13g	Y_20180212_14590b_5_2g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_9_6g
0	13077.612	12055.204	12621.978	14616.353	13863.71	12971.494	16042.554	13241.362	11963.509	12432.379	14884.835	14051.3	12726.8	16532.434	13856.139	16611.785	14228.063	12185.362	14322.52	12264.957	13633.356	13722.805	13770.486	11419.395	16514.719	12978.629	16365.819	16169.7	14045.922	15546.34	15890.956
0.1334	13079.263	13053.472	13937.861	15900.62	14494.3	13194.834	16268.636	14319.595	13489.353	13374.428	15513.774	15946.591	14130.927	16842.098	14457.545	14212.586	15031.616	12780.615	17165.021	13490.461	13666.562	14137.933	13780.201	11590.391	16929.947	15189.005	16126.947	16220.212	14694.741	16762.689	15715.272
0.2668	15972.407	14656.483	14825.453	19689.805	16435.535	14614.607	18526.578	15518.396	16279.04	14016.871	16593.582	17599.811	15408.001	17586.881	15637.34	16843.303	17231.484	13711.585	20416.852	14280.052	14538.59	14426.063	13857.126	13803.934	19372.367	17633.547	18433.604	17279.18	16024.59	20370.107	17288.945
0.4003	18756.084	16563.021	16921.285	19916.125	16817.375	16667.715	25875.971	19522.289	19499.725	15274.442	18139.449	21040.014	21361.299	20380.434	18801.197	22445.461	20089.32	14479.934	19556.01	16104.073	16115.486	15873.827	14974.371	16196.546	23248.262	21273.26	22551.07	19912.148	18364.232	22106.826	21468.791
0.5337	20110.098	18832.688	19409.236	19235.117	16389.764	19221.25	36092.703	24556.996	20623.197	18434.201	22433.697	22581.004	26845.805	26509.145	21352.449	26870.227	19835.186	16296.821	17532.516	16081.918	15738.293	20541.254	17598.768	23059.832	29428.873	22651.289	25684.361	23566	21616.586	21614.479	25534.025
0.6671	20960.496	20934.609	23671.564	17655.973	16090.562	18400.16	39329.988	26453.27	19357.236	21190.574	25588.535	19696.123	28014.711	31300.848	20895.4	32110.109	17860.051	18592.795	17299.904	16310.616	17345.023	27420.865	17628.494	32529.779	33015.973	21687.906	25251.426	23518.268	21954.637	18688.33	21526.441
0.8005	21199.779	21129.547	22024.234	17111.156	14715.956	16572.053	40967.031	26057.746	17881.727	21230.23	24133.68	18768.744	21633.607	30721.518	20288.084	31864.943	16717.068	17892.809	17475.467	17092.996	18080.969	28297.145	17342.734	35868.344	32445.285	18474.57	23920.701	19809.867	21255.004	17931.113	19155.297
0.934	20759.867	19197.932	20373.979	16417.463	13233.141	14627.77	35856.949	26190.775	16983.078	20439.43	22155.809	17138.646	18689.736	28780.006	18115.699	28204.398	16228.465	18434.996	16245.521	15894.66	18885.248	27652.418	16919.463	37993.641	27649.455	18143.393	22171.178	20376.107	20146.301	16273.581	18871.605
1.0674	20695.242	18141.938	19578.303	14748.781	13368.223	15310.659	30583.641	26914.721	16027.832	19946.775	20315.367	16391.805	16974.334	25010.822	15916.605	24347.486	14258.884	17771.043	15576.386	16044.36	17279.059	22931.219	16859.834	38650.281	23756.316	18085.248	19448.162	19587.043	18427.639	14928.966	19441.705
1.2008	19064.092	17081.799	18639.711	14940.022	13502.337	16176.586	26925.684	27361.453	15551.27	20605.75	18239.83	15448.305	15942.906	19846.188	14432.172	24063.197	13765.113	17063.543	15085.766	16695.604	17820.842	20481.861	15258.011	33701.176	23049.674	17379.129	18376.342	20424.246	19253.951	13920.094	21825.223
