x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_3g	Y_20181208_15693_12_4g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_6g	Y_20181208_15693_2_9g	Y_20181208_15693_4_11g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
1.3342	16728.5371	16094.1465	13813.7881	13007.5596	15260.6885	13886.4902	14416.2568	12674.084	13928.5352	14946.3398	14509.1748	15434.0127	14074.0986	14279.0938	11491.6445	15383.9209	20512.9004	15027.5098	15263.1562	14254.3018	13489.0752	15213.5293	13510.7725	13419.2529	12570.0137	13774.875	17249.5664	13368.1553	15194.6445	15847.7109	15218.8379	12703.4424	13558.8369	13934.9863	13645.6758	16713.209	15658.0586	14568.0215	15236.9814	13445.0117	15619.0068	17896.9082	11941.9287	12930.002	16790.7852	14702.3594	12608.4824	15293.5674	14990.5811	14994.2178	14186.1367	11673.3965	12740.9531	14107.3262	18534.6816
1.4676	18540.2422	17075.5977	14562.7041	13364.4395	15404.0498	12271.9492	14215.8506	12514.8887	12863.4873	14482.4805	15343.6992	15008.9229	14488.5264	14145.3779	12781.3379	14642.8994	20366.5508	15604.0986	15438.9014	14266.6104	14436.999	15722.4639	13960.5518	13409.7451	12735.4023	13597.5342	17500.4277	12862.0088	14714.2168	15112.6416	15017.7109	12400.6045	13266.0371	13409.9893	13818.0742	15857.0674	15218.0586	15121.3857	15275.6035	13397.1006	15373.9678	18140.2402	12040.6982	12803.4414	16925.1777	14071.6387	12766.623	14739.3516	15137.5947	14292.0039	14962.1904	11739.3486	12594.0029	13643.9121	18108.2344
1.6011	17698.5332	17046.6953	13687.5977	13777.1025	15570.2754	11670.0771	13503.3613	13375.3047	12281.9951	13305.4863	14847.0938	15189.042	12967.8916	13902.71	12669.1924	13945.7686	18398.0195	14672.4551	15163.3945	14467.1035	14406.7178	15346.5889	13592.8975	13011.7432	12885.876	12881.6729	16547.7539	13209.0244	14131.167	15152.4951	14337.1973	11531.9463	14034.3887	13828.7432	14082.7959	15887.0352	14781.4697	15144.208	15975.7891	13349.1348	15203.623	17797.6797	12376.3115	12459.1123	16228.0225	13215.8213	12783.6533	15670.8486	14557.8857	13067.0996	15403.7578	11817.1328	12677.3545	14134.2617	17357.3418
1.7345	15607.3955	13994.4531	14025.9912	13347.166	15027.0889	12186.1738	12676.2539	13804.0479	12294.7354	12445.6875	14817.1152	14864.4072	12796.4668	12891.0449	12404.0693	14617.3652	15595.999	14595.7471	15990.207	14949.1309	13515.293	15083.5713	13374.0088	13387.6582	12998.3428	12391.8779	17269.6816	13752.707	13957.7451	13578.3076	14112.1689	12706.5596	13297.0166	13379.7539	13696.3672	15805.9736	13721.4678	14879.7285	16922.8164	13043.1475	13630.5391	16455.0781	11784.9502	13016.0449	15423.999	13481.3428	12849.8203	16585.9609	13164.5938	13574.7979	15614.3096	11716.3662	12912.1133	13975.6045	16973.2871
1.8679	15169.6172	14323.4033	13167.9355	12149.0576	15760.0215	12048.9668	12478.4814	12788.9141	12198.627	12528.5791	13950.5283	15463.7393	12635.8125	11776.6484	12737.4785	15112.0322	14168.8066	13768.7246	14439.6777	14028.5684	12715.2949	14167.8643	13056.1777	13678.3633	14099.2275	11843.2197	16088.082	13552.8311	15076.6816	12247.2793	15184.5625	11645.873	12632.6045	13597.6494	13918.6426	15211.9551	13192.9492	14151.1104	16297.9434	12672.1357	13579.2676	15133.6934	12801.7979	12869.5059	14021.2881	13255.4473	13289.8809	18594.5723	12103.5518	13725.6758	15141.1279	11171.333	13384.1807	12482.6797	16957.5742
2.0013	14846.875	14094.4424	12931.0791	11395.3936	14256.3828	11107.7061	12870.8535	12442.7764	12138.1787	11749.5146	12674.0088	14761.8955	11865.2617	12242.5566	12061.1221	14512.2061	12173.6621	13522.251	14764.1279	13912.375	12391.1191	15057.7012	12417.0674	12873.2686	14293.6328	11891.8486	13815.4766	13625.9658	14317.0234	12386.4375	14401.7734	11317.166	12181.0771	13057.3379	13751.9785	14482.459	13286.0908	12298.748	15279.6904	12710.625	12461.1396	13604.4932	12248.999	13678.0576	12798.8145	12396.834	13616.8047	17030.7129	12486.4688	14226.1279	14099.4209	11227.2061	13270.4922	12836.166	16407.1211
2.1347	14049.8867	12830.2656	11714.7236	11062.2822	13873.0459	11053.3428	12066.4697	12653.1807	12558.9268	11923.5566	12237.2754	15617.3408	11160.2764	12169.332	11521.7158	14155.4404	11359.0391	13952.1162	14514.668	13653.2383	11713.5713	14353.9688	11778.7305	13248.8564	13329.6895	12033.6592	13766.6689	13402.2178	14516.6211	11836.584	13380.3027	12027.5498	12578.5693	12567.7354	13775.3135	14118.4541	12584.9209	11886.5898	14324.3213	12819.4365	12650.8672	13547.3809	12521.1211	13151.6943	12308.4746	12387.9971	11910.1396	15002.3242	12094.042	13490.292	15073.2012	11049.4756	12777.2656	12574.3896	16050.6602
2.2682	13854.1113	13339.7275	12756.1016	11057.5693	12827.5498	11054.8447	11416.2109	12487.8604	13007.543	12791.0156	11942.1182	15710.0674	12003.1553	11104.9473	12107.2412	12468.124	11466.6943	13518.9268	14500.3564	14060.6553	12037.6904	13822.2354	10799.3555	13463.6826	12583.2705	12469.2607	13114.6113	13317.2861	13189.9531	12045.458	12585.9561	11548.458	13307.8154	12786.2861	13294.4268	15107.332	12519.4014	12303.0859	13847.0811	12083.5254	11928.5312	12938.8682	11988.3594	13068.3701	12504.71	11923.9531	11781.9697	15153.2695	11713.3584	14115.4424	15242.5684	11280.9102	11646.7227	12027.2051	15660.9639
2.4016	13209.1514	13561.9922	12649.7734	10674.1533	12699.7568	NaN	11345.4395	11978.2324	13156.043	12135.5518	11943.7432	15784.9902	11900.168	11201.1572	12785.9229	12448.8613	11872.5371	13603.5547	14112.9668	13291.9014	11409.1904	13798.7852	9368.2549	13129.3008	12037.9219	12033.5703	13156.5557	12563.8193	11962.4668	11966.6875	11587.499	11951.3271	13332.458	12955.2051	12881.3252	15098.2207	11951.6006	12269.4277	13212.8359	11834.082	11286.2275	12803.4521	12104.1035	13552.1152	13062.915	11504.5752	11632.0801	13213.5293	11597.6777	14410.042	15426.4941	10804.4863	12049.083	12203.7168	15598.8584
2.535	13329.4395	12904.8936	12122.3828	10210.1016	12933.4307	NaN	11687.1416	11805.2021	NaN	11580.2002	11735.8936	15251.4004	11125.0371	NaN	12203.8057	12066.1172	11942.8994	13432.2637	13795.4619	12498.4873	11203.9189	12912.374	NaN	12492.1348	12042.9541	12256.9219	12986.1914	11345.5801	11140.3203	12440.1924	12187.7715	11854.1514	13363.3281	13045.4004	11621.4658	15239.1602	12009.1104	11559.2373	12770.2061	12716.7314	11604.4395	12071.4434	12367.8496	13003.8047	12883.1084	12274.6338	11293.6406	11587.2305	12217.8271	13504.6689	14801.2461	11644.9727	11310.2686	NaN	15928.2715
