x	Y_20181208_15100_1_4g	Y_20181208_15100_13_10g	Y_20181208_15100_14_1g	Y_20181208_15100_14_4g	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g	Y_20181208_15100_16_1g	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g	Y_20181208_15100_2_1g	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g	Y_20181208_15100_7_5g
0	11492.1768	11096.5156	12689.5039	11376.0742	12739.2402	9769.6006	10310.2363	11898.7598	10674.1758	11076.2949	12736.1162	11408.0469	10570.2598	13691.9551	12279.1211	10264.7393	11064.1377	12105.6279	12528.2324	10056.8896	10253.249	11641.8848	12154.876	13526.4111	11405.8594	11897.7314	10687.5703	14164.3271	10121.4492	14698.1865	10103.71	13082.2041
0.1334	12085.6416	12207.8867	15101.1836	11705.5303	14999.6875	11413.9531	11005.3926	13798.1084	13324.3887	12822.7344	14567.1143	11829.8564	10715.3789	13802.0889	12497.7236	10378.6533	12436.5371	13015.043	13450.2598	12043.1113	11889.7373	12553.6758	12751.2939	16534.8965	12368.3877	12560.5527	10862.1787	16446.0352	12355.7725	18389.6133	10704.833	15057.9805
0.2668	13065.627	11745.1562	15538.1953	13174.8066	17785.3789	14532.2803	10911.8076	15664.9434	16505.5352	16500.8125	19021.0234	12265.1162	12025.5508	13408.4102	12622.8535	12080.9121	13824.4766	13878.623	16400.875	14769.4043	16059.582	13739.5283	15417.7939	18210.0684	12650.957	13449.6641	11047.4629	19334.5859	15820.8057	21743.4316	11162.1826	18406.4961
0.4003	15464.918	12013.7041	14720.2344	14600.5391	17082.832	17060.6562	12520.1338	15041.71	17878.7422	20448.8926	21968.2246	13964.1484	14072.8301	13938.335	12996.8721	14117.6982	16289.4316	16860.9355	17938.1309	18105.8359	22050.0312	16509.7695	15899.8604	15951.3896	15186.6797	14897.2627	10973.2705	22386.4492	17990.0312	20477.8867	12418.0586	19363.0332
0.5337	19013.9512	13723.624	12967.5898	16453.3965	14893.6797	16905.0859	13971.4346	14303.665	16101.2666	21250.8711	21205.9336	17794.0312	15839.7842	16878.4355	13954.4229	16058.5947	19035.2461	19224.6855	16484.8828	20340.4902	24458.2168	20092.3828	14890.5586	13410.9863	19440.3262	17573.2598	12175.7314	26104.6699	18700.0488	17253.8594	14011.0039	17235.8672
0.6671	20091.5996	14911.4512	12599.375	16654.4316	13593.7705	14554.3516	14667.1064	12780.1484	15054.8926	17672.0312	19877.0059	21971.0781	15577.6035	18742.3379	16162.3496	16451.6406	20171.0469	18788.9746	13813.791	17760.4277	20426.4141	22341.0469	13916.2891	13178.001	19220.1934	17891.2695	14233.9609	23121.3926	16646.2656	16049.0557	15355.7363	15703.4053
0.8005	18921.0078	15187.6963	11911.9365	15803.0801	13054.0977	12844.1035	14378.2754	12521.2275	13489.3604	15709.4668	19174.5508	21375.2168	14829.4424	20349.334	16652.2246	14653.8594	19829.4492	16650.0039	11983.8096	15496.9307	16664.0957	20910.6133	13855.6152	12625.1777	17567.9062	16978.8086	14055.3682	21842.5234	15210.1143	15479.2832	15927.415	15808.5938
0.934	15955.4727	15241.3711	11713.2568	15263.4268	12898.4521	11821.1748	13513.0605	12398.2012	13516.3262	14247.4014	17275.6055	19088.0703	15265.6855	18282.5762	15798.5879	13044.9395	19086.6973	15608.501	11875.1221	14539.4912	14460.3213	20071.3301	13242.165	12158.8672	16398.3652	15071.0146	13356.4258	21113.8945	13956.8945	14862.7461	15197.1455	16293.833
1.0674	14944.9072	14809.9092	12669.5498	14960.25	12506.8789	11613.2871	13611.9307	12398.9805	12951.3428	13290.1445	16352.7383	15760.0156	14774.8486	16806.6465	12695.0371	12694.2988	17038.7871	15931.9062	11926.0205	15053.1055	13622.8174	20031.0176	12864.6768	12206.1484	15965.8535	15116.7275	13227.4619	19075.1504	13387.3105	14564.7295	13637.3018	15651.7051
1.2008	13890.9648	14478.2979	13448.958	13168.6387	12702.9795	11462.4316	12568.3428	12729.7412	12898.6455	13451.2402	16403.6992	15662.8271	14570.4727	15491.7148	12532.585	13904.668	16670.9004	14517.9893	12692.7656	14408.3467	12586.2354	19217.5781	12395.2676	12111.0439	15896.7041	14588.1592	12635.6475	17796.8535	12732.335	13816.0029	13610.3096	15123.8916
1.3342	13837.5635	12779.3145	14170.582	12501.0879	14298.5908	12003.4199	12549.0781	12920.1143	13377.6943	13877.4688	16329.415	15880.2256	15339.5283	14173.8633	12034.4521	13480.627	15314.5898	13834.5	13862.3174	14870.9092	12869.3115	19386.6055	12809.7373	12539.999	15541.8545	14390.2363	11932.7051	15621.6533	12273.2793	12247.542	13879.416	15222.7598
1.4676	13526.1035	12302.1973	13703.2148	13391.6123	14446.6182	12081.791	13252.2148	12775.3271	13220.9932	14338.5918	16497.2637	15963.5137	14351.4336	13275.7549	12055.5713	13162.665	16009.8496	13298.7373	15319.3457	14589.0811	12626.5469	18540.5898	11895.0312	11964.2139	14601.6299	14394.4385	12660.3428	14136.9395	12052.3359	12841.0605	13911.5947	15676.085
