x	Y_20181208_15692_37_2g	Y_20181208_15692_38_10g	Y_20181208_15692_40_7g	Y_20181208_15692_43_15g
0	10555.5312	10063.5645	10165.1357	9983.8408
0.1334	11937.0928	9801.1357	10901.0303	10657.2441
0.2668	14513.8057	10914.2549	12905.8545	10929.2559
0.4003	16080.3408	12121.3594	14889.3154	11645.8564
0.5337	14824.1045	15260.3623	14832.0303	13837.3955
0.6671	14390.6807	16775.7383	14535.5322	14841.6406
0.8005	14435.4092	16757.5312	14165.5908	13612.459
0.934	15045.2676	14348.4883	13767.4062	13756.7471
1.0674	15716.8662	14345.9307	12813.415	13750.0254
1.2008	15960.7832	13300.7051	12583.7051	13490.1445
1.3342	16988.2969	13169.916	12738.9258	14260.2637
1.4676	18033.3594	13264.876	11713.4258	14269.6797
1.6011	17905.4941	13280.9736	11496.2461	14355.2959
1.7345	18315.5645	13400.2637	11712.9795	14030.5713
1.8679	17318.1152	12679.1484	11263.1904	14201.0879
2.0013	16604.7363	12737.2871	12140.3252	13824.7969
2.1347	16192.5498	12594.8555	12421.2324	14897.6582
2.2682	15691.667	12273.7002	12462.7861	16705.0352
2.4016	16600.7207	12821.3506	12764.3291	15914.0273
2.535	16227.041	12770.1855	12424.3232	15970.335
2.6684	15124.7812	13229.749	12727.3916	14721.3389
2.8019	13960.7217	13630.1523	12536.4346	13410.7158
2.9353	14246.1309	14146.2129	12145.6699	13367.7783
3.0687	14298.2422	13620.6416	11946.4531	13280.7549
3.2021	13885.9453	13400.8574	11870.1191	13481.7852
3.3355	13325.2881	13783.3047	11383.5625	13351.8496
3.469	12515.3643	13390.9375	11367.4023	13280.0107
3.6024	13177.4697	12940.5693	10662.749	13078.1035
3.7358	13702.1357	12345.7158	10416.4365	12978.0674
3.8692	13311.123	11875.6025	10374.2227	12353.541
4.0027	12480.6455	11612.2803	10375.3232	12026.4521
4.1361	11582.6807	11434.8262	10072.9307	12148.5947
4.2695	11448.1123	10761.5811	9836.1758	12139.0898
4.4029	10240.9102	10384.2764	9954.584	NaN
4.5363	10053.8545	10358.2246	9673.4668	NaN
4.6698	NaN	9698.0742	NaN	NaN
