x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_15g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_1g	Y_20181208_15693b_2_13g	Y_20181208_15693b_5_1g	Y_20181208_15693b_6_9g
0	30893.9648	26465.3203	26375.0762	23530.0566	29979.0918	29803.1426	28965.0879	28371.0156	26788.7871	28013.3008	26889.3281	27759.502
0.1334	31950.6465	27912.4258	25701.9141	24112.6055	29856.5664	29574.8398	28736.875	28362.5059	26290.8848	26856.4727	26694.3477	27929.125
0.2668	32698.1172	28137.6621	27013.7109	24535.3633	30602.1367	29329.4824	29015.8418	29230.1211	25903.8418	28479.7812	26562.127	28285.4961
0.4003	32666.5801	28463.377	28218.541	24990.9609	30139.3086	30271.4668	29315.7129	29720.584	25575.2773	26910.9414	27547.8867	27738.5215
0.5337	32984.0234	27886.6074	27750.9473	26093.4336	29800.1699	29087.6387	28015.0098	30113.8203	24861.4043	27822.9688	27460.0527	28573.4473
0.6671	33702.9375	28986.4375	27269.957	25349.6836	30149.7012	29303.2715	28533.4531	29739.3086	26237.252	26138.7871	28056.3613	28423.3418
0.8005	33956.543	28843.8242	26565.9238	25552.168	29653.6016	29252.1738	29264.7773	30998.2363	26301.8281	27169.6855	28733.7969	28853.8613
0.934	32747.6211	27777.0332	27297.5469	25239.4141	29673.5176	29490.0547	29297.4766	30995.7539	27904.1562	26514.1211	26878.9922	28326.1445
1.0674	32522.1426	28176.1875	27791.7109	25827.4531	31159.502	29457.8262	29426.3242	30886.8691	26401.4199	27557.3457	28505.2656	28783.7637
1.2008	32719.7891	27283.5938	27457.7031	25303.6758	30569.248	30277.8691	30783.7344	29634.4453	27478.9902	26916.0801	29131.291	28634.5859
1.3342	32880.7109	26978.8906	27750.6387	24576.5508	31106.6699	30162.7422	29373.8496	31245.2832	26543.7676	27514.7285	28478.9238	29034.627
1.4676	31731.3008	27691.0352	27518.0449	26122.9043	30990.5273	29005.8379	29123.3145	30674.8066	27758.7676	26073.8496	28048.7676	29860.5957
1.6011	31650.9141	28135.7734	26184.6367	26907.5332	30011.0488	29021.9531	29697.6973	30944.3047	26656.1426	28086.6055	28103.4512	30090.5059
1.7345	32127.2734	27462.2422	27437.4414	24784.8828	30235.4434	29779.002	29074.916	30448.5	26133.8633	27050.1816	29940.9609	29276.375
1.8679	30989.541	26532.0332	28182.9297	25250.1777	30411.5664	29155.1445	29367.4941	31355.7734	26676.7422	26313.2832	28867.3945	29940.207
2.0013	32045.1621	27543.2441	29085.1836	24048.3828	29224.3105	28558.4004	28090.3867	30445.5195	27315.2695	26729.4648	28626.5488	27962.7266
2.1347	31498.6016	27758.9922	26497.1602	23804.5801	30315.9355	28747.8887	27325.0664	30535.9746	26874.0996	26343.9258	28219.1113	29296.7383
2.2682	30208.8574	28220.5156	27085.7773	23976.332	28567.9668	29725.7344	28376.8418	30365.4668	27506.4434	26654.7188	27320.6777	29919.9082
2.4016	30418.6074	30286.2285	25913.6973	25031.998	28736.6113	30094.7285	28498.623	30290.3164	26449.1172	26342.1953	27670.1406	28925.6484
2.535	31993.1445	30725.3848	26255.9512	24986.1113	30804.2363	30179.4883	28178.1309	28637.6406	26039.8242	27376.8184	27718.0098	28329.2305
2.6684	30918.7656	30263.4199	25909.7656	25206.1504	31869.2285	30787.6641	28598.6426	27694.4961	25900.3652	27695.0879	28390.2129	31643.5996
2.8019	32864.2539	29953.4609	27312.9355	25964.8574	32280.4727	31327.6797	29080.1621	28614.7109	25755.6348	30390.0391	28395.9727	30493.8555
2.9353	33026.7305	29845.4004	28386.7422	28502.4316	32503.7148	31385.6816	30304.5156	28721.1719	25290.2812	30231.8262	28365.5938	29941.4023
3.0687	33045.4961	30731.8184	30307.957	33177.0547	32757.5234	31899.6172	28502.5371	29728.4219	27073.834	32768.5586	30498.9355	31788.5996
3.2021	31505.4766	33265.5664	37550.2344	42550.9258	35491.9453	30891.2637	32674.1133	30837.0078	26790.9688	38427.9062	37039.2617	32933.4258
3.3355	34537.9375	37880.6055	50693.9609	57818.3867	43628.5391	33106.4375	36493.8203	33308.5859	29127.3711	52949.7344	52915.4453	34620.6953
3.469	38918.0273	49003.9258	69579.2891	58201.4883	59864.6406	36099.6094	49408.8008	41548.2695	30858.6133	73678.6719	78057	35574.6289
3.6024	44782.832	61146.1172	60998.0859	41301.7305	85505.4375	41694.0938	70942.9844	49889.6211	33591.8086	82687.8359	89344.7891	42891.3906
3.7358	57004.0273	58615.6836	41698.3594	29705.3477	98997.1484	52278.9141	73239.3281	56010.0391	43342.3594	60351.4023	68598.4453	58419.2617
3.8692	79109.7188	43564.3242	33058.3398	27050.7207	85788.0234	57774.3672	52717.1953	55092.2891	59279.3555	40387.1602	45403.4492	72378.8125
4.0027	75053.3984	33355.7852	29669.4453	26546.418	64483.0391	52110.1211	41259.4648	47367.0078	62016.8438	32075.5098	35569.9297	69718.9922
4.1361	54930.4531	30547.3477	29714.5391	NaN	45233.5586	41122.9922	37940.9297	46209	46273.918	31746.1484	32934.8906	58987.5625
4.2695	40748.375	28900.0215	27853.916	NaN	37294.1875	36452.9961	NaN	NaN	34727.7969	30238.7129	31382.3984	NaN
4.4029	37345.0781	29351.8398	NaN	NaN	34844.8555	33529.0898	NaN	NaN	32671.0605	NaN	31608.6738	NaN
4.5363	35699.2344	29696.6523	NaN	NaN	NaN	32143.541	NaN	NaN	29548.0273	NaN	NaN	NaN
4.6698	35083.9141	NaN	NaN	NaN	NaN	32473.9766	NaN	NaN	29659.0254	NaN	NaN	NaN
4.8032	35185.7422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
