x	Y_20181208_15794_10_18g	Y_20181208_15794_10_8g	Y_20181208_15794_11_3g	Y_20181208_15794_13_5g	Y_20181208_15794_14_4g	Y_20181208_15794_17_3g	Y_20181208_15794_2_4g	Y_20181208_15794_2_6g	Y_20181208_15794_2_9g	Y_20181208_15794_22_4g	Y_20181208_15794_23_16g	Y_20181208_15794_23_20g	Y_20181208_15794_23_2g	Y_20181208_15794_23_7g	Y_20181208_15794_23_9g	Y_20181208_15794_24_15g	Y_20181208_15794_25_7g	Y_20181208_15794_3_7g	Y_20181208_15794_4_2g	Y_20181208_15794_5_18g	Y_20181208_15794_5_20g	Y_20181208_15794_5_7g	Y_20181208_15794_6_22g	Y_20181208_15794_6_4g	Y_20181208_15794_8_4g
0	11726.0273	12076.6387	11649.3096	10428.9043	10792.2305	12389.3184	11315.7432	13571.3027	12320.2832	11146.9297	13368.5654	11153.707	12315.0146	10582.4893	12353.4629	11822.7734	10778.3584	11878.8398	11442.6152	10271.7227	13203.1064	11390.7295	12278.6172	12311.4199	12420.7861
0.1334	13723.2393	12281.9209	11384.9648	11206.1855	10402.7568	12587.5078	11770.4023	13928.666	14810.1201	11770.3574	16368.9688	12100.3652	13180.3262	10891.0244	12639.583	12910.1191	10952.9902	13996.918	11913.3828	10290.1572	13315.9023	11457.3672	12265.6318	12248.5244	13164.8115
0.2668	16971.0625	13362.3555	11217.4043	11894.8896	10057.2422	13410.1943	12007.0625	16381.4844	17497.8242	13391.1523	17641.2617	14331.7773	13578.6143	12540.71	15443.7891	14052.1553	11116.8906	16885.0469	12387.8301	11061.9424	14071.4463	12134.9902	12068.2998	12068.3311	13155.4385
0.4003	18046.377	14941.5176	11280.4004	12383.4531	10867.9785	13806.5439	13972.252	17333.5234	17083.2852	15187.5625	16416.6289	16890.8672	14235.2402	13977.2139	16262.9492	17280.3965	11581.3809	20337.3418	12480.8281	13536.625	14366.083	14376.001	14716.96	14795.5	14852.0801
0.5337	16132.7676	17194.6348	12053.377	15642.2568	11549.2881	15171.21	13827.1162	16052.2656	17533.6699	15901.624	15438.3389	19540.9668	13426.5273	14658.8994	14546.9346	17437.7832	12868.334	20390.4316	12239.7148	14649.0059	16310.0254	17680.9688	15445.5098	15445.6611	17566.9609
0.6671	14019.8701	16636.1758	12279.5264	18551.6934	11956.0986	14612.8682	13322.7012	15893.0381	18412.6523	15236.4697	14755.4297	17412.1562	12596.0977	13839.29	12874.7197	14080.6045	14380.5234	18575.0859	12536.3564	13050.6338	16080.3584	19436.7363	16296.4297	16275.6055	17673.6484
0.8005	14301.2578	15906.4629	12554.2061	17199.7676	14660.9648	14923.918	11448.7812	13953.875	17553.8379	14087.627	13859.3027	15814.7725	12784.4404	12692.3525	12528.668	13179.748	14959.0938	16717.418	13992.9209	12657.916	14330.1133	16061.4512	14658.8906	14593.2793	16312.3721
0.934	13744.1289	15263.4189	12079.1006	14877.4141	17170.4688	15843.1416	11234.6963	13973.6826	15352.8174	14357.2402	14679.5	13716.0312	12423.5547	12489.6416	12431.2822	12913.8438	14097.1318	17329.6797	15868.6523	12819.4678	13014.1973	13779.8154	13896.5801	13864.2676	13981.1055
1.0674	13021.9297	13389.0791	12170.5879	13667.6514	18768.9297	14627.1357	11027.1992	13647.4639	15082.4912	14482.8018	13896.9043	13732.9795	12043.5918	11894.8018	12913.2754	13734.4072	13215.5156	16784.3633	16093.8486	13838.1992	13025.5996	12374.9785	13734.9062	13709.3496	12522.5303
1.2008	12720.71	13266.04	12590.1641	14196.2119	18926.6504	13493.0479	10797.2861	13520.8213	14422.1475	14182.1504	13980.5107	14020.1846	12467.8418	12489.2158	13536.249	14547.6719	12561.4658	16558.0586	16598.4082	12447.8525	13102.8984	12544.8096	13336.2197	13307.7686	13069.7051
1.3342	12565	12631.4795	13582.4229	14710.2832	17421.5234	13517.1982	11741.7119	13991.7627	13840.7188	12925.0967	13071.9111	14699.2188	12668.4834	12308.7207	13722.8027	14719.4385	12133.1875	16681.2793	16969.4727	11993.3877	13117.5723	12865.5127	14278.0645	14266.8076	13691.8555
1.4676	12559.6982	11916.6211	13535.8809	13770.3398	16297.2764	12553.1631	10807.458	14193.9004	13019.4209	12213.915	13113.1895	15650.583	13719.4463	12830.7119	13353.21	13578.416	11680.0029	15833.21	15504.6064	11628.6191	13039.6641	12482.1113	14283.3906	14248.8662	14365.3018
1.6011	12263.0303	11728.2402	13699.2119	14207.793	15754.1172	13159.7002	11403.1621	13842.2832	13059.54	11456.5742	13739.793	13905.583	13378.3203	13327.9727	11680.6045	12408.9746	10945.9893	14250.6914	13310.0469	11042.2891	12402.4785	13327.1943	13200.8291	13193.2402	13093.2002
1.7345	12119.7832	11829.5938	14355.7988	14281.7812	16207.4941	13786.9805	11029.7529	13876.6396	11908.5078	11292.0439	13683.6035	12761.4551	12628.6963	12873.4102	11973.5967	12147.1533	11657.4434	12927.9463	13016.9092	10462.7451	11991.0293	13390.4971	13571.8115	13568.1113	12266.6865
1.8679	11993.8896	11699.6172	14257.9014	13102.3154	15617.2959	13285.5879	11036.5664	14084.0234	11803.4131	11006.0449	13427.9971	11629.1982	12518.9902	12676.6025	11962.1475	11821.2773	11058.1895	11719.5869	11357.833	10075.0947	11480.0635	12994.207	12732.2637	12717.7969	12309.5371
2.0013	NaN	12024.5684	13319.4326	12261.2754	16230.0098	12084.8779	10823.333	12702.627	12560.3564	11272.0527	13890.71	12089.4824	12509.6973	12694.9463	11869.7559	12584.5938	10727.6738	11622.7041	10937.3799	10438.415	12150.7158	13100.2051	12843.0664	12833.8018	11954.3418
2.1347	NaN	12286.7803	11820.6074	12926.5889	16310.2607	11771.8721	10100.0107	12202.3232	12372.1748	10846.1377	13842.6318	12500.7168	12493.5068	12701	12688.3984	11498.8945	10734.4072	11555.1445	11013.4326	10356.1963	12556.3291	12534.0537	12133.707	12149.7402	11940.4619
2.2682	NaN	11950.0283	11839.2207	13222.1133	14546.6562	12403.3887	10189.8145	12939.6113	11885.3301	11466.7627	13632.9424	12129.8535	12706.8984	12712.0811	12277.4785	12173.707	10530.7021	11344.3145	11307.8691	10279.3945	12113.6982	12824.9141	12084.1475	12087.8027	12273.9746
2.4016	NaN	11804.123	12412.166	12747.1289	13364.3477	11461.8301	10244.9824	12823.7842	11744.4502	11021.377	12568.8506	12231.6914	13163.3301	13175.5977	11770.7197	12140.1592	10658.6953	12075.5723	10802.9346	10002.2285	12547.7451	12699.1572	12726.5312	12758.6689	12034.2725
2.535	NaN	11483.4893	12174.5391	12534.0264	12797.0898	12225.2119	NaN	NaN	NaN	11224.6113	NaN	12054.708	13102.209	15288.9805	NaN	11466.6074	10541.0576	11663.4395	10735.4277	10185.9668	12884.2822	11630.0303	11988.8506	11990.5508	12194.1973
2.6684	NaN	NaN	12568.0088	12226.3018	12052.8652	12187.6553	NaN	NaN	NaN	11904.3438	NaN	11846.3369	NaN	NaN	NaN	12509.5996	10750.4023	11776.0137	10341	9960.9102	13503.373	11749.7256	12740.2676	12783.25	12082.5918
