x	Y_20180212_14590_11_1g	Y_20180212_14590_12_1g	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_1g	Y_20180212_14590_1_2g	Y_20180212_14590_1_5g	Y_20180212_14590_21_1g	Y_20180212_14590_21_2g	Y_20180212_14590_23_1g	Y_20180212_14590_26_1g	Y_20180212_14590_2_2g	Y_20180212_14590_2_4g	Y_20180212_14590_31_1g	Y_20180212_14590_31_2g	Y_20180212_14590_34_1g	Y_20180212_14590_37_1g	Y_20180212_14590_40_2g	Y_20180212_14590_40_3g	Y_20180212_14590_41_1g	Y_20180212_14590_41_2g	Y_20180212_14590_44_1g	Y_20180212_14590_5_1g	Y_20180212_14590_5_2g	Y_20180212_14590_9_1g	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
0	35803.875	41051.805	38003.766	41864.926	40136.461	35421.41	38614.875	40165.094	40254.906	40804.336	41101.07	37447.543	34903.227	36705.273	40629.676	37514.988	37189.5	37651.688	30429.852	36608.48	37972.051	40304.184	41042.156	40269.805	37556.035	37380.535	34738.34	36698.012	34461.766	41578.562	42104.387	36548.789	42698.473	39725.184	39951.051	35328.484	40621.094	36620.441	40942.258	30950.287	36344.125	34048.516
0.1334	35692.879	39947.992	37328.574	44007.645	40374.574	35904.109	40092.051	42065.789	41520.957	41062.703	41682.16	38094.188	34957.566	35085.59	40613.277	38200.016	38493.441	37528.289	31173.67	36480.555	37020.867	40511.25	41588.684	39829.34	37143.641	36757.004	35581.074	36986.164	34444.988	43008.293	39733.156	33453.285	44425.77	39892.645	40423.594	35196.023	40208.938	34626.145	40989.93	31820.404	37003.598	33512.504
0.2668	35271.891	40737.816	38493.613	44132.434	42357.426	36614.633	39304.664	41562.016	40970.988	41768.57	41253.438	35929.77	35713.859	38016.785	39848.418	38982.516	37661.332	37498.012	32427.732	36001.457	37642.207	41696.145	42207.18	38567.09	38301.312	38938.875	33133.023	38847.379	35051.094	44290.184	39522.637	34316.867	45125.848	41487.609	40031.684	36280.543	41537.922	34523.797	39914.652	30530.709	37350.77	33422.145
0.4003	35995.711	41220.695	38934.363	43342.391	39309.688	37720.027	39682.352	41248.66	39505.625	43697.07	41490.875	37104.414	35679.895	36561.109	39284.059	38780.793	37859.441	38656.992	32003.914	36249.605	38327.5	40919.297	41228.906	41157.574	37888.02	39546.477	35638.484	38426.914	35686.449	44761.023	38911.855	34952.113	45013.742	41672.871	41258.801	35248.781	44383.27	36431.855	42436.762	30894.916	38181.281	33893.863
0.5337	35345.922	40435.207	39661.02	42580.562	41910.074	39123.566	41353.848	44479.289	41046.488	43066.344	42304.406	38075.297	35551.094	37761.434	41181.375	39229.59	40557.641	38049.766	31735.48	36651.602	39532.016	42345.062	41485.586	41464.535	37987.504	40279.68	34983.559	40321.121	36984.957	45424.367	38851.02	36238.648	44905.469	40552.707	42115.906	35607.355	41790.402	37489.125	43483.262	31560.154	38129.422	32830.031
0.6671	36011.848	41463.191	38981.141	42146.559	40278.648	39443.051	40837.277	46664.535	40480.496	41613.602	42514.457	37410.867	35833.664	40128.023	42629.195	39298.395	39365.684	39260.703	32043.768	33766.031	39548.617	42907.746	42671.277	41036.555	38964.922	39652.469	34734.281	40618.738	37027.824	45596.711	41387.895	35824.902	42397.336	40992.168	43498.012	38321.336	46152.258	36811.184	46823.664	32817.781	37543.348	35647.688
0.8005	37984.086	42457.582	40815.664	41825.418	40180.785	38925.074	41368.973	54204.262	40400.543	40668.688	43991.293	36053.895	35998.348	43058.809	43179.941	40244.398	39523.758	40157.191	34523.133	38263.723	41037.512	44709.941	42190.215	42037.57	40871.648	39208.637	35759.594	41416.484	36432.199	50426.5	41582.332	36289.836	47185.887	42159.879	44083.031	43691.551	49402.758	40495.863	52676.902	34374.371	38509.543	36487.734
0.934	37890.344	49505.363	45713.77	43626.664	42633.777	45737.254	42549.152	76622.094	39952.945	42905.66	48131.199	37218.195	36474.828	50832.77	44098.641	42863.609	41701.105	39953.48	35178.047	41269.141	40354.199	47709.105	42812.559	44231.074	41448.062	38990.117	35351.965	40208.668	36106.145	62167.746	46232.863	35327.18	50577.559	43197.309	53905.074	55078.711	58904.215	52246.246	63398.184	40317.164	39598.98	37284.461
1.0674	39923.656	57914.941	54280.93	43778.414	41121.184	57801.594	43946.336	118460.703	41995.277	45649.656	56888.676	39437.48	40777.023	76167.594	50070.234	50715.938	43748.742	42931.934	38724.75	42995.875	41762.516	58825.242	44691.094	52646.441	43887.109	38882.152	36732.695	44156.547	35689.895	84248.047	54061.992	36879.48	66781.047	44181.219	69282.523	80616.445	82798.516	73105.797	70215.086	57610.016	44921.512	41543.52
1.2008	42328.293	82456.734	79042.617	46524.555	44157.051	74866.148	44216.66	139062.078	45328.961	51586.703	77311.344	44503.945	46663.875	117721.758	67629.234	67554.625	51440.605	51849.59	43581.43	51094.371	42678.773	78318.125	46361.652	75510.336	53613.289	40694.031	41254.922	49803.387	37370.984	85336.445	83309.031	37838.816	78807.094	50396.691	71541.391	98055.031	123840.227	78680.086	60437.719	81587.023	55405.145	49418.477
