x	Y_20181208_15100_10_1g	Y_20181208_15100_15_2g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_11g	Y_20181208_15100_5_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_9g	Y_20181208_15100_8_3g	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_14_4g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_9g	Y_20181208_15100b_24_1g	Y_20181208_15100b_26_3g
0	11938.3945	12297.1299	10762.3643	10430.3027	9753.6133	12692.2764	11688.8633	9760.7168	11905.6445	10853.249	11261.1875	15257.4395	10851.1064	10668.9414	14568.96	10815.6309	10090.8252	11347.9688
0.1334	12887.8076	13461.6787	11003.4238	11522.5967	11546.2031	12532.2715	11601.1973	10888.2881	12255.5361	10606.4316	10938.9219	17121.7461	10053.4697	12235.9561	17395.7871	11247.1777	11616.0342	12719.5254
0.2668	14734.4951	14413.9395	11844.6514	14677.9424	14055.8271	12298.1836	13309.7334	13495.6211	13969.3486	13134.8691	11293.3516	17724.793	9911.2119	14571.8311	19998.2441	11840.0264	13459.4619	14856.1143
0.4003	15113.7021	15171.4395	12631.7168	17884.2363	15613.7578	14656.4424	14743.9834	15393.1289	18164.9316	15805.6377	12708.6904	17506.4316	10460.623	16156.332	19546.709	13482.4512	15140.0137	15391.7207
0.5337	14976.5889	14858.083	14443.9678	19320.9238	16141.5596	16476.7734	18022.623	16145.5381	20588.877	16339.834	14902.6436	18191.584	10641.9443	15883.7617	16756.6992	15917.0908	16042.3809	15384.4883
0.6671	14432.7344	14654.0303	15211.4932	18163.1094	14728.6484	19376.0859	20515.3242	14930.1895	17889.9512	16929.9746	16301.7061	17613.1562	13211.5449	14284.6309	16579.1543	15767.6035	16215.9541	15712.9795
0.8005	13853.2549	16066.375	14126.7471	16275.4531	14011.4326	18116.3633	20596.7246	14760.0449	15209.3809	15462.5098	15781.7422	17012.0332	14641.5391	14084.2803	15224.3223	14662.1602	15568.7119	16257.7109
0.934	14069.9639	15524.0166	14732.6377	15178.9219	14381.377	17025.8867	17514.2676	14179.7607	14250.8682	15589.9434	15155.0391	17419.9062	15240.0605	13401.623	16063.3916	14167.0752	14572.8496	15989.4209
1.0674	14527.4131	15234.1533	14701.9863	15534.04	13848.6396	16814.2285	17677.1172	14265.8301	14143.7529	14960.6406	14971.1631	17027.7871	14474.1953	13006.4414	15342.1309	14967.6191	14542.0732	15565.4355
1.2008	14480.7803	15356	14528.002	14874.2158	14116.4961	17353.8887	17390.0547	13845.7139	15519.8154	14808.8779	15120.7881	16985.332	14194.7627	12384.9756	13428.709	14546.1045	12941.166	15806.3574
1.3342	14457.6553	14439.6465	14455.6758	14845.0283	13814.7549	16691.6289	17672.2734	13474.3408	15915.0527	13902.8379	15339.1523	16785.6406	13983.8008	12884.293	14391.2715	13627.0537	12607.6865	15276.0293
1.4676	14889.5479	14343.5557	14833.3652	15037.541	13805.6006	15876.8018	18429.1016	14300.6641	14831.6055	13721.4033	15006.917	16488.0918	13749.9316	12972.9111	14304.9668	14058.4404	13378.21	16024.0127
1.6011	15324.6982	13479.501	15252.127	14452.1982	14585.9424	15998.5723	17274.9648	14592.3945	14283.2744	12971.9678	14665.4678	16613.8828	14185.3428	13576.9795	13946.5254	13839.7412	13347.7422	16107.8818
1.7345	14870.0117	14771.3027	14521.7656	14835.002	14016.0088	16369.4395	16220.9258	14839.1777	14568.167	13841.1211	14332.7949	16573.3086	13883.3535	12822.7324	13665.5469	13294.5811	13286.418	14937.667
1.8679	14565.2305	15372.0654	15084.4404	15285.6367	13651.8164	16667.8008	15255.9658	16044.2471	13787.7344	14343.708	14136.9102	16324.2207	13852.0645	12218.3535	13027.9512	12565.5654	12151.1064	13547.4141
2.0013	15407.2822	14417.9785	15785.9551	14282.4375	13516.0908	16609.4297	14954.3564	14976.5518	13349.2217	15047.4355	14676.6934	15299.9053	12645.999	12702.9346	11856.6914	13359.6406	12330.3477	13121.0615
2.1347	14666.3018	13140.6982	15520.3945	15147.0312	12961.8008	17212.3906	15556.3066	14104.2246	12818.2852	16475.9746	15022.543	14120.4238	12018.5459	13271.8584	11505.7383	13363.8037	11872.8721	12690.4297
2.2682	14656.1416	12683.4043	14771.5381	16086.5049	13038.4463	17139.2246	15519.7158	14968.8672	12769.8887	16214.5078	14336.3594	14132.5791	12136.7871	13802.9521	11794.2744	13495.5947	11236.4668	11929.7314
2.4016	14285.3477	12950.6084	14111.6875	14965.7373	12665.5391	16452.7617	14708.6074	14588.0322	11995.1279	14780.5049	14131.5898	12424.2852	12430.6338	12652.9307	11614.457	13538.8535	12040.792	11529.6904
2.535	13840.7812	12750.2686	14028.8809	13497.0918	13179.334	16745.3477	14030.0615	13513.8438	12416.4854	13897.4941	13491.2344	11659.8691	12382.6338	11791.2676	11488.6025	13179.7568	11493.3896	11184.5264
2.6684	12848.0352	13354.0547	13711.8311	13153.6045	13146.2354	15014.5742	13098.8418	14320.1465	12187.7822	13277.0225	13154.2383	11775.874	12307.7852	11751.5986	11810.626	11950.2646	11083.5	11415.0234
2.8019	13183.8477	13458.5205	13606.7061	12988.3047	12451.2803	14436.7217	12969.6865	12974.4414	12344.8066	11841.7432	13949.1357	12367.6094	12017.6484	11843.7549	NaN	12357.5908	11177.6045	11061.6396
2.9353	12536.7363	13446.877	13269.9971	12832.6953	12514.3076	13925.0498	12242.1191	13180.5488	NaN	12202.7979	13084.1885	11847.1279	12363.3926	11068.0137	NaN	11910.2773	11154.3887	11441.2451
3.0687	NaN	NaN	12607.5264	13404.5635	12561.2754	12928.5264	11528.3955	13502.5254	NaN	12156.0957	12336.2266	10847.3271	11918.3125	11598.4873	NaN	NaN	10619.915	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	12788.999	11925.4668	13377.2471	NaN	11752.5352	NaN	NaN	12284.459	NaN	NaN	NaN	10628.7354	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	13017.6016	11383.1875	NaN	NaN	11914.71	NaN	NaN	NaN	NaN	NaN	NaN	10274.499	NaN
3.469	NaN	NaN	NaN	NaN	NaN	13794.6748	11520.4902	NaN	NaN	11522.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	11139.8574	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
