x	Y_20180224_15102_1_3_s_g	Y_20180224_15102_10_4g	Y_20180224_15102_10_7g	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_4g	Y_20180224_15102_12_8g	Y_20180224_15102_14_5g	Y_20180224_15102_15_10g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_18_2g	Y_20180224_15102_18_4g	Y_20180224_15102_20_10g	Y_20180224_15102_20_11_S_g	Y_20180224_15102_22_1g	Y_20180224_15102_23_7g	Y_20180224_15102_25_10g	Y_20180224_15102_25_4g	Y_20180224_15102_25_9g	Y_20180224_15102_26_1g	Y_20180224_15102_26_3g	Y_20180224_15102_26_7g	Y_20180224_15102_27_1g	Y_20180224_15102_27_4g	Y_20180224_15102_27_7g	Y_20180224_15102_27_8g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_29_3g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
0	35551.336	39578.883	39606.5	40287.512	39588.199	37011.914	35468.328	37719.793	31358.094	38342.473	39897.992	30500.826	37735.582	35245.695	34649.723	35921.965	37118.602	36997.914	38930.109	35455.375	37359.523	35325.762	34430.043	35320.344	40311.914	36697.992	39803.238	38964.582	31796.033	35556.039	39480.785	39365.121	38834.352	36607.73	34500.188	35326.84	33341.117
0.1334	34683.023	39064.148	39761.555	39910.227	41116.715	36146.695	35884.215	37930.051	32034.75	38768.012	40187.406	32232.621	38648.258	36092.773	34316.918	36074.711	36827.469	37357.355	38846.738	35508.641	39628.09	35608.477	34548.664	34250.449	39992.352	37444.188	38911.137	38899.785	32906.191	36355.348	40807.34	37014.68	37509.945	37734.895	34221.113	34846.543	32202.951
0.2668	35697.539	36567.988	38132.84	37603.668	41461.312	34723.582	36024.02	37481.07	32016.193	39176.316	40793.809	32452.787	39687.707	36194.848	32629.762	37008.383	38131.145	38383.168	40067.855	36477.559	38372.734	37583.457	34274.883	33841.488	41905.008	37296.785	40086.242	40697.211	33379.859	36464.836	40579.094	36861.34	37110.801	37041.828	35045.934	35346.207	33234.262
0.4003	35737.414	39303.359	38477.645	36315.199	41067.215	34010.688	35196.559	37822.68	32536.906	39701.66	38830.84	32382.924	40993.086	36839.371	34237.105	36267.305	38030.059	38888.762	40707.129	37581.422	37313.738	36638.957	35763.77	35268.262	40381.191	37708.973	39704.34	40475.449	32024.799	35601.664	39698.5	39008.156	37026.891	37736.746	35271.625	35391.379	33219.738
0.5337	35535.48	38425.059	36583.551	37730.371	42904.332	34914.84	35685.473	39630.938	31826.355	37576.281	41351.188	33563.223	42035.082	35296.656	33951.914	36581.512	38037.277	38021.938	39037.426	35338.812	38527.164	37281.883	37176.906	35440.633	40577.844	36599.086	40051.047	38969.859	32478.531	37084.062	42030.66	39668.336	36977.141	37400.492	35581.742	35847.594	35169.969
0.6671	36352.473	39450.969	39530.027	39431.301	43384.535	34557.133	36055.059	39477.633	33962.68	39280.617	39605.867	32914.078	42729.57	34967.344	35698.59	35893.844	37663.695	39112.699	39242.402	35829.289	38535.27	36398.887	36986.93	35589.27	40447.113	38945.566	41556.344	38287.238	36310.914	35999.68	40674.977	39828.137	37846.879	39518.285	37433.754	34570.625	34156.352
0.8005	36511.023	40360.816	36887.238	39576.551	43646.777	35300.355	36333.102	37482.035	35541.938	37884.57	41121.449	33711.141	41975.137	38240.184	34080.914	38280.051	37300.152	37820.629	38786.227	35360.691	39886.844	36072.074	35519.332	35833.102	39844.613	40197.719	39005.301	37736.723	34087.18	35465.355	40456.859	39482.84	38532.355	38622.055	35930.477	36279.793	34635.492
0.934	35754.859	39383.512	38197.996	40650.535	43560.102	35579.25	36127.195	39274.258	34577.617	40687.035	39793.535	33425.164	42238.957	38220.68	34708.434	38945.047	36030.66	37567.398	38464.207	35370.324	38194.898	36337.691	35480.047	35915.75	41888.277	40969.473	38750.293	38142.625	33787.098	37100.953	41420.43	41281.32	37336.684	38228.75	37266.547	36331.703	35307.988
1.0674	36535.918	39045.586	39124.34	39295.07	41588.406	36235.402	35543.953	38060.605	33832.023	39269.121	40393.547	33925.125	43524.848	36666.301	34241.027	37197.609	35917.309	37538.895	39751.988	34942.156	37178.207	36757.707	33358.582	36836.82	39382.445	39934	40352.062	38868.906	32963.859	37649.777	41540.734	42532.422	36002.105	37121.816	38690.719	35944.691	35249.234
1.2008	35484.043	37975.32	39757.281	39149.09	39767.602	36229.359	34900.098	38251.758	34544.562	40320.422	41112.238	31571.654	43107.43	35299.84	32399.932	36387.637	36256.914	37549.727	39849.047	34173.469	37192.934	36721.828	33340.07	37268.074	39366.129	37604.316	40256.25	38860.25	34386.039	37381.426	40172.859	38809.707	35526.762	37709.91	37200.055	36420.547	34776.465
1.3342	35392.02	38648.535	38943.852	37377.16	39570.637	36524.25	34581.262	40390.766	35246.562	38084.293	41479.379	31873.285	42190.047	34949.477	32326.328	36223.723	35727.707	37083.711	41082.191	34594.688	36866.293	36371.211	35132.07	36765.684	40080.699	38383.055	40977.582	38964.527	34410.68	38718.305	38960.309	40019.242	35854.863	37320.684	38808.926	36653.355	33855.039
1.4676	34936.891	39498.984	38232.82	37443.988	40445.562	36928.426	35790.566	38682.012	34916.816	38456.402	41318.742	33187.156	43314.844	35118.758	34782.309	37867.297	35264.691	37875.469	40731.305	35723.73	37681.762	34923.652	34655.824	38419.109	40377.008	37543.48	40052.285	38639.398	33774.25	38483.93	40440.715	40735.285	36772.844	38371.973	37873.672	36781.77	34024.852
1.6011	34854.133	40820.523	38622.938	37981.008	40974.816	36966.008	36390.105	40099.668	34448.277	38326.633	42959.793	33908.031	44731.121	35135.305	33080.324	38561.586	35896.223	36796.16	40945.074	35211.547	36319.305	37074.117	34123.414	36878.508	40490.645	37482.664	40243.848	40128.207	34597.633	36966.586	40182.422	39952.809	38124.238	37879.523	36785.375	36884.641	35610.828
1.7345	35605.324	42086.547	38209.961	39131.352	41928.469	36089.016	35526.914	41200.254	34127.68	39425.367	40740.82	32426.709	41890.293	33965.695	32370.037	37840.48	35920.816	37127.34	41038.273	33650.789	36568.672	36266.18	33946.543	36465.723	40943.719	37058.902	39398.734	40203.465	34028.438	37167.613	37916.023	38742.242	37490.609	36639.207	35334.727	37301.344	33503.438
1.8679	34054.879	39192.352	39515.559	39315.68	41318.316	36723.699	35539.84	40119.398	34902.832	38544.352	40736.445	33566.418	40713.945	36245.98	31073.67	37820.336	36379.531	38600.414	40851.969	33656.043	36502.023	36102.695	34437.742	35299.363	41902.344	38118.496	40401.848	38262.734	33236.801	37503.781	39090.789	40016.887	37560.332	37488.93	35299.105	37729.988	34741.305
2.0013	35361.074	40379.875	38082.305	38429.113	40895.219	36487.672	35763.82	40109.43	33461.488	36920.273	41781.148	33836.977	39920.176	37000.062	33816.953	38152.672	35042.66	36116.277	39025.711	35276.93	37118.75	34416.664	34964.84	35811.121	40821.816	38767.488	40318.934	38807.953	34707.941	38710.453	38516.883	39919.613	37464.129	37420.562	34449.609	35912.996	34703.484
2.1348	35367.16	39026.434	37821.141	38707.496	41343.633	35548.91	36362.18	38858.836	32854.539	37067.707	41966.82	33601.797	40793.547	33192.488	34318.148	38169.133	37213.203	36225.777	37512.785	36156.113	38351.293	35208.406	32390.807	36388.477	39955.035	36680.129	39892.293	38847.227	34541.609	37137.801	37696.477	40062.883	36929.355	39420.184	34971.461	37256.379	32486.016
2.2682	35710.266	38522.398	37537.621	39774.426	41371.379	35055.09	35885.797	40764.883	35789.809	37372.262	40181.168	33845.023	40526.031	33504.488	34319.203	37580.441	39569.93	38646.758	39388.273	35373.742	37586.863	35114.543	32711.77	36920.75	40629.133	37321.785	40187.238	37094.738	34073.145	36144.871	38049.715	40632.32	36875.516	41328.664	36718.055	37764.277	33230.273
