x	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g
0	12045.4834	10642.582	9838.3525	10832.3203	15733.3721
0.1334	12556.9355	12557.5215	10043.5137	13194.2646	21156.2539
0.2668	12555.54	14383.1729	12906.7871	15771.1787	22827.123
0.4003	13173.7119	19765.2422	17784.082	16529.8496	19018.5938
0.5337	16001.3896	23956.5566	24951.4941	15981.6562	17270.2148
0.6671	21528.5488	22639.3125	29371.6602	15721.5527	15859.6504
0.8005	23869.668	18779.9414	27731.7441	14932.0703	14934.4756
0.934	21685.5977	18468.4141	24136.7637	15082.2686	15109.6445
1.0674	19181.2578	17848.2246	19907.7598	14451.8154	15647.2646
1.2008	18026.8223	16523.5918	17658.082	14043.6084	16460.9961
1.3342	17312.2812	15636.1777	18461.0195	14264.7402	15858.6201
1.4676	17712.0898	15863.3379	19952.832	14144.3174	15591.9414
1.6011	16287.3037	15617.0664	19007.9883	14878.2461	15246.5312
1.7345	15766.1572	15369.9199	19071.3672	16484.377	14098.9043
1.8679	14084.2969	15099.8027	18128.7344	16806.6309	13632.7041
2.0013	14498.9209	15641.5166	17282.0234	14101.5713	14213.8057
2.1347	13855.0918	14675.9375	17418.3398	12862.6797	16107.416
2.2682	13297.8301	14389.5273	16241.9619	13737.8828	17202.2129
2.4016	14006.8447	14360.2207	14988.3896	13887.9102	19026.957
2.535	14693.4053	14141.5527	13501.5068	13673.8613	19170.8926
2.6684	15961.5312	15412.8438	13795.9688	15494.2881	18472.1621
2.8019	15170.9199	14973.0225	15083.5098	15747.5752	17003.8477
2.9353	15598.0605	15699.248	15945.2031	14693.3555	15569.0303
3.0687	14763.334	14936.0967	16838.6719	14009.75	15583.626
3.2021	14702.4355	15211.0322	16619.4355	13995.4014	15120.0566
3.3355	15922.4541	13740.3281	17583.7363	13465.5781	16248.4062
3.469	16550.4141	14209.4707	18224.998	13369.9814	17779.084
3.6024	16777.6602	13567.9443	16268.7646	12986.8135	20232.3457
3.7358	17233.9297	13551.332	14126.2764	13082.1533	NaN
3.8692	16318.8018	13399.917	13414.6426	12004.4932	NaN
4.0027	16774.6328	12705.5615	12755.8848	12111.1758	NaN
4.1361	15398.9727	13113.0029	12399.8359	NaN	NaN
4.2695	NaN	13026.627	13439.3906	NaN	NaN
4.4029	NaN	12691.7998	13347.3789	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
