x	Y_20181208_15100_17_2g	Y_20181208_15100_17_3g	Y_20181208_15100_18_2g	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_27_2g	Y_20181208_15100_4_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100_9_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_24_2g
0	23510.4375	25071.0039	30860.0645	30545.9355	30660.4199	32817.2188	31915.1875	29574.8887	29458.6582	27719.9102	27221.0195	30319.2344	29848.3828	31170.9004	31437.9258	27825.7246
0.1334	24245.4531	25773.2812	31422.8613	31409.2188	28913.8984	31404.1602	31500.8086	30486.0273	29536.6445	29547.0117	27136.2246	29908.0547	29330.9727	30841.6387	32367.6406	28643.5859
0.2668	24814.4355	25535.1016	32393.3379	30773.0117	29248.2793	29297.8008	31703.1035	30302.5918	29763.8105	29618.6816	27779	29061.918	29301.9863	30889.668	30913.9668	28263.1621
0.4003	24544.9727	25460.5762	31640.873	30059.7441	31034.9941	29608.2188	32439.8809	31124.3984	29839.418	28255.0391	27821.1152	29211.2988	29869.6465	30969.752	29605.5801	29948.9277
0.5337	24808.4668	24696.5371	32118.375	29987.7715	29048.6621	31213.6934	33284.9219	31390.9277	30983.3301	28994.0215	27963.5137	30985.373	29210.9629	31366.5605	31210.0312	28248.9805
0.6671	24450.6465	24710.207	31755.1543	30261.0566	30873.5234	30312.8613	31797.8398	31061.1348	31451.1797	29961.0781	30907.9609	30649.3633	29758.0137	30942.2949	30785.4004	29565.9668
0.8005	24627.7832	26582.4316	30968.7051	30526.8477	29846.748	30079.7656	32482.7754	30754.9219	30896.5215	29322.2773	30149.9707	30794.0703	30526.3262	31927.4688	30168.2422	29244.541
0.934	24330.2832	25238.8691	31547.5098	31750.6504	30289.9824	30450.8105	32057.3867	32649.252	31169.2402	30199.1621	30849.7559	30985.5762	29808.7148	31122.1543	30302.4746	27661.7422
1.0674	25391.2832	25634.4863	32140.3984	29922.1758	31725.0918	31636.5059	32640.4941	33591.3633	31236.4336	30588.1387	30300.0234	30470.7422	30941.5254	30386.9785	30952	27750.2188
1.2008	25062.5566	26155.7285	31672.4375	31377.2812	32881.0312	32092.8809	31921.9043	31354.2773	30159.8574	29025.0664	30926.918	30658.8379	31116.1152	30397.9277	31397.6348	29681.7363
1.3342	27117.4434	27199.4121	31583.2773	30436.2168	30988.875	31770.7539	31752.752	33271.6641	32072.8145	28727.8379	31505.0605	31064.4922	30180.9043	31481.2188	31925.5781	29591.873
1.4676	28793.1152	27775.9668	32003.2012	32614.1074	32432.1426	31745.1191	30752.3984	34268.5391	29323.8945	29178.3867	30907.4863	32009.8828	31278.6875	29333.2969	32038.1484	29498.7598
1.6011	27052.3438	27107.7441	31130.332	31405.8789	32990.3281	33022.0352	31862.748	34419.1094	31106.3477	27246.6113	31339.3086	30025.9902	31335.9336	30055.8223	31817.4922	30142.25
1.7345	25714.0664	26580.0254	31183.3457	30220.8184	31595.377	32431.3828	30958.9375	35113.6797	29928.0098	29209.0781	30824.0234	29625.4531	31009.8359	29213.7734	31069.9844	30069.4414
1.8679	25341.084	26621.5938	31202.7852	31438.2285	29939.4121	32693.3867	32478.6465	35489.5898	28836.3594	28348.9668	29860.0078	29590.6016	30993.1992	30180.9785	32214.5625	29432.8086
2.0013	25133.6973	25410.9961	31814.9902	31549.4746	31116.666	33512.457	33289.4922	34544.1836	29763.2969	28761.1387	31405.6289	28882.3359	30715.6855	29972.5996	31630.168	29462.7969
2.1347	26536.0918	26743.6992	31590.0254	30512.9141	30436.1074	32096.9785	33306.6836	34264.0938	30384.5664	29954.3027	31063.9316	29435.9238	30547.002	31161.8828	30554.416	28994.9453
2.2682	27843.2852	27667.2441	32050.2012	31202.25	30984.1875	31705.1914	33787.0977	34053.1094	31354.4961	31247.0176	32225.8066	29061.4316	31647.0059	32983.8789	31403.709	30698.9941
2.4016	26755.3105	26380.5957	32868.3359	30858.4961	31900.4707	32500.1855	33999.5898	34413.5547	32169.0898	31988.166	31724.0664	30592.1152	32571.2305	31197.7988	32076.002	33159.8281
