x	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_3g	Y_20181208_15693b_13_11g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_3g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	30865.3594	29884.9277	29246.4961	30475.5312	29333.8691	27636.1738	28699.9102	29484.5684	29331.6465	30385.2031	27460.584	31323.8789	30619.5664	30314.5078	28190.2852	29502.5742	32246.7637	31286.6699	29764.166	29037.3594	27767.9004	26973.3828	28229.4727	30992.0801	26090.4453	30082.4082	30821.9648	32510.4688	31257.1582	26309.2324	29677.3203
0.1334	29690.8633	29996.2832	28155.2461	30616.4336	28067.0996	28046.6699	28793.8984	29821.2559	30360.2891	30526.1543	26940.6797	30858.3379	30956.3066	30360.4062	29049.4766	28777.0859	32640.8359	30191.5586	30306.7129	31278.6484	27049.0586	26794.4648	26635.2109	30984.5547	26368.1465	30478.2793	30969.5371	32390.543	32521.4844	26841.7539	28759.1074
0.2668	30249.6816	29919.4453	29247.7773	30966.1016	29325.6309	27981.0352	28301.7949	30398.2129	29474.8828	29255.9082	27327.4668	30694.4941	29633.4785	29838.0117	28112.5332	28974.1035	32755.5508	29888.9863	30294.9902	31597.7891	27660.1758	25331.9727	26090.1816	32416.2773	28339.8496	28782.8398	31035.8867	32759.2598	31488.4238	27740.0234	29207.8262
0.4003	29569.7734	29584.3496	29638.2148	30959.5332	29693.6523	28153.5254	28485.791	29919.5898	30447.7852	31185.1973	27697.6523	30331.0879	29158.8828	28533.8145	27749.1719	30461.5664	31416.8555	31926.918	28166.4531	31915.3906	27513.7539	25250.4707	26560.166	31905.209	27798.4824	27404.9922	31047.6641	33644.5273	32351.5098	28023.5977	28866.1387
0.5337	31008.2285	30204.6504	27007.0547	30968.0605	28181.7812	27084.1562	28568.2891	31151.8105	29642.9648	29618.0273	26676.5801	30805.2949	29674.3145	30502.625	28958.0645	29347.4082	32878.8945	30810.75	29143.6797	29740.502	27223.9688	25231.6465	26046.2539	31736.084	27583.7051	28257.748	31065.5605	33379.9062	32682.3809	27064.9551	29356.8945
0.6671	30612.2246	30918.9883	24464.6094	30800.4668	28740.6289	26429.3027	28726.6523	32321.5723	30051.3477	29891.1855	25947.9941	29627.2305	29222.9746	31266.625	27976.0059	28643.7109	31814.0117	30241.3242	28590.5117	31398.4219	28034.8906	25472.7773	27496.4121	31722.0566	26799.5234	28395.9707	31715.0195	32596.7383	33599.8906	28370.3594	29333.7227
0.8005	31249.0371	30446.6094	27335.3418	30259.582	29816.5195	26192.2988	28634.4355	32254.8652	29862.5977	30121.5586	27216.3926	28799.2441	29781.7441	28718.3184	28780.5332	29285.9355	31290.2227	30724.2207	28746.5703	29649.0742	27707.1426	25350.2969	26502.627	32638.2695	26618.2168	28445.3555	31534.3945	33070.5742	32667.8555	26098.457	28554.1211
0.934	30093.7207	29254.1152	28940.7402	31479.4199	30744.2461	25696.1523	27570.6113	31718.9707	30355.1777	29187.1094	26887.3691	29502.5742	28283.7227	28962.0176	28825.7285	28817.541	31989.373	31548.5449	27572.5508	29649.3203	27456.625	25704.3418	26264.6172	32250.4121	26758.4531	27007.2969	31208.4219	33074.5977	31606.0703	27179.2812	28913.627
1.0674	29916.1484	29904.4766	28887.0781	32856.0117	30472.0742	27336.1621	28390.9434	31892.4082	29495.498	29693.4473	27378.5703	30159.3535	30226.2695	30291.2656	27926.9609	29279.584	33439.5391	32319.6309	28197.4062	31462.1211	28833.6191	25584.3398	25899.4883	33360.6367	26928.0176	27382.252	31725.4395	33373.4336	32844.957	28525.8496	28940.6035
1.2008	29920.873	30426.9102	27777.0547	31594.2949	29614.627	27294.625	27551.7695	30443.1523	29913.0664	30466.8008	27241.9668	30626.7676	30504.9395	29707.2246	27804.4629	29123.0605	32511.041	30867.4629	28118.4238	30897.8223	28682.498	26812.7812	26941.1133	33687.0898	27835.0176	26522.0078	30727.0801	33034.3281	31768.7207	27433.7988	26942.9473
