x	Y_20181208_15100_11_4g	Y_20181208_15100_14_5g	Y_20181208_15100_17_5g	Y_20181208_15100_17_8g	Y_20181208_15100_18_10g	Y_20181208_15100_20_3g	Y_20181208_15100_20_4g	Y_20181208_15100_21_13g	Y_20181208_15100_21_2g	Y_20181208_15100_21_7g	Y_20181208_15100_21_9g	Y_20181208_15100_23_1g	Y_20181208_15100_23_9g	Y_20181208_15100_26_10g	Y_20181208_15100_28_2g	Y_20181208_15100_3_3g	Y_20181208_15100_30_1g	Y_20181208_15100_32_6g
0	13058.3691	12185.7129	12790.6631	12079.9648	12368.5762	13805.9932	13594.1475	15551.665	11032.6416	11115.0391	12672.5098	12431.8281	12416.6104	11403.667	13287.333	12289.1113	12904.0742	12147.2236
0.1334	13183.9492	13290.5234	13559.4561	13266.0586	12815.1357	13664.5166	14901.1631	16455.418	11217.8262	11544.2051	12849.0078	12992.0723	14682.5684	11822.3623	14755.2959	14189.3584	13615.0371	12345.6807
0.2668	13856.2354	14814.9004	14898.8096	15396.915	12792.4443	14224.5117	16199.9951	16051.5117	11158.1182	14641.415	14857.4238	15842.1299	16592.7793	12944.1348	18206.1426	17315.875	15646.2607	12714.9951
0.4003	14856.3311	17562.834	19416.9453	17960.2188	13465.0908	16004.9648	16724.7168	14127.2725	12910.4805	17919.4023	17631.3223	17244.7715	17447.3672	14386.168	22542.0469	20119.8887	17024.1328	14700.5732
0.5337	16316.1934	17197.0801	23327.2266	18560.9395	15239.6172	18561.3652	13884.6826	13020.3389	14211.8574	19670.8047	18044.4902	16987.1074	14521.7803	15701.6152	21672.3418	19037.2383	16993.8145	18141.1211
0.6671	16890.8125	13900.3457	20666.2773	16642.3066	16440.4902	18897.2266	12675.6123	13405.2871	14689.458	18831.0488	15166.9297	16103.8057	12504.2861	14413.8486	16549.7207	16111.832	15202.4912	18877.3633
0.8005	16626.6992	12301.1533	15820.0811	16759.623	18864.5156	17120.1582	11794.6387	13518.5508	14444.2969	16901.3848	13081.249	14444.7012	12373.5449	14189.8584	14054.1621	15084.0986	13589.2383	17036.0625
0.934	14442.1357	12844.9717	14173.9385	17655.2031	19517.5703	15537.4863	11427.3682	16252.8232	14226.0684	16993.1094	11765.2412	14922.5557	12672.0332	13590.0732	13353.7959	15916.6523	13669.1943	15785.2578
1.0674	12742.5781	12512.3252	13721.3652	17356.3652	17184.8672	14181.2314	11346.3477	17717.5742	13604.3535	16481.5215	12054.1357	14279.4521	13190.3369	13662.4268	12522.7363	16571.0195	13340.4004	14384.8691
1.2008	12138.0566	13218.29	13961.0215	16183.21	14993.999	14388.8994	11683.543	17487.1367	14223.376	14460.2822	12528.2842	13816.4746	14181.54	13091.1162	12585.085	16583.8809	13567.9883	13751.457
1.3342	12454.5449	13621.1406	14143.9883	15950.0869	14596.5098	13486.2217	12259.8613	16511.7988	14287.4502	14589.5996	12660.7188	14396.2734	13945.541	13248.4717	12986.2363	15293.1396	13531.7617	12122.8174
1.4676	13000.6426	14780.9453	16355.0801	15961.1592	14102.29	13455.5605	12827.8936	16280.6064	13849.6914	14087.8096	13080.2529	14484.1992	14676.9209	13180.4355	14468.9551	14515.1797	14272.7119	12455.4248
1.6011	12638.1494	16040.6074	15780.6504	14829.4912	13550.376	12937.8789	13660.4121	16042.3838	14609.2656	13596.8643	13186.7529	13316.3721	15658.0947	12660.6533	15542.71	13927.9912	13892.7451	13321.3262
1.7345	12631.0527	17192.5762	15114.0762	14411.8359	13745.7021	12949.5596	13375.1025	15255.1514	14352.8877	13596.6484	13601.6904	14064.1025	16497.8145	12232.2363	17116.7754	13188.9229	14054.0137	14713.0791
1.8679	12646.3682	16525.2793	15317.3721	14214.4971	13617.4482	12068.5127	12836.8438	14203.5742	14067.8193	12638.4014	13922.7021	15055.3467	15463.1836	13531.7031	16995.3301	12964.8125	13237.9121	16229.6758
2.0013	12918.9121	14131.6543	15625.6084	14015.0273	12902.2676	12921.4639	13384.0664	13753.1875	13352.6289	11832.8467	13452.9756	14333.9727	16415.7324	14915.8496	16933.7656	13667.9941	13628.041	15446.0459
2.1347	13611.0967	13396.6357	15760.6416	13878.7324	13384.0986	12951.6162	13269.9023	13274.9902	12290.6582	12534.9082	13199.0488	13049.2236	16319.0449	14583.4307	16620.5039	13260.7783	13053.6436	14178.1289
2.2682	14234.502	12952.5469	15468.5156	13329.1357	13743.833	12984.1807	13273.9053	12963.7812	12334.4805	13554.7812	13028.3867	11555.1934	15367.7939	12850.8311	14908.6748	12875.2861	12221.4541	13820.2715
2.4016	13485.3652	12922.291	13782.6855	13054.6426	13062.3926	12533.1982	14013.7803	13040.5664	11398.5908	14730.002	12624.4434	11316.6348	14368.4678	10620.583	13220.0703	13112.9023	11816.374	13516.6436
2.535	13204.0898	12622.835	13717.4209	12186.9102	12811.2246	12469.6162	14381.5234	13468.2129	11740.3047	13057.6436	12258.4229	11751.0645	13385.0557	10318.8623	13933.3691	12555.2031	11197.1182	12779.9307
2.6684	12407.0752	12241.7051	13306.1152	11833.0244	13428.6045	12016.7041	14350.5254	13602.6074	11355.5371	13512.9805	11891.6973	11783.1953	13210.1289	10252.4238	13132.8359	12686.4424	11669.6367	12367.9912
2.8019	12374.1035	11964.9531	12806.8428	11660.5928	14614.4854	12130.0908	13401.166	13133.8867	11069.5312	13023.875	11831.668	11816.1162	13019.5137	10275.9023	13536.9365	13127.2148	11528.2451	12458.7334
2.9353	12342.6777	NaN	13351.2793	11699.5488	15323.8301	11882.3896	NaN	13047.2314	11325.3125	13124.6348	11899.6348	12367.2598	12750.6133	11396.4199	13721.8711	13302.1748	11149.7305	11907.2812
3.0687	NaN	NaN	14120.8232	11596.499	14839.2793	12074.2402	NaN	NaN	11661.5762	12650.3711	12135.0898	12989.8916	NaN	11152.7656	13933.2793	13541.9893	NaN	10787.1367
3.2021	NaN	NaN	13674.918	12184.1807	13950.8564	11416.1387	NaN	NaN	11786.1416	NaN	12432.2051	13156.207	NaN	NaN	13759.0303	13885.4697	NaN	11386.918
3.3355	NaN	NaN	NaN	NaN	13621.9453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14214.8428	NaN	NaN	11603.6221
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11970.3721
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
