x	Y_20181208_15100b_1_1g	Y_20181208_15100b_1_3g	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_1g	Y_20181208_15100b_10_2g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_12_1g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_15g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_11g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_16_3g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_7g	Y_20181208_15100b_18_11g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_7g	Y_20181208_15100b_19_2g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_9g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_6g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_20g	Y_20181208_15100b_22_3g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_23_5g	Y_20181208_15100b_23_6g	Y_20181208_15100b_23_7g	Y_20181208_15100b_24_1g	Y_20181208_15100b_24_3g	Y_20181208_15100b_25_1g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_27_8g	Y_20181208_15100b_29_5g	Y_20181208_15100b_30_4g	Y_20181208_15100b_30_5g	Y_20181208_15100b_30_6g	Y_20181208_15100b_30_7g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_7g	Y_20181208_15100b_32_8g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_2g	Y_20181208_15100b_9_1g	Y_20181208_15100b_9_3g
0	10432.875	10651.7422	12309.8936	12585.3057	12869.166	11148.3564	12654.3271	14573.8184	14180.0303	12296.0664	13433.4404	11674.1436	11451.6602	13707.79	12765.0322	10880.7295	12889.0293	12300.5078	12474.9961	11463.2168	11910.2227	12272.7588	12095.0205	12297.1074	13004.7998	12232.6289	12672.4219	12043.3789	11302.5342	14779.8721	10970.2686	10487.125	11642.2734	12591.9062	14340.0146	13356.4375	11693.7979	12107.1211	11419.791	11204.3965	11895.7344	11837.7627	12006.8926	14128.3213	11075.877	12548.9395	11153.0039	12232.4307	11560.6182	11679.0547	10801.1084	12142.5596	13245.3086	13554.1719	9816.8164	11380.0176	13480.2383	11484.5508	11365.9736	11244.5732	11358.498	10365.6416	13936.1533	10424.6338	10736.0088	13211.3457	11926.9746	11908.1797
0.1334	10557.3379	10901.0166	13222.8193	13559.6338	13371.9971	11075.9395	13248.3301	14467.8008	13609.7529	12779.0508	14233.1855	12350.6523	10896.0869	14462.1416	15441.4307	11673.1309	15206.9121	12399.5303	13238.5293	12268.0156	12647.8574	12198.9893	12099.0889	13192.4834	13725.6787	12344.8564	12936.542	12754.6875	11702.1875	18983.041	11394.9365	10975.6816	12076.5732	12550.0889	16313.833	15464.4697	11758.2773	13176.8027	11676.3154	11236.7217	13585.5205	12937.1133	11863.3506	15369.46	12100.8926	13327.6865	12666.1914	13717.543	11884.4902	12640.4854	10567.2617	12132.8838	13312.4121	15649.542	10209.1592	12030.0654	18071.4609	11842.4102	11195.165	12008.9756	10961.0811	10718.6348	14828.1943	10158.4121	11230.2881	13837.0576	12035.1484	12114.5352
0.2668	11030.5723	12927.7646	13635.4316	14651.8018	15677.3457	12612.667	14862.1094	15863.5156	13845.6826	13229.7051	13111.834	12738.875	11584.8242	14945.4492	17020.3184	13034.1602	21514.3379	13528.6445	14611.085	13388.7559	13237.4717	13049.7051	13121.168	14430.4316	14285.8662	12400.0312	14415.7773	14614.084	12199.2715	20275.002	12169.6064	11659.3516	13181.7295	13025.0254	18488.5312	18771.0449	13020.5674	16365.7363	13455.2441	11837.376	16904.3906	15645.833	13535.3838	17041.3711	12340.0488	14550.4697	15285.6592	15358.0879	12560.2012	12708.2031	10749.1104	13378.6191	13955.542	19500.6562	10961.123	13520.4053	21192.3906	12261.5234	12689.5059	13241.5078	10887.3799	11574.1357	19586.2246	11491.168	12181.1172	14878.7188	12507.3779	12848.5029
0.4003	11193.9111	15331.5176	14867.0605	17195.1953	19628.7246	14783.6016	19706.1035	17429.123	15839.7998	14202.7109	12926.8076	12902.3662	11951.249	15930.4658	18601.625	15414.7607	27181.2871	16649.7305	18097.8867	14917.7461	15785.3408	15077.3965	15965.252	15309.7598	16695.6699	13109.1953	15191.3984	19100.0898	14025.2031	18566.1074	13155.085	14875.5859	13046.3545	14826.0127	20181.9004	21359.4062	13549.3135	19915.1328	15690.709	13561.082	17572.2207	18318.8184	16184.9736	17998.0566	12917.8779	15734.7725	20345.2305	19044.5371	15692.4082	12894.835	11484.6846	16369.6709	14235.8779	20544.5723	12470.4873	16721.0625	19752.8516	14579.8115	14700.8076	17131.8926	11827.791	13041.6396	22698.373	13636.1777	13993.6045	17946.9004	14172.6631	15300.4512
0.5337	11200.8008	16610.1914	17481.7227	21149.7461	25013.6348	17740.3203	19893.8418	21755.4434	20616.1348	15812.3545	14706.7676	13462.1055	13926.1074	18585.4199	17329.5176	16012.6289	25937.2773	20000.6836	21358.0195	16501.0137	18648.5703	17207.8105	18046.9805	19267.7461	19108.6035	13404	16863.0762	24708.0625	15501.5215	15880.1826	15331.8281	16557.0547	16712.4238	16060.5684	17966.0625	19462.4102	15868.585	18979.2012	17923.4551	16046.2275	15974.626	17710.8887	18881.541	16128.7637	15492.1279	20048.7852	19028.6387	20867.5469	19380.6426	14989.3428	13572.5371	19649.8984	16302.5859	19987.1973	15293.7402	16041.7373	17893.2871	18078.2559	15969.6934	23900.5391	13072.7676	16598.082	21875.2246	17297.1992	17215.7598	20004.0957	16352.8574	15122.542
0.6671	12678.335	16479.375	21862.6797	23294.7344	23851.0137	17808.7012	17481.4023	22239.0723	23186.1602	17788.8047	14733.6055	15801.2773	17158.6543	22588.959	16952.4219	13849.4375	21498.3984	19499.6562	20733.6562	16650.4434	17966.5137	17246.5312	16695.2617	21590.832	18403.9883	14427.6289	16143.7197	22644.8535	16863.0254	14184.8721	18929.8496	17245.2383	16964.8105	14287.502	16075.6299	16046.418	18423.7734	15784.0068	16631.7109	15258.0928	15342.6797	16712.0098	16897.582	14303.6357	16148.5938	23932.9238	15042.375	20124.6758	19280.5527	15235.5078	15283.502	19644.0938	15997.8691	18290.9434	16716.3594	14432.5205	16466.9609	18509.6973	16552.5625	22713.8301	15221.1211	21238.6387	19027.9297	20274.8574	18396.1836	19646.793	16723.707	15882.0869
0.8005	15540.5713	16352.7949	21600.125	20196.6055	18344.1172	15072.082	15519.4502	20931.0996	20583.8926	19230.2285	15858.2949	18741.334	17776.8262	23644.8145	17517.0254	12381.8164	18185.582	18917.793	18060.1445	14866.2969	16525.375	15993.8047	16911.9043	18207.4258	15890.8408	15170.2754	14883.8057	18800.8945	15928.2402	13987.0166	19725.0449	17719.166	15633.1396	14530.1973	15320.46	15109.9131	19987.4766	13719.248	14828.4629	14072.6328	13746.0527	15285.5986	14387.6426	12811.0781	15793.8525	19925.1758	14720.5049	19714.0938	16079.8428	14332.3877	15093.5859	18553.1016	16205.0781	15677.4346	17496.3965	13538.6826	16661.6387	15762.2148	16431.709	19432.9297	17290.2422	17158.5879	18623.1992	20131.5566	17679.1133	17032.1641	16078.3252	15292.2432
0.934	17912.9199	15706.9131	18843.5879	18278.8535	15219.6357	15517.3867	14702.7676	17611.7227	17869.9141	20207.1055	15741.8721	20551.8574	16109.9668	21793.6875	17367.3574	12070.8877	16286.2363	16536.7246	17346.416	13200.876	15302.5488	15051.5996	16221.5029	15034.1074	14081.1367	18466.2812	13156.7129	16620.8398	14777.5254	13705.4385	17395.791	17259.5391	14217.3311	15513.1094	14857.6016	14016.9209	16848.6211	12950.0322	13587.9482	13387.1514	12710.876	15004.9619	13218.2363	13370.8545	14325.8457	17786.125	13575.7275	19251.9512	14595.6836	13717.7363	13679.7715	18232.7637	14771.0391	14747.5557	16019.2715	13276.9053	14939.1172	15094.2881	14209.8691	15814.1455	18085.7402	15703.3105	18010.4004	18344.6934	18225.9883	15695.1787	14755.0312	17269.7207
1.0674	18037.9883	14817.46	16761.9844	17130.541	15351.8369	14575.1729	13084.8174	14586.876	15722.6436	18818.2148	14703.5928	19648.5625	14679.6299	19303.1465	17481.6641	12630.8086	14860.2324	14585.4141	16163.2598	13307.417	12770.1562	14761.4639	14718.9131	14390.7432	13237.7012	18187.7812	12077.2832	16007.3223	13722.0361	13525.4766	17097.959	15962.3936	13737.3555	15695.416	13183.5635	14630.0195	16278.6455	13219.626	12432.7656	13134.001	12078.7178	14133.2988	13219.2754	14920.2988	13324.9385	17056.1406	14628.5762	18723.2559	12551.2871	12462.6904	12473.5127	17985.123	13226.874	14833.2451	14909.2666	13534.3232	13930.6328	14331.3633	13008.7656	14632.5566	18307.1133	15483.8447	15609.5615	16202.2324	19217.4258	14788.4414	14184.1445	16400.0469
1.2008	15342.5244	13483.0088	15673.6963	17002.9062	16474.8066	14446.2412	13196.9619	15194.332	14204.9902	18832.9082	15195.3115	18015.9141	14481.3828	20668.1094	16726.3594	13153.6865	14788.9961	14201.6318	15371.9121	13690.7637	12102.3438	14578.4619	13101.0029	13305.3213	12697.0439	15524.7256	12722.8799	14589.1328	12815.624	14144.2354	17896.0293	13037.3027	14319.0459	16145.624	12067.373	14362.4834	16690.6445	13089.9404	12214.5508	13393.6133	12580.8379	13857.6738	13577.8486	14750.3242	14053.5713	16804.5645	15303.0625	15991.7354	11723.7158	12591.1953	12173.9287	17889.8047	12571.583	15288.2305	13864.3486	12643.9775	13736.7168	15636.5449	11894.3633	15020.7881	17356.0762	16022.1211	14422.375	16302.0342	18462.3672	15777.75	13466.0439	15280.7822
