x	Y_20181208_15693_1_11g	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_13_11g	Y_20181208_15693_13_5g	Y_20181208_15693_14_2g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_20_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_11g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_7_8g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_17g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_16g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_17g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g
0	9375.708	9312.2725	10400.3389	10736.5957	10815.043	12111.3418	9954.3223	11291.5576	12379.3857	11347.2002	13246.1523	13071.9277	12160.6865	10588.1182	12521.2119	11468.2773	13078.0967	9600.667	12555.5254	11655.8682	11965.6201	11204.5498	11220.4482	10500.4502	9704.1729	10189.6572	11437.2588	12094.2881	10373.3994	10741.7812	9790.7578	10153.2744	12823.4824	9791.3066	12041.5557	11377.8105	9015.2578	9763.7393	12752.6592	11968.541	12088.6787	11153.6719	10962.0996	14368.8467	10527.0615	9904.5703	4897.4229	11839.459	10613.4639	12064.8408	10079.3125	11014.9912	10057.4355	12222.1787
0.1334	9779.9814	9543.1865	10838.3691	10912.1885	12289.1201	12464.8008	10834.8369	12897.5498	12709.4521	11568.6191	13925.9746	14265.5195	12588.0439	11972.4072	13286.5439	11848.5879	14240.668	9394.7969	12741.2363	11505.5264	12866.1016	11644.7949	11869.0176	11527.6025	10731.3711	10529.7207	11892.3633	12111.0732	11574.6484	12280.3887	11114.9102	10221.4521	14007.7607	9485.1318	11722.9023	12477.3164	10534.0293	9506.1055	14132.8965	13827.4922	12936.0615	12022.4209	11823.1611	14183.7227	12005.0576	10732.6689	7625.1631	12842.3203	11807.1094	11200.6348	9780.5732	11680.2139	10519.9727	12267.167
0.2668	10045.2441	10081.6816	11714.9365	10936.9746	13095.8086	12760.4414	11630.9814	14733.3408	13356.7363	11689.1201	15411.4141	16003.875	13433.1104	13356.3965	13656.6729	13594.8818	13785.0684	10079.2959	14211.0586	12464.6924	13419.3018	12250.8828	12649.0547	12134.0068	12492.5312	11729.1289	12278.9658	13203.7734	12733.9844	13257.8701	12752.0332	10857.8164	15201.458	9795.29	11975.3535	12858.4795	11876.3242	9924.0518	18319.582	15853.9395	14043.7881	14018.0293	12830.8604	15162.5391	14329.0088	12194.6436	13868.5859	14646.2686	12528.5576	12239.8633	9964.5361	12992.1152	12280.0947	12315.0635
0.4003	10659.9854	11939.9434	11853.7188	12546.1543	14637.4189	15743.5928	13086.7861	16457.8613	15722.6445	12680.6406	17178.7227	16873.541	15966.2197	14728.2598	14552.3252	16796.0605	14042.4385	11022.5449	14292.7754	13548.7461	13624.9199	12858.7871	14426.6807	13206.8545	15021.125	12527.4238	14478.5957	15868.8369	16261.4121	13697.8525	13376.0166	12234.0869	17415.3281	10854.9814	12713.0508	12763.2666	13760.0977	10898.2109	20739.1074	17952.6641	16267.3721	15511.4199	15091.2422	16647.9023	16245.3369	15023.0205	15495.7305	16048.293	14921.7754	12908.7139	11074.5918	14683.3701	14084.1104	13288.7207
0.5337	12077.7275	12945.9697	11911.0137	14062.6367	16140.9678	17389.9922	13251.5918	20003.1152	18837.4473	14559.1592	20225.6641	15588.8018	18414.0078	14659.5605	15667.3574	18676.457	14886.4375	13710.2354	12792.7305	14281.3145	14203.9443	14073.3633	15408.0713	14979.542	17155.1055	14283.541	19490.2539	20667.8496	20850.832	12805.5537	15199.2764	15250.6387	17915.4121	12894.9014	14355.8076	14849.707	12307.541	11747.9346	20375.8691	17555.2637	14918.2939	15170.4561	15999.6074	16961.1836	15022.791	16340.4023	16072.5732	17307.6934	17381.1387	13281.1221	12947.9941	14400.8838	14352.9912	17180.3145
0.6671	13568.6162	12406.5615	13213.0264	15690.3047	16902.5645	18567.2188	12591.8164	21151.6113	19707.1094	17720.709	23004.8027	14541.708	18662.709	14528.1289	15506.4639	18748.3379	15814.0127	15780.1934	12193.4463	14644.2646	17322.3105	12965.3203	14671.2412	14141.8887	18840.9082	14358.2148	23502.502	22961.5664	21591.5645	12284.0576	15214.5811	17052.0996	16142.2822	14177.3955	15147.4883	16458.1074	11640.9512	11907.8984	18356.8965	15292.3457	14995.9004	15079.7812	16974.0312	14712.1338	14564.8867	15802.7266	14762.8096	17508.2285	18769.8633	15499.4609	12220.1846	13783.8086	14356.9297	20156.8418
0.8005	15018.7256	12058.0508	14311.4121	16806.1484	15144.7402	19277.8223	13128.127	19781.0566	16824.4062	16940.0312	21469.9707	14590.0264	16755.9414	13742.6074	16063.8027	17152.8457	17000.8594	16314.3242	12456.6172	13552.291	19571.0977	12610.3213	13941.7461	13222.418	17272.7422	13512.1152	24842.6523	20201.2617	20926.5312	11753.0566	14283.373	17542.7891	16097.0547	16102.9316	16628.043	18085.9746	11932.2031	11640.7109	16458.2188	13360.1748	15171.2871	15744.4141	16982.6562	13418.3799	14023.3037	13673.999	13453.7148	16847.0391	17878.9863	14190.1592	11987.8291	12812.0518	14898.4668	21282.4102
0.934	14845.7295	11298.5439	15246.6367	16551.3945	14435.1836	18354.6426	13058.0615	17909.5078	14366.9941	15576.7197	19485.1562	14494.9727	14547.5723	14362.1484	15738.8848	15322.252	15639.4414	14726.6787	12686.957	13798.0215	16840.1016	12475.1943	12337.7852	12309.1279	16180.834	13707.123	22217.6875	19168.957	20035.8828	12123.0547	14129.4941	15551.3594	15080.4424	16180.9482	16162.5176	17145.5078	11710.9043	11629.2275	15378.0811	13266.8555	13555.1621	15806.0371	16397.8047	12542.2871	13826.9287	13511.9824	13213.1533	15746.7598	16791.3184	12656.8867	11818.0947	12309.5654	14508.9658	18210.543
1.0674	13755.0498	11948.9443	16593.8789	15678.3008	13608.8232	16975.623	13797.2998	16145.5986	13003.8086	13625.5117	17258.4727	14296.835	12949.6738	14122.3916	14824.415	15311.3555	13146.707	14434.9746	13197.29	13046.0557	16711.6738	12513.6123	12190.8027	11504.1943	14569.1465	14685.6191	18555.748	18677.1367	22901.0234	12021.333	14387.1895	15109.7158	14995.6523	16526.1719	16666.2773	16194.7695	12413.2666	12394.8018	14467.8555	13956.751	13926.8701	15455.0244	16958.2324	13072.8291	14612.623	13094.8594	12937.6035	15201.0947	16380.9434	11868.5938	11369.2969	12384.2803	15126.0039	16957.8281
1.2008	13828.293	11044.1777	15960.3789	15181.1084	13582.6016	15709.0527	13401.4736	14986.4561	12360.1406	13049.7461	15981.0273	14077.5156	12996.5576	14109.7305	14568.248	15015.2217	13198.6309	14603.7412	14274.5352	13589.1533	16402.1973	12093.915	12529.835	11812.1064	14901.5234	14867.5479	17152.0312	18367.1191	23534.3008	12023.1416	13742.3154	15716.1396	13403.3584	16298.3418	16439.9629	16687.0566	11607.6934	12343.9033	14282.3125	12623.7422	13382.2383	14514.4365	15782.4336	12877.9854	14208.6748	12934.6797	11989.2588	14625.2754	16564.541	12001.835	11660.8975	12424.7266	15100.4277	14515.9482
