x	Y_20180224_15100_30_7g
0	14302.55
0.1334	15652.316
0.2668	20656.867
0.4003	26686.084
0.5337	29395.742
0.6671	21552.383
0.8005	18860.25
0.934	18083.053
1.0674	17774.936
1.2008	17408.881
1.3342	18250.139
1.4676	18754.754
1.6011	18585.506
1.7345	18244.857
1.8679	19188.408
2.0013	19891.723
2.1348	19046.609
2.2682	16625.877
2.4016	16001.481
2.535	16605.133
2.6684	18306.463
2.8019	18632.352
2.9353	19623.744
3.0687	18396.064
3.2021	18898.094
3.3356	17652.5
3.469	16947.789
3.6024	16555.562
3.7358	16081.678
3.8692	16580.666
4.0027	NaN
4.1361	NaN
4.2695	NaN
4.4029	NaN
