x	Y_20181208_15693b_10_15g	Y_20181208_15693b_11_15g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_6g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_5_11g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_15g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_5g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_6g	Y_20181208_15693b_9_14g
0	10318.1035	11607.7217	9973.7549	11673.2764	10472.1768	11368.7373	9763.4258	12318.7324	10190.8594	11542.8135	9595.3154	10387.1982	10592.6064	9995.4248	9659.6982	9934.7197	11648.8057
0.1334	11174.5273	12170.8975	10702.3135	12724.9688	10694.8281	11853.2539	9712.0684	13133.4941	9937.5742	11389.7021	9515.5186	10519.2363	12717.9717	10128.4336	10330.5381	10379.7549	12274.2539
0.2668	11854.7168	13190.5449	11506.957	15176.1943	11819.0342	12824.0752	10689.9092	14961.9795	10173.3916	11090.8857	9717.1348	12330.9766	14987.3271	10544.1875	12080.3281	10408.9922	13059.6523
0.4003	13200.7393	14915.1533	12531.2158	19621.4746	13058.4775	14810.6074	11893.0508	18307.041	11167.1553	11863.2354	10759.1279	15714.3857	15865.4492	10793.29	13716.0098	11313.3574	13494.875
0.5337	14327.2373	16996.1602	12402.498	22237.2227	15012.2324	15925.8594	14175.7266	17531.875	12208.0547	13307.7295	12522.5078	17689.8633	16174.4619	12351.126	16985.6445	13278.1689	14266.8125
0.6671	15947.9941	16997.3184	12407.8135	20273.9707	16740.2539	16211.2959	16245.959	15381.0752	13273.8447	14046.0205	15173.6055	16913.959	17214.6074	14209.1592	16417.4102	14014.7266	16355.3574
0.8005	16649.0195	16122.8857	12193.8252	17837.8867	15384.7324	16873.3887	16386.4844	14986.1035	13299.5723	13473.5342	16184.2783	15577.4883	17788.2051	14951.2451	16362.7461	13944.1611	18283.25
0.934	16777.6211	13851.9883	12167.8037	15847.7783	14594.0635	16417.918	16076.1104	15048.8662	13526.2021	13302.0381	16002.1211	14468.627	17156.9062	14460.4365	16912.959	13665.1846	18772.0664
1.0674	15811.7861	14160.46	11884.248	15476.3516	14629.9355	16032.6387	14473.8799	15741.2559	13409.208	12883.3359	16110.1504	15241.9258	14831.7354	14541.7256	16028.2197	13587.6035	18236.9727
1.2008	15966.4814	15075.1123	13075.9922	14255.2822	14109.4375	16319.6318	13836.1436	16348.6895	13261.2744	13736.0859	16300.9639	15824.9727	14210.3633	12774.585	16049.7363	14588.627	18375.002
1.3342	15410.3691	14144.0234	12703.4424	13782.3379	14204.0918	16713.209	13445.0117	15619.0068	12930.002	13463.9512	16251.7236	15293.5674	14994.2178	13311.5557	16375.2539	15219.168	18534.6816
1.4676	15124.6855	13880.8564	12400.6045	13758.5459	13392.6709	15857.0674	13397.1006	15373.9678	12803.4414	14252.29	15879.7568	14739.3516	14292.0039	14060.0107	16403.4355	16872.6191	18108.2344
1.6011	13798.8691	14151.2881	11531.9463	13865.8154	13477.207	15887.0352	13349.1348	15203.623	12459.1123	14561.793	15382.5166	15670.8486	13067.0996	13073.6055	16715.1523	15167.3438	17357.3418
1.7345	15193.6289	14195.0996	12706.5596	14493.6123	12893.9775	15805.9736	13043.1475	13630.5391	13016.0449	14750.1113	16394.9727	16585.9609	13574.7979	12187.8252	15269.5625	15743.1621	16973.2871
1.8679	17516.1328	14081.1143	11645.873	14869.9629	13727.9521	15211.9551	12672.1357	13579.2676	12869.5059	14667.7129	14844.1602	18594.5723	13725.6758	11723.4844	14171.4258	15475.1895	16957.5742
2.0013	18545.2988	13062.542	11317.166	15708.6357	13312.4131	14482.459	12710.625	12461.1396	13678.0576	14403.1348	15283.5283	17030.7129	14226.1279	13267.2021	14436.9814	15857.3887	16407.1211
2.1347	17566.1211	13869.6006	12027.5498	15876.0225	13620.1201	14118.4541	12819.4365	12650.8672	13151.6943	14421.3789	13752.4336	15002.3242	13490.292	12899.3174	14422.417	16759.5762	16050.6602
2.2682	16624.3418	13571.9219	11548.458	16431.0469	13237.7988	15107.332	12083.5254	11928.5312	13068.3701	14539.0049	13026.6445	15153.2695	14115.4424	12742.1826	13836.4883	16291.8516	15660.9639
2.4016	16091.1582	14139.916	11951.3271	15219.0459	12784.7812	15098.2207	11834.082	11286.2275	13552.1152	13872.792	12581.0391	13213.5293	14410.042	13204.8525	12831.4561	15702.7471	15598.8584
2.535	14780.374	14649.667	11854.1514	13291.3682	13480.4512	15239.1602	12716.7314	11604.4395	13003.8047	13638.8828	13424.3496	11587.2305	13504.6689	12863.6885	12249.0674	15707.916	15928.2715
2.6684	13859.2783	15130.3955	11579.7217	12084.3418	13211.416	14034.4258	13008.2207	11667.0107	12249.209	12991.2109	13116.3486	11748.4629	13557.0039	12679.7822	12167.4326	14200.3105	15558.9307
2.8019	13583.9844	14559.0439	11497.209	11329.5479	12808.1094	11709.7832	13262.2666	11258.5205	11620.0596	13235.8584	12445.4043	11849.3398	12171.8242	13244.3301	12025.5234	13873.9639	14243.9473
2.9353	13079.7256	12872.2295	10851.3447	12155.0938	12874.6475	10869.9424	13055.9531	NaN	10994.5498	12331.2578	11708.4053	11150.667	12461.9355	13583.9834	11789.7021	13529.7119	13285.376
3.0687	13112.918	11595.7012	NaN	11646.8623	12624.8154	10891.4697	12939.7793	NaN	10800.166	12400.0527	12144.374	11326.4736	11910.5752	12121.9814	11567.209	14111.1426	11790.9492
3.2021	12844.5967	NaN	NaN	12215.0625	12445.9014	11113.749	12972.5684	NaN	10404.3291	12515.2305	12283.7256	NaN	12070.8535	11627.3535	NaN	13381.3408	11411.4863
3.3355	13293.3027	NaN	NaN	NaN	12113.2568	11207.5273	NaN	NaN	10731.2041	11859.2354	12316.3828	NaN	11474.5801	10763.7607	NaN	13388.96	10465.958
3.469	13060.293	NaN	NaN	NaN	NaN	11137.0771	NaN	NaN	NaN	12506.2676	12111.1348	NaN	NaN	11093.04	NaN	12338.0186	10159.2861
3.6024	12696.3652	NaN	NaN	NaN	NaN	11182.5029	NaN	NaN	NaN	NaN	12881.708	NaN	NaN	10976.0703	NaN	12441.6719	NaN
3.7358	12512.6338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12163.9385	NaN
3.8692	12825.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12584.1709	NaN
4.0027	12141.0566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12832.2129	NaN
4.1361	11648.6133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11607.7158	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11655.6367	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12201.5273	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
