x	Y_20181208_15693b_10_7g
0	25915.2617
0.1334	26824.2402
0.2668	26794.0039
0.4003	27541.4082
0.5337	28143.3086
0.6671	29653.8848
0.8005	30119.832
0.934	28990.9922
1.0674	29466.4395
1.2008	28879.541
1.3342	29294.8945
1.4676	30721.6582
1.6011	29997.9883
1.7345	29641.4727
1.8679	28973.8613
2.0013	27040.9375
2.1347	27699.5879
2.2682	27829.1621
2.4016	27356.6426
2.535	28095.166
2.6684	29120.8906
2.8019	29016.5547
2.9353	30459.6953
3.0687	31037.5605
3.2021	33457.3398
3.3355	39579.1641
3.469	50703.3438
3.6024	59528.0547
3.7358	47227.8008
3.8692	34522.7305
4.0027	29518.8145
4.1361	28240.707
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
