x	Y_20180130_15100_1_1g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_4g	Y_20180130_15100_3_11g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_13g	Y_20180130_15100_4_1g	Y_20180130_15100_4_3g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_11g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_18g	Y_20180130_15100_5_25g	Y_20180130_15100_5_3g	Y_20180130_15100_5_5g	Y_20180130_15100_5_9_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_18g	Y_20180130_15100_6_6g	Y_20180130_15100_7_10g
0	15092.388	16670.781	14962.868	14674.389	16649.1	17189.432	15219.484	16045.729	15024.186	16867.832	16068.103	15652.099	15125.371	15631.209	16129.83	15023.245	17182.379	15234.418	15229.8	16767.678	16501.635	15796.309	14972.015	17328.301	15408.602	15799.467	15815.668	15089.188
0.1334	15284.896	17270.383	14109.593	14547.633	15633.497	17190.15	15617.779	15842.702	14931.508	17509.107	15732.866	15940.657	14844.679	15846.681	16090.695	14063.038	16680.244	15754.35	14672.418	16397.842	14932.116	15227.661	14820.21	16865.688	15308.053	15051.218	16170.954	14737.215
0.2668	15479.411	17542.732	13991.625	15189.464	16066.119	15962.811	15351.528	16010.4	14636.397	16692.117	15393.054	15227.174	15292.013	16023.304	16399.447	15019.278	18027.143	15453.643	14727.649	16117.979	15225.36	15991.914	14790.671	17031.523	15702.117	16398.805	16173.904	14710.046
0.4003	14485.648	17632.445	14664.349	15450.114	16539.861	15796.857	15188.634	15780.327	15128.657	16561.215	15585.543	15359.745	14990.079	15833.015	15739.934	15801.667	18699.334	15167.496	14743.682	15826.248	15714.384	14781.975	14936.895	16618.188	16362.347	15593.687	15090.132	15151.473
0.5337	14955.519	16664.934	13653.328	15371.205	17081.334	16233.965	14586.284	14930.958	15120.92	17460.316	16394.713	16390.961	15470.485	15654.917	15861.367	15789.001	19837.32	14955.882	14656.021	16237.903	15491.271	16225.935	15313.222	16532.502	16325.722	16356.442	14706.994	14905.865
0.6671	15512.033	16198.5	13663.686	15279.705	16086.447	16123.644	15435.784	16791.859	15539.637	17754.836	16257.96	18294.221	16612.043	16199.666	17033.057	17064.379	23060.484	15294.545	15768.254	16681.758	15986.805	14990.529	14981.019	16859.207	17377.051	15768.846	15494.529	15560.555
0.8005	15735.019	16341.501	13896.378	15849.419	17849.045	16624.156	15636.989	18742.418	16829.076	23146.51	15821.53	16956.012	16350.949	16715.553	15910.041	19233.717	30235.117	16535.428	15406.246	18233.166	16607.705	15181.738	14826.948	17393.961	19242.199	16523.043	15847.811	15596.544
0.934	16334.286	16077.889	14830.279	16174.102	18232.98	16594.389	17815.588	21522.109	18009.715	32684.623	17069.764	21638.971	19093.779	16934.816	16067.133	26344.936	45253.488	17773.406	15726.882	22014.441	16160.938	15559.043	15796.797	20890.84	26100.23	16060.747	16204.358	17661.574
1.0674	17268.047	16734.299	16172.004	17168.543	21383.662	16866.123	20585.287	27505.752	21872.301	48395.281	19587.324	32483.982	24303.164	17508.314	17302.496	35789.586	64904.695	20191.16	18408.809	31889.336	16701.789	15430.619	15971.062	27288.613	36665.695	16374.576	16770.662	22172.357
1.2008	18653.523	18673.807	18731.459	20990.422	36219.902	17667.977	27609.639	27853.279	27737.855	49199.855	25619.189	46465.633	30493.381	19195.785	18821.328	36384.664	62943.695	28511.004	20992.637	49272.203	17133.33	17252.662	17820.746	33151.012	40267.305	17517.141	15512.643	28420.121
1.3342	23089.965	21191.707	25639.443	29336.734	50005.469	20580.732	30055.092	23613.42	27996.107	35614.215	31211.629	56255.234	32407.293	23242.643	25415.775	25982.664	41034.77	37732.262	24878.365	52941.738	19325.053	20957.738	21082.348	29837.988	30668.566	17558.867	17155.475	29387.061
1.4676	30570.666	24347.156	33568.789	34398.094	44696.625	25797.467	26521.527	18486.16	22787.031	24865.826	36241.898	43319.414	23921.912	32904.383	37023.438	19552.488	25883.244	33368.066	22995.549	38713.992	24718.873	28144.795	28491.748	23179.891	21763.15	21232.965	19113.041	23980.305
1.6011	33331.422	22902.834	33906.578	31001.387	30148.582	39595.867	22610.545	17466.184	18568.479	19847.631	30278.752	28150.09	19423.357	36429.422	48562.98	17404.74	NaN	23337.379	18329.848	25340.297	36397.117	39044.336	38529.418	18920.775	17970.102	27911.348	25309.229	18536.785
1.7345	27042.184	18621.701	24535.441	24417.129	22348.922	55030.195	17934.777	NaN	16424.684	NaN	23904.396	22059.756	17766.809	28995.211	45247.555	NaN	NaN	19963.967	15844.094	18581.381	42363.633	36064.234	34885.543	NaN	NaN	34105.105	28570.395	NaN
1.8679	19668.324	16684.639	20094.812	19297.643	18485.355	50262.008	16510.186	NaN	15292.195	NaN	22507.389	NaN	NaN	20910.529	32463.568	NaN	NaN	NaN	15964.016	NaN	33457.555	25468.387	26284.188	NaN	NaN	30109.916	24306.588	NaN
2.0013	16609.141	16563.182	16273.957	16719.182	NaN	33455.531	15849.64	NaN	NaN	NaN	NaN	NaN	NaN	17743.266	26423.002	NaN	NaN	NaN	NaN	NaN	23189.742	20138.5	19985.045	NaN	NaN	24118.883	19671.559	NaN
