x	Y_20180224_15100_10_5g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_3g	Y_20180224_15100_16_2g	Y_20180224_15100_16_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_16g	Y_20180224_15100_2_11g	Y_20180224_15100_20_3g	Y_20180224_15100_22_6_2g	Y_20180224_15100_24_6g	Y_20180224_15100_25_5g	Y_20180224_15100_28_10g	Y_20180224_15100_28_4g	Y_20180224_15100_4_8g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g
0	16352.387	17555.609	15125.641	17610.912	15373.443	13550.183	15936.53	16241.375	16060.727	14747.173	15744.1	15859.927	15000.274	15264.642	15420.817	16512.309	15710.964	16559.719	17090.543
0.1334	17357.135	17919.455	16261.032	18921.289	16053.819	15251.696	15949.117	16601.842	16936.404	14422.325	15487.354	15586.468	16934.037	15411.292	16599.873	17431.664	16257.375	16729.652	17481.324
0.2668	19654.848	19122.482	18374.719	19545.961	16307.868	19429.801	17038.16	18102.314	18456.676	14687.856	15073.868	16885.209	19455.576	17063.365	19492.824	19430.863	17670.336	18636.938	18034.887
0.4003	23271.881	22920.48	22917.809	20562.785	18171.852	20459.799	19543.242	21728.551	20007.1	16384.865	17518.646	19726.568	22097.629	18202.16	24247.543	21626.68	20332.801	21342.449	18765.193
0.5337	29575.975	28399.51	25002.166	22167.119	22512.498	19769.775	22796.611	28150.123	19324.266	18618.148	19475.328	21080.342	21826.775	17490.771	27156.498	23294.719	21664.348	26264.143	18948.176
0.6671	32703.275	34071.41	22200.24	24996.467	23509.852	18117.713	23770.291	29706.295	17923.896	20504.295	18649.324	19462.164	21329.27	17024.568	24908.176	26389.621	21087.346	25953.586	19269.338
0.8005	27892.656	33475.426	19603.484	25539.59	21701.91	18348.789	24191.941	28070.389	17804.014	18844.492	16019.702	20159.955	19616.938	17147.477	21427.455	29053.104	18130.246	22104.617	20234.309
0.934	24076.631	27822.523	17534.906	23559.572	21291.592	18861.635	24063.633	25454.828	17083.619	19724.314	14967.701	18375.783	18285.441	18035.432	19786.391	27600.723	17909.285	18597.059	21929.902
1.0674	22471.385	24207.145	16622.369	23133.93	21490.469	17596.984	21963	21145.783	16058.125	19359.615	14801.082	17280.594	17680.902	18391.945	19505.758	25112.43	16499.4	16149.086	21641.635
1.2008	21541.625	22462.033	15230.181	22440.494	22004.326	17087.152	21227.23	18330.484	15140.295	19811.857	15316.29	18876	17010.596	17557.982	17004.654	25148.869	15291.88	16201.859	20506.592
1.3342	21712.318	21867.533	15008.43	21560.477	20593.779	15923.624	19996.455	17323.535	14641.231	20249.285	15633.471	16531.311	16964.061	17311.879	17339.557	24345.771	15456.54	16323.604	20364.812
1.4676	22762.582	21407.848	14395.91	20387.67	18816.131	16738.631	19237.082	16259.49	14562.889	21233.785	16612.146	16474.336	16707.322	17291.133	17984.264	23721.781	15923.575	17418.238	19784.633
1.6011	22079.816	19477.604	14523.472	18984.289	17170.5	16784.525	20188.062	16179.974	15079.113	24337.359	15945.366	17632.156	15869.162	18046.072	17992.799	23194.666	17117.043	17513.555	17912.836
1.7345	22656.051	18343.951	15457.739	19359.555	15783.545	16650.203	20635.912	15353.554	15073.567	30965.895	15654.611	16648.953	16258.779	19498.945	18853.744	22892.566	18060.281	18680.58	16963.857
1.8679	22520.939	18720.795	16610.213	21202.816	14782.883	15969.997	23175.383	15947.414	16419.613	34341.684	15163.32	16497.865	17048.088	22665.441	19160.967	21458.898	19885.729	20450.961	15700.413
2.0013	21350.5	17453.471	17320.357	22334.555	14597.121	16407.602	25043.438	16649.492	18343.643	31330.865	15733.918	15338.674	17004.562	21317.699	18608.461	21219.059	22645.02	21924.857	15144.308
2.1348	20686.959	17674.879	18216.523	24077.115	15497.658	16077.128	25572.898	15979.448	17805.926	27870.217	15831.866	16473.715	16370.377	20300.172	18337.951	21739.682	19956.873	20963.986	15767.651
2.2682	20777.766	17338.773	17329.701	23806.859	16830.01	16425.262	21354.361	18311.805	16974.674	23098.203	15862.511	16073.451	15308.394	18671.895	17387.451	23512.234	18616.984	20589.27	17084.863
2.4016	20947.549	17246.852	15590.509	21937.236	17783.637	16341.062	19974.896	20084.777	15335.921	19321.762	16538.195	15218.28	14988.34	17003.074	17917.451	23985.123	17246.818	18220.488	17293.549
2.535	20942.18	17089.354	15154.461	19856.658	20769.812	16644.4	17874.59	19191.074	14704.961	17095.301	15063.595	15237.498	14552.571	15334.679	16986.455	22832.658	16857.668	16788.609	18337.35
2.6684	18402.688	17157.309	14025.391	19306.877	22173.627	16472.125	16705.133	18644.16	14956.743	16361.322	15472.252	15568.814	14341.583	15864.868	15679.021	19607.164	16484.264	16677.639	19942.852
2.8019	17541.201	17961.949	13176.054	18157.523	20894.068	16079.211	15806.977	17109.184	15101.151	16081.995	NaN	15610.539	14088.56	NaN	15859.134	16943.656	16890.992	16514.641	21621.912
2.9353	16869.033	18221.791	NaN	16217.896	18772.004	NaN	15400.292	17622.24	NaN	16065.019	NaN	NaN	NaN	NaN	NaN	15948.188	NaN	16507.945	19908.193
3.0687	17368.924	17415.422	NaN	17057.055	17285.48	NaN	15418.622	16090.74	NaN	15526.527	NaN	NaN	NaN	NaN	NaN	15405.021	NaN	NaN	18208.396
3.2021	17544.875	16620.398	NaN	NaN	16626.104	NaN	15026.813	16232.974	NaN	14535.961	NaN	NaN	NaN	NaN	NaN	16374.658	NaN	NaN	17203.203
3.3356	17349.932	NaN	NaN	NaN	NaN	NaN	NaN	16160.399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16358.578
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15782.271
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
