x	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g
0	30545.9355	30660.4199	32817.2188	29458.6582	27719.9102
0.1334	31409.2188	28913.8984	31404.1602	29536.6445	29547.0117
0.2668	30773.0117	29248.2793	29297.8008	29763.8105	29618.6816
0.4003	30059.7441	31034.9941	29608.2188	29839.418	28255.0391
0.5337	29987.7715	29048.6621	31213.6934	30983.3301	28994.0215
0.6671	30261.0566	30873.5234	30312.8613	31451.1797	29961.0781
0.8005	30526.8477	29846.748	30079.7656	30896.5215	29322.2773
0.934	31750.6504	30289.9824	30450.8105	31169.2402	30199.1621
1.0674	29922.1758	31725.0918	31636.5059	31236.4336	30588.1387
1.2008	31377.2812	32881.0312	32092.8809	30159.8574	29025.0664
1.3342	30436.2168	30988.875	31770.7539	32072.8145	28727.8379
1.4676	32614.1074	32432.1426	31745.1191	29323.8945	29178.3867
1.6011	31405.8789	32990.3281	33022.0352	31106.3477	27246.6113
1.7345	30220.8184	31595.377	32431.3828	29928.0098	29209.0781
1.8679	31438.2285	29939.4121	32693.3867	28836.3594	28348.9668
2.0013	31549.4746	31116.666	33512.457	29763.2969	28761.1387
2.1347	30512.9141	30436.1074	32096.9785	30384.5664	29954.3027
2.2682	31202.25	30984.1875	31705.1914	31354.4961	31247.0176
2.4016	30858.4961	31900.4707	32500.1855	32169.0898	31988.166
2.535	32098.8691	31291.6113	32736.5332	33967.1484	36511.4102
2.6684	33419.1523	34141.7227	34184.1562	41032.0781	44345.1094
2.8019	32169.1953	40002.1211	36953.5586	55263.5391	61220.4922
2.9353	31117.498	53880.2383	42119.793	84352.8828	74037.1953
3.0687	34175.7188	92025.5156	57078.2539	105042.4922	66093.4922
3.2021	35641.082	132575.5781	86025.7891	87268.3672	48687.5977
3.3355	40176.957	112406.1953	102465.6562	59272.3945	37397.2305
3.469	51635.4688	70196.0312	77780.0156	45772.082	33343.7578
3.6024	48540.8711	46933.2617	53277.0391	38884.6602	32714.1562
3.7358	40231.0508	40977.3555	41900.3594	34726.6406	NaN
3.8692	35564.3086	33537.6562	38573.6641	33945.4844	NaN
4.0027	33366.2344	35140.7812	36089.6055	32394.0332	NaN
4.1361	33168.7773	33430.1797	34995.9297	NaN	NaN
4.2695	NaN	32869.4258	35300.9648	NaN	NaN
4.4029	NaN	33270.1992	34659.8203	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
