x	Y_20180224_15100_9_1g
0	13510.251
0.1334	13826.188
0.2668	16254.792
0.4003	20603.518
0.5337	23418.162
0.6671	22920.973
0.8005	22402.27
0.934	19586.525
1.0674	20698.273
1.2008	20679.768
1.3342	19878.703
1.4676	19121.73
1.6011	18933.633
1.7345	18642.293
1.8679	19015.363
2.0013	20805.842
2.1348	21045.211
2.2682	20542.893
2.4016	19719.908
2.535	21200.613
2.6684	20846.576
2.8019	19939.152
2.9353	19937.982
3.0687	19582.258
3.2021	17621.35
3.3356	16854.812
3.469	16369.599
3.6024	15389.028
3.7358	16275.826
3.8692	15166.706
4.0027	13941.855
4.1361	13719.515
4.2695	12961.68
4.4029	13510.154
