x	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_5g
0	31214.1621	30089.5293	29305.416	30031.8438	32169.6641	29910.5137	31695.373
0.1334	31548.5039	31587.6895	30702.8613	32289.4043	31677.4453	28260.6094	32958.7695
0.2668	31516.1816	30143.707	29025.248	30279.3945	31968.8105	29197.8906	33106.2031
0.4003	30354.7793	29786.2148	29265.6895	31010.7012	30655.6934	29098.2129	31920.582
0.5337	31251.7891	30893.3242	29528.6406	32553.2539	32140.4785	30107.5996	31702.8457
0.6671	31252.2363	29379.9531	31447.6875	33050.7773	32723.7754	30382.3633	34208.4961
0.8005	32106.8066	29393.6836	30382.4727	34016.7422	32712.1621	29036.6016	33158.0469
0.934	31533.1504	29903.7852	30876.502	32183.6777	31748.7246	27714.4883	33668.125
1.0674	30010.0371	29647.7031	30196.1016	32094.8125	32151.0801	28567.3789	32854.75
1.2008	29801.9453	29824.4941	31469.752	32111.0547	33305.3438	30025.2695	32026.1855
1.3342	30928.2168	30466.9473	30751.7598	31839.7363	32319.5449	29565.418	32000.0156
1.4676	32866.5469	29925.1133	29307.0879	31517.2461	31744.8574	30604.334	32024.8301
1.6011	33639.1484	30325.4531	29917.332	32189.7031	32833.8008	30489.0059	33455.5156
1.7345	33370.5391	31638.6875	30744.875	33804.2109	33409.9141	32074.5742	32680.3301
1.8679	33956.7383	31882.7617	31181.0234	33994.168	35448.8828	35001.9609	33103.0781
2.0013	36625.6055	33459.5742	32222.5449	35083.0273	40034.1211	40528.9102	35461.2812
2.1347	41935.8516	41286.2305	33173.2305	36195.2812	48992.3672	53354.8359	40161.1562
2.2682	51185.9375	56892.5078	41724.8281	42382.7656	63879.8281	69730.8594	50838.2773
2.4016	71083.0156	80085.4688	59092.9414	52642	80399.3125	72974.4766	69918.6172
2.535	70562.3203	84802.4609	65885.3906	78010.3438	74792.1875	56782.7422	84329.5938
2.6684	52736.4492	56588.5	58518.3945	93066.2891	53541.4219	40799.8516	69846.75
2.8019	39048.3281	40308.418	55483.0586	76709.9688	41071.2266	34399.457	49410.7734
2.9353	34219.1758	34723.1328	49162.6914	50331.5625	36579.957	33784.8594	39250.7695
3.0687	32096.9375	31904.8516	NaN	41677.3125	33633.6719	NaN	35531.1797
3.2021	32185.5781	31036.6543	NaN	37330.6562	33841.0625	NaN	33258.8477
3.3355	NaN	NaN	NaN	34080.9297	33278.5078	NaN	33584.9961
3.469	NaN	NaN	NaN	35712.8984	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
