x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g
0	8958.6318	12230.917	11674.7012	15318.9268	12077.3545	12521.084	11419.6045	13325.3008	12217.8975	11583.3379	11558.6787	11688.3506
0.1334	8896.3594	13862.9902	12425.167	16764.6328	12454.5098	12583.1777	13085.9727	13853.3232	12400.5381	12627.0205	13911.8428	11598.2949
0.2668	9624.3311	16235.209	14319.0742	20441.8047	14265.7002	13162.3887	15494.1484	15477.1143	13304.2207	13875.0674	15118.626	12940.8438
0.4003	10323.71	19254.0781	18249.1641	24292.9043	18112.1094	14788.9639	16426.9609	16607.4727	14248.5596	13618.4268	14115.666	15368.1094
0.5337	11046.5566	16681.8203	19710.2812	25178.8477	22377.3828	17389.3477	15214.4111	16668.0234	14154.9463	13519.6094	13172.918	18983.6621
0.6671	13301.8086	14683.6475	17329.9824	22077.1016	23320.1543	18204	13801.1406	16499.0762	13657.543	12368.7158	12428.6162	20509.3379
0.8005	15367.1299	13000.7393	15367.458	17806.5605	19416.6016	18008.25	13534.7949	15189.5791	12459.4795	12106.3701	12254.7822	17126.2773
0.934	15647.4854	12831.2686	14270.6846	17453.5723	17039.1113	16500.8301	13142.7412	14667.0186	12709.2188	12544.5996	11764.8623	13891.6113
1.0674	13914.7861	13037.8623	13946.3037	15916.083	14621.9004	15999.8271	14633.0332	16113.8623	13425.6982	12290.3525	11889.8896	13096.54
1.2008	13548.4248	14333.793	14109.6895	16281.5322	14000.749	14666.5488	16633.6094	14874.5596	14325.6523	12027.708	12222.6748	12342.4326
1.3342	14189.8457	15343.043	14956.2646	16474.0117	14678.5508	15058.9131	17247.9922	13324.5547	14988.7949	11153.7266	13238.4102	12161.4072
1.4676	14156.4043	14361.4658	13885.4551	17218.0039	14182.8555	15000.0732	17857.1016	12625.96	15008.2002	11647.1709	13221.6816	11343.9844
1.6011	13986.8076	13108.3369	13863.666	17066.0723	15453.874	14500.9268	16442.1797	12222.3115	14771.0352	13172.0723	12799.043	11884.251
1.7345	13554.2217	12328.8574	13258.0146	16521.1758	16639.0117	14184.5918	15795.6875	11919.6631	14410.5381	12510.4912	12400.0293	11797.3818
1.8679	13773.9385	12547.8447	12234.2549	16234.2764	16471.5488	13758.4795	13873.9688	12750.1963	14433.3223	12526.875	12595.9229	11680.5234
2.0013	13003.6992	11697.54	13338.2109	14857.1641	16214.6797	13305.0459	13597.3604	12761.8623	13652.9395	11622.9277	13514.8047	11415.0596
2.1347	13347.042	11492.6699	12818.0645	13950.6572	15526.8027	13339.3496	12796.1465	12748.1963	12645.9062	11358.9082	13418.8857	11220.917
2.2682	13162.8906	11399.2021	12953.1553	12271.5459	14908.8887	13092.9951	12460.1475	12567.8623	12236.1826	10939.5938	NaN	10953.3115
2.4016	13629.1191	11101.4434	13499.3184	12188.3555	13745.4453	13787.248	12305.6074	12240.1562	11804.0762	10900.7773	NaN	11188.873
2.535	12422.0586	10641.4014	12458.4336	11865.1035	12988.7676	13743.2178	11356.8535	11610.7529	11600.2148	11003.0996	NaN	11112.3555
2.6684	13219.25	10665.04	11920.9531	11767.1201	13569.0361	13065.4775	11243.3662	11865.6133	11918.1094	11201.9834	NaN	11424.9443
2.8019	12562.9756	10774.6367	NaN	11577.0537	12631.2148	13125.3027	11407.7119	11851.2373	NaN	NaN	NaN	11093.8711
2.9353	12206.4131	10471.0527	NaN	11186.748	13006.5654	13084.1836	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	10947.5557	13989.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	13207.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	13459.5967	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
