x	Y_20180224_15100_11_2g	Y_20180224_15100_14_3g	Y_20180224_15100_4_1_1g	Y_20180224_15100_7_3g
0	13687.232	12193.887	14654.944	12499.463
0.1334	14822.909	12101.462	14933.664	12340.381
0.2668	16809.092	13427.44	16799.783	13926.974
0.4003	20567.086	15289.989	19773.168	15412.084
0.5337	26146.936	20721.537	24768.213	18469.324
0.6671	26734.385	29575.996	24025.668	20818.191
0.8005	24966.658	32258.27	20898.947	18030.348
0.934	22108.73	28860.488	19381.832	17524.184
1.0674	21373.891	22933.436	19016.23	17242.068
1.2008	20390.947	20155.303	19728.309	18675.191
1.3342	20849.871	20672.789	19527.445	18736.666
1.4676	20118.162	21264.803	18414.836	17402.748
1.6011	18985.459	22952.369	17185.523	16508.074
1.7345	18376.436	22380.75	15908.743	16455.586
1.8679	17302.02	19991.426	16322.1	16086.283
2.0013	16852.541	19019.086	18432.799	17446.941
2.1348	15470.575	19234.652	21563.375	18901.844
2.2682	16437.15	18034.25	24797.65	19923.02
2.4016	18738.551	17409.158	26395.791	21355.215
2.535	21640.113	17815.514	24036.555	19870.078
2.6684	22211.678	17717.916	22514.244	22479.373
2.8019	20845.965	16721.439	19468.312	20121.229
2.9353	19306.141	16856.133	17056.359	18386.449
3.0687	15596.98	15913.423	16262.451	16771.656
3.2021	14558.712	15710.838	15745.15	16988.588
3.3356	14170.925	14811.616	15725.284	16503.943
3.469	14300.296	13550.768	14841.402	15982.351
3.6024	13944.38	14226.716	NaN	15481.938
3.7358	NaN	14062.43	NaN	NaN
3.8692	NaN	14783.591	NaN	NaN
4.0027	NaN	15142.896	NaN	NaN
4.1361	NaN	15313.063	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
