x	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_5g
0	12207.4521	11948.2412	12491.4512	11944.0439	12178.8301	10340.0225	11552.376	9037.3398	10877.7842	14921.585	11621.0508	14217.6445	12843.8115	12167.1338	12849.3369	13414.1748	15712.7168	12376.7129
0.1334	12086.6387	12970.6543	14080.1426	12657.6338	13635.5908	10909.2227	13625.7061	9601.8252	11397.3438	16136.7021	13023.8496	15653.1035	13446.8682	13985.9746	12970.8984	15056.6182	18878.1758	12425.9639
0.2668	11427.6338	13517.3281	15724.5742	14233.1689	15587.3428	12470.748	15679.1533	10822.7168	12733.4844	17844.0312	14660.3877	16608.8965	14173.8477	15764.8252	12953.4424	17945.5508	22739.9473	11893.7021
0.4003	12678.5889	13361.3545	15865.001	16571.4434	16187.748	13184.1543	14700.9307	11300.2207	13900.8662	20196.3496	16818.6309	16649.791	14692.416	17020.4141	14325.1592	20001.6289	22859.1113	12246.4219
0.5337	14407.4004	11852.3418	15860.1582	16153.0654	17047.2422	13985.7959	13493.9727	13941.835	15401.2803	20429.8828	19262.2344	16007.1699	18366.793	16676.2871	15680.3252	20262.0781	22054.0742	12660.7227
0.6671	16199.6875	11688.3174	14733.3818	16076.2168	16548.6484	13841.2012	13474.8857	17639.8145	15462.8789	17987.3867	22187.4102	14948.8418	21278.207	15439.0088	17229.8672	18585.1133	19972.1875	14009.3105
0.8005	16538.7676	11824.1094	14782.9746	14875.0869	15025.5049	13275.0576	13338.0859	18241.6582	14372.9775	16081.3574	24458.5078	14394.7188	20200.8027	15551.2061	17289.9258	17434.8594	16724.7305	15941.7266
0.934	16517.5527	11766.5332	14999.0488	14081.1436	14002.1162	12906.3994	13625.1338	15652.4326	13726.0342	16393.1016	23853.291	14322.0869	18608.1172	16181.25	14798.9688	18173.9219	15557.5557	16703.2109
1.0674	16485.7578	11057.0146	14419.3809	13388.0859	14002.2275	13680.1807	12882.4902	14735.5225	12926.1895	15663.0928	19446.6719	13878.1582	18559.125	14953.7266	12623.9121	19037.7949	15166.5625	17355.9297
1.2008	15264.6738	11324.8701	15003.0459	13415.626	13973.2773	14535.8359	12238.3691	13716.2529	12537.5352	15931.2012	16324.416	13190.9004	17436.1113	15534.2852	12965.5146	18078.8223	14680.0264	16580.1914
1.3342	15356.5547	11028.5732	14055.458	13388.6426	13972.1289	14700.6934	13064.1465	12997.1885	11705.5605	15511.6611	16081.6152	13377.7549	17469.0117	16043.6865	NaN	16387.0332	12764.1143	16023.6719
1.4676	14312.0322	10639.7939	14349.4023	12540.0596	13658.498	13597.9727	13684.9141	13100.623	11422.374	14812.4316	16152.9365	13165.6992	16065.5283	14410.6377	NaN	15185.5479	11727.002	15456.043
