x	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	28484.8906	30972.7598	28010.9551	25000.0488	28725.291	31116.1445	28209.9297	30285.123	33423.6641	28304.1133	31796.9512	30246.9629	28939.9746
0.1334	29864.375	31185.3535	27268.2461	23914.0117	29367.7598	30189.3828	28646.6133	30486.2578	33720.3438	29888.3652	32128.8477	29666.8398	28003.0488
0.2668	31697.2305	31286.2559	27579.0391	23840.8828	30637.1094	30528.377	29072.6992	27941.9727	34781.2266	30175.1367	33083.9492	30114.2949	27497.1602
0.4003	29521.8438	29961.791	28156.1523	24732.7266	28197.7852	32750.6387	28905.7461	28609.459	33494.707	29093.1055	32897.8516	28664.3848	29313.7969
0.5337	30319.1367	31545.1348	29826.9453	25039.3574	31701.0469	32309.418	28086.459	28700.0254	33607.8438	30350.0586	32015.0684	29014.5859	29205.3652
0.6671	29862.3789	31221.0449	29212.6133	24201.959	31151.7578	32245.4707	29707.498	30134.8164	33373.1836	29849.7695	31797.7656	29033.7812	29504.1406
0.8005	30977.5938	31878.623	29926.4922	24161.1562	32510.0918	32996.7188	30990.8887	30844.8066	33522.4141	30891.4355	32047.9727	30110.291	29619.6309
0.934	30851.3809	32449.209	31951.6816	25490.9141	33060.2617	33548.9883	33321.0703	31026.9668	31328.9277	34854.2656	32925.9883	31796.5508	29029.8203
1.0674	30704.7773	32938.4531	31421.8633	25522.6641	36506.5078	35704.2539	36608.4102	30914.3145	33884.3828	38687.5	33435.2969	34592.0625	29240.0957
1.2008	33327.2461	32956.6719	37432.7812	26052.6211	43713.043	43806.0859	45505.0586	30349.998	34591.8359	47436.8047	33970.957	46164.8828	31689.0488
1.3342	33896.2227	34829.1172	46547.8086	26570.5527	60605.168	61179.6953	62372.3398	32193.2891	35742.8828	73623.2969	34659.6641	61392.7656	34694.3594
1.4676	36512.5938	39872.4961	68632.125	25976.2949	80704.9609	73762.9297	68014.7109	33055.4219	40469.6602	88211.8672	43653.375	64917.1562	42748.7656
1.6011	42919.1406	50077.9727	85291.5859	27870.9023	67864.1875	61110.2891	53098.1523	35134.1055	49203.3711	72823.3828	54905.7734	50186.6992	41471.8398
1.7345	44008.6172	75166.9219	67977.8438	31749.6348	49985.9492	48501.9648	40198.3828	42915.3086	48338.125	49958.1133	63564.7773	37952.3242	34448.3125
1.8679	38920.9336	91690.4219	52980.9375	40316.6094	40880.832	48741.3984	33851.9141	55032.3672	41435.9141	39274.1484	49074.5781	34076.5234	34947.875
2.0013	36395.9336	75858.8359	46244.75	54168.5742	43184.4297	NaN	31771.291	54093.8672	38092.25	36073.7305	38052.375	NaN	31757.457
2.1347	33156.1523	53522.5938	36467.0156	63458.6562	NaN	NaN	30411.7773	43414.5	38249.4766	32787.3008	36026.3672	NaN	NaN
2.2682	32940.875	41226.4102	32430.4004	53807.6602	NaN	NaN	NaN	35892.5	NaN	NaN	35278.5117	NaN	NaN
2.4016	NaN	35953.8516	31770.6152	37489.4102	NaN	NaN	NaN	32695.9688	NaN	NaN	33599.4375	NaN	NaN
2.535	NaN	34055.1289	28319.3008	29864.0898	NaN	NaN	NaN	31205.7832	NaN	NaN	32139	NaN	NaN
2.6684	NaN	31810.457	NaN	26301.1211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
