x	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_6_9g
0	11200.6699	10252.5586	10594.415	9142.6152
0.1334	12040.5459	11817.707	10984.8486	8957.1191
0.2668	14039.6875	14458.6182	11507.1494	9222.1074
0.4003	17975.7559	18474.2324	12782.2549	9462.3408
0.5337	20767.9102	19673.0996	12501.1406	11201.9355
0.6671	19766.877	18710.8301	14112.5684	14761.5928
0.8005	18690.4941	19316.6426	15631.4395	19348.1133
0.934	16448.002	18902.7812	16060.4434	20684.8691
1.0674	15434.7178	19164.7012	14780.875	19649.4238
1.2008	15002.6729	18214.4707	14077.3457	17846.4941
1.3342	16209.9863	17850.6309	13776.4062	15995.4258
1.4676	17472.7891	17406.4609	13525.4512	15607.0596
1.6011	17469.543	16799.1582	12658.3867	14726.0693
1.7345	16864.6738	15868.6348	12978.9121	14346.6885
1.8679	18833.9023	15725.1885	12725.6572	15329.9219
2.0013	19572.1328	15170.6641	12188.9014	14147.0703
2.1347	18413.4062	14713.1328	11592.3164	14076.1982
2.2682	16511.5977	14638.5635	11316.1777	13737.5498
2.4016	15935.1787	14503.0879	11042.2246	13482.6299
2.535	13840.9619	14081.9824	11457.8721	12744.7793
2.6684	11982.4219	13892.9326	11718.1162	12311.2812
2.8019	12332.2549	12371.5605	12377.8965	12443.7783
2.9353	12262.7773	12572.2178	12449.3232	13211.4854
3.0687	14072.7568	12658.2461	12369.1572	14920.0625
3.2021	13487.9102	12510.2588	13279.0068	15859.7715
3.3355	13386.665	12281.0527	14208.0859	15968.4043
3.469	12805.5322	11125.6611	14024.4854	16164.2607
3.6024	11636.7842	10547.8203	14208.1562	17359.4746
3.7358	11856.0879	10754.8242	12924.1436	17005.7891
3.8692	12073.457	10858.9424	12628.7725	16813.5449
4.0027	11517.2832	10682.1387	12257.7812	14798.9775
4.1361	11448.624	NaN	12163.4912	13276.4561
4.2695	11988.5547	NaN	12070.2549	NaN
4.4029	NaN	NaN	12383.416	NaN
4.5363	NaN	NaN	12129.4941	NaN
4.6698	NaN	NaN	12502.3711	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN
